DocEntry,DocNum,CardCode,NumAtCard,DocDate,DocDueDate,DocStatus,Cancelled,Comments,SlpCode,CreateDate,UpdateDate
38,38,C00012,,2024-04-09,2024-05-27,O,N,,6,2024-04-09,2024-05-05
39,39,C00052,,2023-01-08,2023-02-03,O,N,,17,2023-01-08,2023-01-17
40,40,C00101,arco-2022-00143,2023-05-22,2023-06-09,O,N,,12,2023-05-22,2023-05-31
41,41,C00218,ARCO-2022-00123,2022-07-25,2022-10-12,C,N,,9,2022-07-25,2022-07-31
42,42,C00084,ARCO-2025-00358,2025-05-02,2025-07-13,C,N,Reposição,3,2025-05-02,2025-05-21
43,43,C00026,ARCo-2022-00142,2023-03-06,2023-04-28,C,N,,20,2023-03-06,2023-03-09
44,44,C00258,ARCO-2024-00302,2025-08-28,2025-11-22,C,Y,Pedido complementar,14,2025-08-28,2025-08-31
45,45,C00199,,2022-11-15,2023-01-14,C,N,,19,2022-11-15,2022-12-08
46,46,C00263,ARCO-2022-00298,2025-07-26,2025-10-08,C,N,,17,2025-07-26,2025-08-24
47,47,C00005,ARCO-2023-00040,2024-06-15,2024-08-12,O,N,,13,2024-06-15,2024-07-07
48,48,C00062,ARCO-2025-00086,2025-10-16,2025-12-26,C,N,Urgente,3,2025-10-16,2025-10-20
49,49,C00240,ARCO-2022-00029,2024-08-16,2024-09-14,C,N,,1,2024-08-16,2024-09-02
50,50,C00266,ARCO-2023-00316,2022-11-13,2022-12-14,O,N,Reposição,17,2022-11-13,2022-12-03
51,51,C00197,ARCO-2024-00252,2025-01-01,2025-02-10,C,N,,9,2025-01-01,2025-01-02
52,52,C00230,,2025-02-20,2025-03-20,O,N,,7,2025-02-20,2025-03-09
53,53,C00008,ARCO-2023-00367,2023-12-22,2024-03-05,C,Y,,11,2023-12-22,2024-01-11
54,54,C00132,ARCO-2024-00151,2022-10-04,2022-11-15,C,N,,11,2022-10-04,2022-10-30
55,55,C00063,ARCO-2025-00020,2024-02-27,2024-04-30,C,N,Urgente,21,2024-02-27,2024-03-06
56,56,C00204,ARCO-2024-00011,2024-06-25,2024-08-24,O,N,Pedido complementar,25,2024-06-25,2024-06-28
57,57,C00126,ARCO-2025-00187,2022-10-18,2022-11-13,C,N,,3,2022-10-18,2022-11-13
58,58,C00209,,2022-10-25,2022-12-28,C,Y,,12,2022-10-25,2022-10-31
59,59,C00102,ARCO-2022-00333,2023-06-13,2023-07-18,C,N,Pedido complementar,18,2023-06-13,2023-07-06
60,60,C00058,ARCO-2025-00114,2023-08-14,2023-11-06,C,N,,11,2023-08-14,2023-08-14
61,61,C00006,ARCO-2023-00055,2025-05-15,2025-06-08,O,N,,10,2025-05-15,2025-05-16
62,62,C00076,ARCO-2024-00037,2024-01-17,2024-04-11,C,N,Urgente,17,2024-01-17,2024-02-08
63,63,C00126,ARCO-2023-00315,2023-04-22,2023-06-15,C,N,,3,2023-04-22,2023-05-02
64,64,C00009,,2023-07-20,2023-10-06,C,N,,20,2023-07-20,2023-08-04
65,65,C00262,,2025-04-13,2025-06-21,O,N,,11,2025-04-13,2025-04-30
66,66,C00173,ARCo-2024-00057,2024-07-08,2024-09-24,C,N,,10,2024-07-08,2024-07-15
67,67,C00191,,2024-10-16,2025-01-03,O,N,,22,2024-10-16,2024-10-20
68,68,C00193,,2025-08-02,2025-08-22,C,N,,9,2025-08-02,2025-08-25
69,69,C00197,ARCO-2022-00152,2024-06-10,2024-08-11,C,N,Urgente,9,2024-06-10,2024-06-24
70,70,C00073,ARCO-2022-00034,2022-02-25,2022-05-09,O,N,Reposição,23,2022-02-25,2022-03-11
71,71,C00063,ARCO-2023-00135,2024-09-11,2024-12-03,O,N,Pedido complementar,21,2024-09-11,2024-09-12
72,72,C00111,ARCO-2024-00163,2023-04-13,2023-07-04,O,N,Urgente,5,2023-04-13,2023-04-22
73,73,C00038,,2024-10-27,2024-12-22,C,N,Urgente,22,2024-10-27,2024-10-28
74,74,C00083,ARCO-2022-00171,2024-03-18,2024-06-08,C,N,Urgente,19,2024-03-18,2024-03-23
75,75,C00268,,2022-04-04,2022-06-15,C,N,,1,2022-04-04,2022-04-04
76,76,C00229,ARCO-2023-00194,2022-10-22,2023-01-06,O,N,Pedido complementar,1,2022-10-22,2022-10-28
77,77,C00174,ARCO-2025-00281,2024-04-01,2024-06-15,C,N,,22,2024-04-01,2024-04-20
78,78,C00065,ARCO-2023-00271,2024-10-29,2025-01-12,C,N,Pedido complementar,17,2024-10-29,2024-11-20
79,79,C00016,,2024-11-24,2025-02-13,C,N,,10,2024-11-24,2024-11-29
80,80,C00030,ARCO-2024-00190,2023-06-16,2023-07-01,C,N,Pedido complementar,25,2023-06-16,2023-07-02
81,81,C00075,ARCO-2022-00296,2022-06-21,2022-08-16,C,N,Urgente,24,2022-06-21,2022-07-21
82,82,C00132,,2023-10-06,2023-11-14,C,N,,11,2023-10-06,2023-10-29
83,83,C00243,ARCO-2024-00238,2023-11-26,2024-01-24,C,N,,19,2023-11-26,2023-12-14
84,84,C00015,ARCO-2022-00270,2023-01-06,2023-03-23,O,N,Pedido complementar,1,2023-01-06,2023-02-01
85,85,C00067,ARCO-2023-00106,2025-12-17,2026-01-23,O,N,,18,2025-12-17,2026-01-01
86,86,C00053,ARCO-2023-00039,2024-01-30,2024-04-16,C,N,Urgente,15,2024-01-30,2024-02-02
87,87,C00217,ARCO-2024-00151,2025-01-17,2025-03-20,O,N,Reposição,4,2025-01-17,2025-01-29
88,88,C00120,ARCO-2025-00090,2024-05-20,2024-08-17,O,N,,13,2024-05-20,2024-05-25
89,89,C00016,,2024-04-26,2024-07-22,C,Y,,10,2024-04-26,2024-05-01
90,90,C00204, ARCO-2023-00040,2022-02-21,2022-03-17,C,N,,25,2022-02-21,2022-03-22
91,91,C00111,,2022-06-14,2022-08-19,O,N,,5,2022-06-14,2022-07-12
92,92,C00176,ARCO-2022-00017,2023-02-11,2023-03-24,O,N,Urgente,16,2023-02-11,2023-02-16
93,93,C00130,,2024-02-11,2024-05-09,O,N,Urgente,4,2024-02-11,2024-02-16
94,94,C00143,,2024-06-06,2024-07-21,C,Y,,19,2024-06-06,2024-07-06
95,95,C00017,ARCO-2024-00167,2022-11-17,2023-01-15,C,N,Reposição,10,2022-11-17,2022-11-27
96,96,C00056,ARCO-2024-00113,2023-04-06,2023-05-07,C,N,Urgente,9,2023-04-06,2023-04-11
97,97,C00045,ARCO-2022-00294 ,2023-04-01,2023-05-30,O,N,Reposição,21,2023-04-01,2023-04-27
98,98,C00220,ARCO-2023-00221,2024-07-15,2024-09-18,C,N,Urgente,17,2024-07-15,2024-08-11
99,99,C00086,ARCO-2023-00156,2023-02-25,2023-05-26,C,N,Pedido complementar,19,2023-02-25,2023-03-17
100,100,C00192, ARCO-2022-00371,2024-06-09,2024-08-01,O,N,Urgente,16,2024-06-09,2024-06-20
101,101,C00212,,2022-02-14,2022-03-22,O,N,Pedido complementar,24,2022-02-14,2022-03-08
102,102,C00053,ARCO-2023-00088,2022-12-06,2023-01-13,O,N,,15,2022-12-06,2023-01-03
103,103,C00122,ARCO-2024-00144,2025-03-18,2025-04-06,C,N,,7,2025-03-18,2025-03-29
104,104,C00099,arco-2025-00089,2023-05-17,2023-07-16,C,Y,,17,2023-05-17,2023-06-14
105,105,C00170,arco-2025-00031,2023-11-23,2024-01-13,C,N,Pedido complementar,19,2023-11-23,2023-12-21
106,106,C00018,ARCO-2023-00208,2025-02-09,2025-05-06,C,N,,11,2025-02-09,2025-02-28
107,107,C00100,,2023-05-18,2023-06-26,O,N,,25,2023-05-18,2023-05-30
108,108,C00084, ARCO-2023-00068,2022-02-24,2022-04-24,C,N,Reposição,3,2022-02-24,2022-03-16
109,109,C00119,ARCO-2022-00138,2022-07-05,2022-08-09,C,N,,25,2022-07-05,2022-07-29
110,110,C00202,ARCO-2022-00314,2022-10-02,2022-10-24,O,N,Urgente,2,2022-10-02,2022-10-14
111,111,C00102,ARCO-2022-00236,2024-02-01,2024-03-22,O,N,,18,2024-02-01,2024-02-13
112,112,C00094,ARCO-2022-00138,2025-03-05,2025-04-15,C,N,,4,2025-03-05,2025-03-23
113,113,C00068,arco-2025-00229,2022-07-24,2022-10-08,C,N,Urgente,6,2022-07-24,2022-07-28
114,114,C00217,,2023-07-16,2023-09-29,C,N,Reposição,4,2023-07-16,2023-08-05
115,115,C00205,ARCO-2022-00053,2022-10-18,2022-11-05,C,N,Urgente,6,2022-10-18,2022-11-12
116,116,C00118,ARCO-2025-00293,2025-09-13,2025-12-05,C,N,,7,2025-09-13,2025-09-21
117,117,C00032,ARCO - 2022 - 00362,2025-11-16,2025-12-30,C,N,,14,2025-11-16,2025-11-19
118,118,C00139,ARCo-2025-00072,2023-09-06,2023-10-21,O,N,Urgente,1,2023-09-06,2023-09-21
119,119,C00237,ARCO-2024-00134,2022-09-17,2022-11-18,C,N,,2,2022-09-17,2022-09-19
120,120,C00260,ARCO-2025-00363,2025-07-10,2025-09-04,C,N,Reposição,22,2025-07-10,2025-07-15
121,121,C00004,ARCO-2024-00278,2022-03-26,2022-06-04,C,N,Reposição,11,2022-03-26,2022-04-01
122,122,C00107,,2022-12-15,2023-03-15,C,N,Urgente,19,2022-12-15,2022-12-26
123,123,C00049,ARCO-2025-00317,2022-12-06,2023-02-02,C,N,Pedido complementar,25,2022-12-06,2022-12-15
124,124,C00222,ARCO-2023-00267,2024-10-28,2024-12-27,C,N,Pedido complementar,18,2024-10-28,2024-11-14
125,125,C00088,,2023-10-19,2023-12-28,C,N,,11,2023-10-19,2023-10-19
126,126,C00264, ARCO-2022-00247,2022-12-11,2023-02-10,C,N,Pedido complementar,24,2022-12-11,2023-01-07
127,127,C00164,ARCO-2025-00042,2024-03-13,2024-04-18,C,N,,1,2024-03-13,2024-04-09
128,128,C00180,ARCO-2023-00055,2023-12-24,2024-02-28,O,N,,1,2023-12-24,2024-01-07
129,129,C00089,ARCO-2022-00097,2023-05-31,2023-07-08,O,N,,19,2023-05-31,2023-06-25
130,130,C00084, ARCO-2024-00141,2025-03-20,2025-04-26,C,Y,,3,2025-03-20,2025-04-08
131,131,C00214,ARCO-2024-00356,2022-10-03,2022-12-09,C,Y,,9,2022-10-03,2022-10-29
132,132,C00027,,2024-01-10,2024-03-20,O,N,Urgente,24,2024-01-10,2024-02-05
133,133,C00146,ARCO-2025-00010,2025-06-12,2025-07-06,O,N,,5,2025-06-12,2025-06-30
134,134,C00113,ARCO-2025-00103,2022-12-30,2023-01-31,O,N,Urgente,20,2022-12-30,2023-01-01
135,135,C00045,,2023-04-01,2023-06-03,O,N,Urgente,21,2023-04-01,2023-05-01
136,136,C00011,,2022-10-22,2023-01-04,C,N,,14,2022-10-22,2022-11-03
137,137,C00144,ARCO-2024-00351,2022-04-23,2022-07-07,C,N,Urgente,8,2022-04-23,2022-05-02
138,138,C00112,ARCO-2024-00366,2022-01-22,2022-02-07,C,N,Urgente,18,2022-01-22,2022-01-27
139,139,C00103,ARCO-2023-00047,2024-05-21,2024-06-23,O,N,,25,2024-05-21,2024-06-17
140,140,C00102,,2022-08-23,2022-09-08,C,N,Pedido complementar,18,2022-08-23,2022-08-25
141,141,C00223,ARCO-2025-00103,2024-03-07,2024-05-05,C,N,,21,2024-03-07,2024-03-10
142,142,C00101,ARCO-2024-00238,2024-03-06,2024-05-26,C,N,Urgente,12,2024-03-06,2024-04-03
143,143,C00017,ARCO-2023-00355,2023-05-30,2023-07-21,O,N,,10,2023-05-30,2023-06-25
144,144,C00143,,2022-05-23,2022-08-06,C,N,,19,2022-05-23,2022-06-08
145,145,C00226,ARCO-2025-00045,2024-10-09,2025-01-04,O,N,Pedido complementar,16,2024-10-09,2024-10-14
146,146,C00022,,2023-08-11,2023-11-05,O,N,,1,2023-08-11,2023-09-04
147,147,C00137,ARCO-2025-00255,2023-07-05,2023-09-02,C,N,,17,2023-07-05,2023-07-21
148,148,C00200,ARCO-2024-00230,2022-01-23,2022-02-28,C,N,Reposição,11,2022-01-23,2022-02-03
149,149,C00116,ARCO-2023-00071,2025-03-08,2025-03-28,C,N,,9,2025-03-08,2025-03-14
150,150,C00268,ARCO-2022-00362,2025-08-30,2025-09-15,O,N,,1,2025-08-30,2025-09-15
151,151,C00173,ARCO-2022-00161,2023-07-03,2023-08-09,O,N,,10,2023-07-03,2023-07-10
152,152,C00165,,2025-05-20,2025-06-06,O,N,,11,2025-05-20,2025-06-04
153,153,C00040,ARCO-2025-00219 ,2025-08-19,2025-10-25,O,N,Urgente,13,2025-08-19,2025-09-04
154,154,C00135,ARCO-2025-00235 ,2022-06-18,2022-09-10,C,N,,12,2022-06-18,2022-07-16
155,155,C00213,ARCO-2023-00213,2022-09-27,2022-11-30,O,N,,16,2022-09-27,2022-10-08
156,156,C00153,,2022-06-28,2022-09-17,C,N,Pedido complementar,5,2022-06-28,2022-07-17
157,157,C00018,,2022-11-02,2023-01-13,C,N,,11,2022-11-02,2022-11-20
158,158,C00057,ARCO-2022-00265,2022-03-25,2022-06-06,C,N,,20,2022-03-25,2022-04-01
159,159,C00187,ARCo-2022-00220,2023-04-12,2023-05-28,C,N,Urgente,21,2023-04-12,2023-04-30
160,160,C00264,ARCO-2025-00014,2025-08-13,2025-10-23,C,Y,Urgente,24,2025-08-13,2025-08-28
161,161,C00062,ARCO-2024-00070,2023-01-11,2023-03-20,C,N,Urgente,3,2023-01-11,2023-02-09
162,162,C00144,,2025-06-12,2025-06-29,C,N,Pedido complementar,8,2025-06-12,2025-06-28
163,163,C00221,ARCO-2023-00258,2025-10-16,2025-11-05,C,N,,17,2025-10-16,2025-11-03
164,164,C00213,ARCO-2025-00349,2025-11-27,2026-02-15,C,N,Reposição,16,2025-11-27,2025-12-21
165,165,C00247,,2022-02-19,2022-04-15,C,N,Pedido complementar,20,2022-02-19,2022-03-11
166,166,C00155,ARCO-2025-00072,2025-11-23,2026-02-04,O,N,Reposição,13,2025-11-23,2025-12-06
167,167,C00040,ARCO-2024-00206,2024-06-25,2024-07-13,C,N,,13,2024-06-25,2024-07-21
168,168,C00032,,2024-04-03,2024-05-08,C,N,Pedido complementar,14,2024-04-03,2024-05-01
169,169,C00008,ARCO-2022-00298,2024-11-08,2024-12-03,C,N,,11,2024-11-08,2024-11-23
170,170,C00062,ARCO-2025-00215,2023-02-22,2023-04-07,C,N,Pedido complementar,3,2023-02-22,2023-03-23
171,171,C00004,ARCO-2024-00158,2022-12-18,2023-02-22,C,N,,11,2022-12-18,2022-12-24
172,172,C00121,,2022-06-28,2022-08-12,C,N,Pedido complementar,3,2022-06-28,2022-07-17
173,173,C00010,ARCO-2022-00184,2025-06-04,2025-08-11,C,Y,Urgente,16,2025-06-04,2025-06-23
174,174,C00092,ARCO-2025-00175,2024-06-18,2024-07-27,O,N,Reposição,8,2024-06-18,2024-07-04
175,175,C00084,,2023-07-11,2023-08-24,C,N,Pedido complementar,3,2023-07-11,2023-08-04
176,176,C00143,ARCO-2023-00126,2025-11-29,2026-01-01,O,N,Reposição,19,2025-11-29,2025-12-02
177,177,C00213,ARCO-2025-00003,2024-02-11,2024-03-31,O,N,,16,2024-02-11,2024-03-10
178,178,C00027,ARCO-2022-00334,2025-04-04,2025-05-07,C,N,,24,2025-04-04,2025-04-10
179,179,C00230,,2022-08-23,2022-11-06,O,N,,7,2022-08-23,2022-09-05
180,180,C00153,ARCO-2023-00025,2024-11-16,2025-02-08,O,N,,5,2024-11-16,2024-11-30
181,181,C00082,ARCO-2023-00271,2024-04-29,2024-07-23,O,N,,24,2024-04-29,2024-05-25
182,182,C00154,,2023-10-31,2023-11-18,O,N,Reposição,23,2023-10-31,2023-11-16
183,183,C00174,,2023-01-12,2023-03-27,C,N,Urgente,22,2023-01-12,2023-01-29
184,184,C00002,ARCO-2025-00304,2025-05-13,2025-07-16,O,N,Urgente,20,2025-05-13,2025-05-25
185,185,C00201,arco-2025-00286,2022-02-04,2022-03-21,C,N,,19,2022-02-04,2022-02-24
186,186,C00090,,2024-05-12,2024-06-20,C,N,,2,2024-05-12,2024-05-22
187,187,C00196,ARCO-2023-00095,2023-11-16,2024-02-05,C,N,,4,2023-11-16,2023-11-21
188,188,C00006,ARCO-2022-00152,2025-09-09,2025-10-12,C,N,,10,2025-09-09,2025-09-15
189,189,C00209,arco-2022-00300,2023-04-02,2023-06-14,C,N,,12,2023-04-02,2023-04-19
190,190,C00137,ARCO-2023-00208,2025-12-13,2026-01-04,O,N,Pedido complementar,17,2025-12-13,2026-01-06
191,191,C00230,ARCO-2024-00151,2023-10-14,2023-11-15,C,Y,,7,2023-10-14,2023-10-21
192,192,C00218,ARCO-2022-00041,2024-06-19,2024-08-20,C,N,,9,2024-06-19,2024-07-16
193,193,C00205,,2023-07-12,2023-09-30,C,N,,6,2023-07-12,2023-08-08
194,194,C00232,,2023-05-25,2023-08-14,C,N,Pedido complementar,6,2023-05-25,2023-06-06
195,195,C00211,ARCO-2023-00102,2023-04-18,2023-06-26,O,N,Urgente,25,2023-04-18,2023-05-07
196,196,C00209, ARCO-2023-00038,2023-09-28,2023-12-24,C,N,Pedido complementar,12,2023-09-28,2023-10-26
197,197,C00090,ARCO-2025-00026,2023-01-16,2023-04-08,C,N,Urgente,2,2023-01-16,2023-02-03
198,198,C00066,ARCO-2024-00214,2024-07-18,2024-10-13,C,N,,18,2024-07-18,2024-08-15
199,199,C00177,ARCO-2024-00303,2025-05-15,2025-06-18,C,N,Reposição,15,2025-05-15,2025-06-09
200,200,C00127,ARCO-2025-00284,2024-03-29,2024-06-23,C,N,Urgente,16,2024-03-29,2024-04-12
201,201,C00096,ARCo-2025-00223,2023-05-21,2023-07-07,C,N,Reposição,17,2023-05-21,2023-06-20
202,202,C00129,,2023-05-21,2023-06-17,C,N,Reposição,1,2023-05-21,2023-06-13
203,203,C00098,,2025-05-12,2025-06-06,O,N,Urgente,9,2025-05-12,2025-05-12
204,204,C00016,ARCO-2025-00035,2022-04-12,2022-06-25,C,N,Reposição,10,2022-04-12,2022-05-05
205,205,C00035,,2023-09-17,2023-10-31,O,N,Pedido complementar,22,2023-09-17,2023-10-16
206,206,C00037, ARCO-2025-00061,2025-03-23,2025-06-09,C,N,Pedido complementar,19,2025-03-23,2025-04-18
207,207,C00241,ARCO-2024-00303,2024-06-09,2024-08-04,C,N,Pedido complementar,23,2024-06-09,2024-07-04
208,208,C00070,ARCO-2022-00006,2025-12-23,2026-01-26,O,N,,10,2025-12-23,2026-01-02
209,209,C00119,ARCO-2022-00249,2024-05-26,2024-06-23,C,N,Reposição,25,2024-05-26,2024-06-23
210,210,C00206,ARCO-2025-00292,2025-01-21,2025-02-09,C,N,,18,2025-01-21,2025-02-18
211,211,C00003,ARCO-2025-00338,2025-07-10,2025-07-25,C,N,Urgente,16,2025-07-10,2025-07-13
212,212,C00221,ARCO-2024-00246,2025-08-27,2025-10-18,O,N,,17,2025-08-27,2025-09-11
213,213,C00132,ARCO-2023-00084,2022-05-29,2022-07-07,C,N,,11,2022-05-29,2022-06-25
214,214,C00208,ARCO-2025-00027,2024-10-12,2024-11-21,O,N,,9,2024-10-12,2024-10-13
215,215,C00116,ARCO-2024-00295,2023-01-03,2023-01-23,O,N,Reposição,9,2023-01-03,2023-01-26
216,216,C00037,ARCO-2022-00265,2023-03-07,2023-05-19,O,N,Pedido complementar,19,2023-03-07,2023-03-12
217,217,C00151,,2023-09-28,2023-11-17,C,N,Reposição,17,2023-09-28,2023-09-28
218,218,C00139,ARCO-2025-00014,2024-12-30,2025-03-08,O,N,,1,2024-12-30,2025-01-01
219,219,C00003,ARCO-2022-00241,2022-06-06,2022-06-30,C,N,Pedido complementar,16,2022-06-06,2022-06-23
220,220,C00183,ARCO-2024-00356,2025-09-08,2025-10-14,C,N,,9,2025-09-08,2025-09-16
221,221,C00181,ARCo-2025-00131,2025-02-17,2025-04-18,C,Y,,10,2025-02-17,2025-03-06
222,222,C00041,ARCO-2022-00049,2024-07-14,2024-08-31,C,N,Reposição,11,2024-07-14,2024-07-26
223,223,C00188,ARCO-2025-00342 ,2022-04-07,2022-06-23,C,Y,,18,2022-04-07,2022-04-07
224,224,C00126,,2022-01-26,2022-03-21,C,N,,3,2022-01-26,2022-02-12
225,225,C00142,,2023-05-25,2023-08-17,O,N,Reposição,19,2023-05-25,2023-05-25
226,226,C00108,ARCO-2024-00202,2022-03-23,2022-05-07,C,N,Reposição,5,2022-03-23,2022-04-09
227,227,C00205,ARCO-2022-00143,2025-11-21,2025-12-08,C,N,,6,2025-11-21,2025-11-25
228,228,C00201,ARCO-2025-00312,2022-07-05,2022-09-06,C,N,Pedido complementar,19,2022-07-05,2022-07-24
229,229,C00106,,2023-04-30,2023-06-27,C,N,,24,2023-04-30,2023-05-29
230,230,C00098,ARCO-2022-00240,2022-02-12,2022-05-02,C,N,Urgente,9,2022-02-12,2022-02-27
231,231,C00022,ARCO-2022-00310,2022-03-29,2022-05-04,O,N,Pedido complementar,1,2022-03-29,2022-04-01
232,232,C00048,ARCO-2022-00371,2025-07-12,2025-09-01,O,N,,9,2025-07-12,2025-08-02
233,233,C00075,,2024-02-15,2024-03-13,O,N,,24,2024-02-15,2024-03-03
234,234,C00174,ARCO-2023-00176,2024-03-28,2024-05-12,O,N,,22,2024-03-28,2024-04-16
235,235,C00207,ARCO-2023-00233,2025-10-08,2025-11-12,C,Y,,17,2025-10-08,2025-10-27
236,236,C00241,ARCO-2022-00244,2023-07-13,2023-09-12,C,N,Pedido complementar,23,2023-07-13,2023-08-04
237,237,C00030,,2025-10-22,2025-11-23,O,N,,25,2025-10-22,2025-10-31
238,238,C00200,ARCO-2025-00317,2023-05-15,2023-08-11,C,N,Urgente,11,2023-05-15,2023-06-09
239,239,C00199,,2022-09-28,2022-12-04,O,N,Pedido complementar,19,2022-09-28,2022-10-22
240,240,C00193,,2024-01-15,2024-02-28,O,N,Urgente,9,2024-01-15,2024-01-17
241,241,C00155,ARCO-2022-00192,2025-02-11,2025-04-24,O,N,Urgente,13,2025-02-11,2025-02-27
242,242,C00206,ARCO-2025-00027,2022-03-27,2022-05-31,C,N,,18,2022-03-27,2022-04-07
243,243,C00023,ARCO-2024-00272,2022-06-29,2022-09-06,C,N,Reposição,3,2022-06-29,2022-07-16
244,244,C00062,ARCO-2023-00111,2025-04-28,2025-05-28,O,N,Pedido complementar,3,2025-04-28,2025-05-05
245,245,C00015,ARCO - 2024 - 00070,2023-11-26,2023-12-31,O,N,Urgente,1,2023-11-26,2023-12-20
246,246,C00190,ARCO-2023-00357,2023-04-19,2023-05-18,C,N,,4,2023-04-19,2023-05-01
247,247,C00022,ARCO-2023-00367,2022-03-30,2022-05-01,C,N,Urgente,1,2022-03-30,2022-04-28
248,248,C00152,ARCO-2025-00132,2025-07-14,2025-10-12,C,Y,,10,2025-07-14,2025-08-06
249,249,C00145,ARCO-2023-00169,2022-07-05,2022-08-04,C,Y,Reposição,19,2022-07-05,2022-07-08
250,250,C00200,ARCO-2023-00180,2023-08-04,2023-09-24,C,N,Urgente,11,2023-08-04,2023-08-09
251,251,C00086,ARCO-2025-00352,2022-09-10,2022-11-27,C,N,,19,2022-09-10,2022-10-02
252,252,C00209,ARCO-2025-00121,2024-04-16,2024-05-14,C,N,,12,2024-04-16,2024-05-03
253,253,C00217,ARCO-2022-00006,2025-08-04,2025-09-07,C,N,Urgente,4,2025-08-04,2025-08-04
254,254,C00068,ARCO-2025-00033,2024-01-18,2024-02-05,O,N,,6,2024-01-18,2024-02-08
255,255,C00003,ARCO-2024-00118,2025-07-24,2025-08-19,C,N,,16,2025-07-24,2025-08-03
256,256,C00217,ARCO-2022-00270,2022-05-07,2022-07-08,O,N,,4,2022-05-07,2022-05-09
