id,name,details,external_id,domain_names,created_at,updated_at
46,da,cnpj 46554947170999,46554947170999,escola292.com.br,2023-01-25 00:00:00,2024-09-19 00:00:00
47,da Costa Cavalcanti - EI,,,escola312.com.br,2022-12-24 00:00:00,2024-11-18 00:00:00
48,Macedo,,70348247710932,,2023-12-10 00:00:00,2024-02-19 00:00:00
49,Cassiano Escola,CNPJ: 71.094.777/5204-71,,escola58.com.br,2023-01-21 00:00:00,2024-04-19 00:00:00
50,da Cunha,,03579727985524,escola284.com.br,2023-03-20 00:00:00,2024-06-01 00:00:00
51,Ribeiro,CNPJ: 94.101.372/1510-70,,escola253.com.br,2022-10-23 00:00:00,2025-03-23 00:00:00
52,Castro Colégio,CNPJ: 66.183.982/6224-44,66183982622444,,2023-02-08 00:00:00,2024-02-27 00:00:00
53,Melo,,,,2022-12-21 00:00:00,2024-07-17 00:00:00
54,Ferreira,,17121003236519,,2023-02-25 00:00:00,2025-03-09 00:00:00
55,Lopes,,59856420593040,,2022-08-27 00:00:00,2024-06-21 00:00:00
56,Castro,CNPJ: 27.849.808/4124-11,,,2023-09-01 00:00:00,2024-08-29 00:00:00
57,Abreu Escola,,,,2023-02-27 00:00:00,2025-04-05 00:00:00
58,Sampaio,,25871397187072,,2023-03-15 00:00:00,2024-12-05 00:00:00
59,Sá,cnpj 18644925192546,18644925192546,escola115.com.br,2023-12-25 00:00:00,2025-06-23 00:00:00
60,Azevedo,,,escola64.com.br,2022-09-22 00:00:00,2025-10-13 00:00:00
61,Abreu,,,escola97.com.br,2023-11-25 00:00:00,2024-08-10 00:00:00
62,da Escola,,,escola144.com.br,2023-09-16 00:00:00,2025-01-19 00:00:00
63,Siqueira Escola,CNPJ: 24.041.574/7338-48,24041574733848,,2023-01-12 00:00:00,2025-04-08 00:00:00
64,Guerra Farias Ltda.,CNPJ: 39.868.000/2578-72,39868000257872,escola152.com.br,2022-12-28 00:00:00,2024-10-05 00:00:00
65,Fonseca,,66912517785289,escola140.com.br,2023-08-30 00:00:00,2025-12-15 00:00:00
66,Rodrigues Duarte S/A,,43303654145868,escola31.com.br,2022-08-01 00:00:00,2024-01-08 00:00:00
67,Machado Escola,,,,2023-08-20 00:00:00,2025-12-20 00:00:00
68,Cassiano,,61201836675254,escola101.com.br,2022-03-08 00:00:00,2025-04-07 00:00:00
69,Martins,,,escola179.com.br,2023-06-27 00:00:00,2024-11-01 00:00:00
70,Teixeira Colégio,CNPJ: 19.656.523/4138-99,19656523413899,,2022-08-02 00:00:00,2025-03-03 00:00:00
71,da Rosa Albuquerque e Filhos,,82417248251353,escola291.com.br,2023-06-28 00:00:00,2024-02-08 00:00:00
72,Fogaça,,,escola282.com.br,2023-05-07 00:00:00,2024-05-27 00:00:00
73,Lima Camargo - EI,CNPJ: 94.522.885/1587-99,,escola320.com.br,2023-05-14 00:00:00,2024-05-21 00:00:00
74,Campos Colégio,,,,2022-11-23 00:00:00,2024-09-03 00:00:00
75,Lopes Escola,,,escola139.com.br,2023-02-14 00:00:00,2025-09-10 00:00:00
76,Ribeiro Centro Educacional,,83046990139837,,2022-11-27 00:00:00,2025-03-13 00:00:00
77,Porto,,,,2022-01-16 00:00:00,2024-04-18 00:00:00
78,Araújo,,06071596966416,,2022-02-01 00:00:00,2024-01-22 00:00:00
79,Borges,cnpj 77115921249985,77115921249985,escola94.com.br,2023-04-15 00:00:00,2024-11-13 00:00:00
80,Garcia,CNPJ: 87.747.016/8733-95,,,2023-05-03 00:00:00,2025-11-25 00:00:00
81,da,,90581477005411,escola111.com.br,2023-04-15 00:00:00,2025-06-16 00:00:00
82,Garcia S/A,,,escola14.com.br,2023-05-05 00:00:00,2025-01-31 00:00:00
83,Martins,,29466711684577,escola224.com.br,2023-01-10 00:00:00,2025-06-06 00:00:00
84,Caldeira Instituto,,,escola87.com.br,2023-08-05 00:00:00,2024-05-09 00:00:00
85,Farias S/A,,,,2023-12-30 00:00:00,2025-05-06 00:00:00
86,Vasconcelos S.A.,,73832060385050,,2023-05-18 00:00:00,2025-06-12 00:00:00
87,Vasconcelos,,20455611002255,,2023-04-13 00:00:00,2025-02-21 00:00:00
88,Macedo,,62462873342708,escola180.com.br,2023-07-04 00:00:00,2024-04-13 00:00:00
89,das Colégio,,86571918261990,escola247.com.br,2022-04-08 00:00:00,2024-07-20 00:00:00
90,Ribeiro Centro Educacional,CNPJ: 90.104.328/9861-43,90104328986143,escola124.com.br,2023-04-25 00:00:00,2024-07-31 00:00:00
91,Azevedo Instituto,,09010016761847,,2023-03-31 00:00:00,2024-12-03 00:00:00
92,Aparecida Colégio,,73829973763116,,2023-03-20 00:00:00,2024-06-12 00:00:00
93,Duarte,,87851910883982,,2023-03-30 00:00:00,2025-07-23 00:00:00
94,da,cnpj 23747407482175,23747407482175,escola79.com.br,2022-01-17 00:00:00,2025-09-16 00:00:00
95,Rocha,,,escola85.com.br,2022-09-10 00:00:00,2025-04-26 00:00:00
96,Melo,,60083505830033,,2022-07-04 00:00:00,2024-01-26 00:00:00
97,Sales,,60898992172233,escola275.com.br,2023-11-19 00:00:00,2024-09-15 00:00:00
98,Ramos Escola,,87947055169409,,2022-08-07 00:00:00,2025-10-26 00:00:00
99,da,,,,2023-03-12 00:00:00,2025-02-02 00:00:00
100,Teixeira,,66929662782827,escola216.com.br,2023-04-03 00:00:00,2024-12-14 00:00:00
101,da,CNPJ: 16.373.516/0917-79,16373516091779,,2023-09-03 00:00:00,2025-03-13 00:00:00
102,Casa Colégio,,,,2022-08-19 00:00:00,2024-09-17 00:00:00
103,Sampaio,,17381684602235,,2023-09-23 00:00:00,2024-09-13 00:00:00
104,Casa Grande,,,escola36.com.br,2023-08-13 00:00:00,2024-02-22 00:00:00
105,Camargo,,73799650752735,escola52.com.br,2022-06-16 00:00:00,2024-01-25 00:00:00
106,Souza,,87083172788957,,2022-04-20 00:00:00,2025-11-21 00:00:00
107,Pastor,,62120216979729,escola307.com.br,2023-10-30 00:00:00,2024-08-20 00:00:00
108,Rios Caldeira Ltda.,CNPJ: 84.143.842/4981-82,84143842498182,escola142.com.br,2023-04-28 00:00:00,2025-04-17 00:00:00
109,Pinto,CNPJ: 29.668.516/1227-53,29668516122753,,2022-10-06 00:00:00,2025-08-12 00:00:00
110,Jesus,,14562328588424,escola83.com.br,2022-01-04 00:00:00,2025-11-26 00:00:00
111,Martins,cnpj 87059325250029,,,2022-10-30 00:00:00,2024-06-25 00:00:00
112,da,,,escola77.com.br,2023-07-27 00:00:00,2024-03-19 00:00:00
113,Borges Escola,,,,2022-12-05 00:00:00,2025-02-05 00:00:00
114,Guerra,CNPJ: 97.700.886/0084-84,97700886008484,escola189.com.br,2022-01-12 00:00:00,2025-11-28 00:00:00
115,Abreu Ltda.,CNPJ: 27.570.596/4016-58,,,2022-04-14 00:00:00,2025-08-01 00:00:00
116,Silva,CNPJ: 05.153.195/2058-52,,escola128.com.br,2023-09-12 00:00:00,2024-02-24 00:00:00
117,Guerra Araújo S.A.,,,escola96.com.br,2023-08-24 00:00:00,2024-12-26 00:00:00
118,Novaes,,92755719285654,,2023-09-06 00:00:00,2025-02-19 00:00:00
119,Sampaio Escola,,62208635365419,escola242.com.br,2023-10-23 00:00:00,2025-04-26 00:00:00
120,Monteiro,,86179327104054,,2023-03-28 00:00:00,2024-09-17 00:00:00
121,Rodrigues - EI,CNPJ: 65.185.067/1657-26,,,2022-04-27 00:00:00,2024-12-27 00:00:00
122,Silva Colégio,cnpj 51680876038597,51680876038597,,2022-07-30 00:00:00,2025-08-20 00:00:00
123,Santos,CNPJ: 00.978.820/8121-91,00978820812191,escola21.com.br,2023-05-11 00:00:00,2025-03-27 00:00:00
124,Jesus Mendonça - ME,CNPJ: 69.847.896/1183-67,,escola95.com.br,2022-11-24 00:00:00,2025-03-18 00:00:00
125,Vieira Rodrigues - ME,,,escola45.com.br,2022-03-21 00:00:00,2024-08-14 00:00:00
126,Carvalho S.A.,cnpj 98250714611254,,,2022-08-29 00:00:00,2024-09-19 00:00:00
127,Leão Instituto,,,escola213.com.br,2022-08-24 00:00:00,2025-07-23 00:00:00
128,Oliveira,,,escola20.com.br,2023-03-10 00:00:00,2024-06-06 00:00:00
129,Pacheco Peixoto S/A,cnpj 52312432921277,52312432921277,escola109.com.br,2023-11-05 00:00:00,2024-12-23 00:00:00
130,Teixeira Fernandes S/A,cnpj 18227824896383,,,2022-09-05 00:00:00,2025-01-17 00:00:00
131,Azevedo,,29667066253244,,2023-05-19 00:00:00,2024-04-06 00:00:00
132,Andrade Instituto,,,escola32.com.br,2022-10-27 00:00:00,2024-08-24 00:00:00
133,Montenegro Centro Educacional,CNPJ: 77.221.704/3030-54,,escola129.com.br,2022-07-26 00:00:00,2024-05-08 00:00:00
134,Castro Colégio,,,escola313.com.br,2023-03-19 00:00:00,2024-09-16 00:00:00
135,da Costa e Filhos,,,escola273.com.br,2023-10-05 00:00:00,2025-05-22 00:00:00
136,Macedo,CNPJ: 54.216.894/2104-47,54216894210447,,2022-02-10 00:00:00,2025-04-30 00:00:00
137,Araújo Escola,,06797403447134,escola62.com.br,2022-11-13 00:00:00,2024-06-11 00:00:00
138,Silva Instituto,CNPJ: 00.623.120/3875-09,00623120387509,,2023-06-01 00:00:00,2024-06-23 00:00:00
139,Nunes Colégio,,61595148465648,,2023-04-12 00:00:00,2024-12-19 00:00:00
140,Câmara Instituto,CNPJ: 42.388.496/9653-28,42388496965328,escola8.com.br,2022-06-27 00:00:00,2025-08-02 00:00:00
141,Aragão - EI,,40369003432445,,2023-11-10 00:00:00,2024-01-15 00:00:00
142,Fogaça,,82449353487401,,2022-11-12 00:00:00,2025-09-18 00:00:00
143,Siqueira,CNPJ: 21.851.569/1545-22,,escola262.com.br,2022-09-18 00:00:00,2025-03-27 00:00:00
144,Ribeiro Colégio,,79970246299606,escola279.com.br,2023-05-27 00:00:00,2025-10-03 00:00:00
145,Sampaio Instituto,,82814893252880,escola11.com.br,2022-05-04 00:00:00,2024-05-20 00:00:00
146,Fogaça,,53394210470952,escola82.com.br,2022-06-06 00:00:00,2024-04-30 00:00:00
147,Fernandes,,62962015336884,escola269.com.br,2022-07-09 00:00:00,2025-06-23 00:00:00
148,da,,35408386631779,,2023-02-07 00:00:00,2024-03-29 00:00:00
149,Pires,,79356465193982,escola204.com.br,2023-07-11 00:00:00,2025-08-16 00:00:00
150,Carvalho Sousa S/A,,,escola3.com.br,2022-06-10 00:00:00,2025-12-22 00:00:00
151,da Escola,,,,2022-04-05 00:00:00,2024-07-19 00:00:00
152,Correia,,,escola287.com.br,2022-11-27 00:00:00,2024-11-27 00:00:00
153,Sá Instituto,CNPJ: 09.670.546/6889-37,09670546688937,,2022-04-29 00:00:00,2024-05-11 00:00:00
154,Novaes,,74529912419049,,2022-04-02 00:00:00,2025-11-07 00:00:00
155,Fonseca Lopes S/A,,74315274205493,,2023-04-19 00:00:00,2025-02-24 00:00:00
156,Pereira e Filhos,CNPJ: 12.805.982/6204-50,12805982620450,escola28.com.br,2023-04-09 00:00:00,2024-04-14 00:00:00
157,Mendes,cnpj 42257905072368,42257905072368,escola217.com.br,2022-11-20 00:00:00,2024-05-21 00:00:00
158,Pastor,,,escola73.com.br,2023-12-16 00:00:00,2024-09-23 00:00:00
159,Novaes,,86790874064039,escola172.com.br,2022-12-24 00:00:00,2025-07-08 00:00:00
160,Moura Escola,,10033092327193,escola47.com.br,2023-10-30 00:00:00,2024-02-01 00:00:00
161,da,,70283857865278,,2023-11-19 00:00:00,2024-02-02 00:00:00
162,da Rocha Cunha S/A,,59910229014767,,2023-06-24 00:00:00,2025-07-09 00:00:00
163,Araújo,cnpj 85931746120047,,escola86.com.br,2022-01-09 00:00:00,2024-02-26 00:00:00
164,Melo Colégio,,,escola186.com.br,2022-02-14 00:00:00,2025-04-04 00:00:00
165,Cunha Instituto,cnpj 51256746807154,51256746807154,,2023-01-03 00:00:00,2025-09-02 00:00:00
166,Carvalho,,12770632424154,,2022-07-13 00:00:00,2025-06-11 00:00:00
167,Barbosa Escola,,,,2022-07-13 00:00:00,2025-08-16 00:00:00
168,Alves,,03413164752553,,2023-06-17 00:00:00,2024-07-08 00:00:00
169,Cirino Colégio,,89856257532603,escola298.com.br,2023-08-17 00:00:00,2024-01-04 00:00:00
170,Souza Colégio,cnpj 97643815614978,,escola103.com.br,2023-12-06 00:00:00,2024-03-03 00:00:00
171,da,cnpj 80737416724342,80737416724342,escola205.com.br,2022-03-10 00:00:00,2024-12-13 00:00:00
172,Borges Centro Educacional,cnpj 20969029593917,20969029593917,,2023-02-21 00:00:00,2025-01-18 00:00:00
173,Azevedo Peixoto S/A,cnpj 05297516136968,05297516136968,escola107.com.br,2022-10-06 00:00:00,2025-11-28 00:00:00
174,Pacheco,,98687277434873,escola40.com.br,2022-11-17 00:00:00,2025-06-21 00:00:00
175,Jesus,,94647436713695,,2022-12-02 00:00:00,2024-05-20 00:00:00
176,Guerra Campos - EI,,16453521818835,,2022-09-01 00:00:00,2025-10-15 00:00:00
177,Azevedo,,10512382825867,,2022-01-01 00:00:00,2025-05-17 00:00:00
178,Machado,,72126464715437,escola201.com.br,2022-01-10 00:00:00,2025-10-26 00:00:00
179,Campos,,48086131712748,escola70.com.br,2022-06-30 00:00:00,2025-04-09 00:00:00
180,Câmara,,,escola192.com.br,2023-08-14 00:00:00,2025-10-06 00:00:00
181,Cunha,,,,2023-01-01 00:00:00,2024-01-22 00:00:00
182,da,CNPJ: 30.307.053/4578-61,30307053457861,,2022-04-10 00:00:00,2024-01-05 00:00:00
183,Vasconcelos,cnpj 18328569146303,18328569146303,escola237.com.br,2023-07-20 00:00:00,2024-07-27 00:00:00
184,Nunes Instituto,,,escola241.com.br,2023-12-31 00:00:00,2024-01-24 00:00:00
185,Peixoto Centro Educacional,,37575844198665,escola159.com.br,2023-07-06 00:00:00,2025-07-07 00:00:00
186,da Escola,,,,2022-07-19 00:00:00,2024-09-02 00:00:00
187,Garcia Escola,,72624731781080,escola18.com.br,2022-05-15 00:00:00,2025-01-16 00:00:00
188,da,,,escola66.com.br,2023-04-15 00:00:00,2024-08-06 00:00:00
189,Gomes Instituto,cnpj 30958498254494,30958498254494,,2022-05-05 00:00:00,2025-06-23 00:00:00
190,Macedo,,79415521667467,,2022-10-21 00:00:00,2024-01-13 00:00:00
191,Sá,cnpj 99371240659657,,escola202.com.br,2023-12-23 00:00:00,2025-05-26 00:00:00
192,Montenegro Escola,,10762268388516,escola105.com.br,2023-09-14 00:00:00,2025-07-07 00:00:00
193,Caldeira,,74741124903521,,2023-07-04 00:00:00,2025-06-30 00:00:00
194,Leão,,77252287280801,escola187.com.br,2023-04-13 00:00:00,2025-08-11 00:00:00
195,Martins Garcia Ltda.,CNPJ: 25.634.216/0733-75,,escola30.com.br,2022-07-07 00:00:00,2024-01-04 00:00:00
196,Albuquerque,,,escola116.com.br,2022-09-22 00:00:00,2024-12-28 00:00:00
197,Melo Centro Educacional,cnpj 53074505444713,,escola280.com.br,2023-09-19 00:00:00,2025-11-29 00:00:00
198,Vargas Ltda.,,98259526949588,escola153.com.br,2022-10-11 00:00:00,2024-05-05 00:00:00
199,Novais,,,,2023-08-15 00:00:00,2025-09-04 00:00:00
200,Sá Centro Educacional,,16179904210202,escola238.com.br,2023-02-16 00:00:00,2024-03-10 00:00:00
201,Fogaça Ltda.,,87676772190340,escola218.com.br,2023-05-20 00:00:00,2025-04-01 00:00:00
202,Leão e Filhos,,99799552717744,escola110.com.br,2022-05-23 00:00:00,2025-09-09 00:00:00
203,Brito Escola,CNPJ: 54.353.462/4751-07,,escola23.com.br,2022-07-16 00:00:00,2025-08-25 00:00:00
204,Lopes Viana - EI,,43959953428364,,2022-09-18 00:00:00,2024-12-10 00:00:00
205,Caldeira,,,escola126.com.br,2023-11-29 00:00:00,2024-04-01 00:00:00
206,Silveira Colégio,,01742684145933,escola168.com.br,2023-11-10 00:00:00,2024-02-08 00:00:00
207,Campos Novais - ME,,72181143744701,,2023-12-02 00:00:00,2025-07-30 00:00:00
208,Fernandes Escola,,15410067626765,,2023-11-28 00:00:00,2025-06-26 00:00:00
209,Lima Instituto,,,escola281.com.br,2022-05-21 00:00:00,2024-08-17 00:00:00
210,Cirino,CNPJ: 15.206.436/1103-71,,,2022-08-29 00:00:00,2025-11-18 00:00:00
211,da,CNPJ: 41.928.327/6483-50,,,2023-11-14 00:00:00,2024-01-16 00:00:00
212,Cassiano S.A.,CNPJ: 91.411.739/3483-56,,escola302.com.br,2023-01-28 00:00:00,2024-10-23 00:00:00
213,Teixeira S.A.,,,,2022-11-16 00:00:00,2025-06-13 00:00:00
214,Borges Instituto,,68548709986162,escola277.com.br,2022-11-04 00:00:00,2024-04-12 00:00:00
215,Albuquerque Colégio,,43292712966667,escola295.com.br,2022-12-09 00:00:00,2025-12-08 00:00:00
216,da Mata Castro e Filhos,,,,2023-05-19 00:00:00,2024-06-09 00:00:00
217,da Instituto,,,escola163.com.br,2022-07-20 00:00:00,2024-11-06 00:00:00
218,Rios Colégio,,,escola169.com.br,2023-12-06 00:00:00,2024-09-13 00:00:00
219,Moreira S.A.,CNPJ: 67.741.862/5652-70,67741862565270,escola272.com.br,2022-08-21 00:00:00,2024-01-30 00:00:00
220,Novaes Centro Educacional,,86101581995604,escola199.com.br,2022-04-08 00:00:00,2024-01-17 00:00:00
221,Pimenta Instituto,,,,2022-01-28 00:00:00,2024-02-09 00:00:00
222,da,CNPJ: 33.890.838/6379-40,33890838637940,escola2.com.br,2022-12-20 00:00:00,2025-12-10 00:00:00
223,Vargas Instituto,CNPJ: 36.193.990/9169-98,36193990916998,escola22.com.br,2023-04-05 00:00:00,2024-05-01 00:00:00
224,da Instituto,CNPJ: 07.903.067/3830-28,07903067383028,escola177.com.br,2022-09-03 00:00:00,2024-08-03 00:00:00
225,Sousa,,62588153714732,escola146.com.br,2023-01-31 00:00:00,2025-04-26 00:00:00
226,Barbosa,,,escola318.com.br,2022-07-30 00:00:00,2024-07-18 00:00:00
227,Sá Instituto,,19431142626551,escola197.com.br,2022-11-06 00:00:00,2024-07-16 00:00:00
228,da,,89944171545444,,2023-06-13 00:00:00,2025-11-08 00:00:00
229,Freitas da Paz S.A.,,59774688623924,escola120.com.br,2023-12-30 00:00:00,2025-01-17 00:00:00
230,Cavalcante,,,,2022-05-02 00:00:00,2024-02-22 00:00:00
231,Montenegro Instituto,,,escola55.com.br,2022-08-04 00:00:00,2025-12-03 00:00:00
232,Mendonça Escola,,46263838065787,,2022-03-18 00:00:00,2024-07-08 00:00:00
233,Câmara,,00479748016245,,2022-07-08 00:00:00,2025-09-24 00:00:00
234,Rios,CNPJ: 64.005.242/7868-01,64005242786801,,2023-12-12 00:00:00,2024-08-15 00:00:00
235,Marques Abreu e Filhos,cnpj 37770143634957,37770143634957,,2023-07-30 00:00:00,2025-09-12 00:00:00
236,Rios,,99867980793597,,2023-06-02 00:00:00,2025-04-21 00:00:00
237,Moraes Melo e Filhos,,66882634351751,escola181.com.br,2023-08-24 00:00:00,2024-08-14 00:00:00
238,Cardoso Centro Educacional,,,escola65.com.br,2023-03-16 00:00:00,2024-07-18 00:00:00
239,da Luz,,,,2022-06-03 00:00:00,2024-08-05 00:00:00
240,Alves,,09130756263689,,2023-12-20 00:00:00,2024-01-10 00:00:00
241,Escola Rocha,Cliente desde 2022,,,2023-05-02 00:00:00,2024-02-17 00:00:00
242,Instituto Pastor,,,,2023-12-08 00:00:00,2024-09-20 00:00:00
243,Escola Vargas,Cliente desde 2022,,,2023-10-05 00:00:00,2024-11-08 00:00:00
244,Escola Correia,,,,2022-03-24 00:00:00,2025-02-15 00:00:00
245,Colégio Moreira,,,,2023-01-18 00:00:00,2025-11-14 00:00:00
246,Colégio Fernandes,Verificar cadastro,,,2023-12-01 00:00:00,2024-10-23 00:00:00
247,Instituto Rocha,,,,2023-07-12 00:00:00,2024-04-22 00:00:00
248,Escola Sales,Cliente desde 2022,,,2022-06-07 00:00:00,2025-11-26 00:00:00
249,Escola Cirino,Verificar cadastro,,,2023-02-02 00:00:00,2024-01-29 00:00:00
250,Colégio Dias,Cliente desde 2022,,,2023-10-04 00:00:00,2025-03-01 00:00:00
251,Instituto Novaes,Verificar cadastro,,,2023-04-10 00:00:00,2025-10-28 00:00:00
252,Instituto Albuquerque,,,,2023-12-24 00:00:00,2024-12-29 00:00:00
253,Escola Rocha,Cliente desde 2022,,,2022-03-16 00:00:00,2025-06-25 00:00:00
254,Colégio Albuquerque,,,,2023-12-11 00:00:00,2025-11-04 00:00:00
255,Escola Azevedo,Cliente desde 2022,,,2023-08-21 00:00:00,2025-09-11 00:00:00
256,Instituto Albuquerque,Verificar cadastro,,,2022-05-29 00:00:00,2024-08-29 00:00:00
257,Instituto Jesus,Verificar cadastro,,,2022-09-03 00:00:00,2025-07-09 00:00:00
258,Escola Brito,Verificar cadastro,,,2022-02-17 00:00:00,2024-08-22 00:00:00
259,Colégio Moura,Verificar cadastro,,,2022-12-09 00:00:00,2024-08-02 00:00:00
260,Instituto Caldeira,Cliente desde 2022,,,2023-10-02 00:00:00,2024-03-12 00:00:00
261,Instituto Rodrigues,,,,2022-11-09 00:00:00,2025-03-10 00:00:00
262,Colégio Machado,Verificar cadastro,,,2022-09-20 00:00:00,2024-08-08 00:00:00
263,Colégio Ferreira,Verificar cadastro,,,2023-07-27 00:00:00,2025-06-06 00:00:00
264,Escola Câmara,,,,2022-07-22 00:00:00,2024-12-17 00:00:00
265,Colégio Silveira,,,,2023-09-14 00:00:00,2025-10-19 00:00:00
266,Colégio da Paz,Cliente desde 2022,,,2022-10-21 00:00:00,2025-10-05 00:00:00
267,Instituto da Cunha,Cliente desde 2022,,,2023-12-25 00:00:00,2024-11-18 00:00:00
268,Instituto Correia,,,,2022-06-29 00:00:00,2024-01-30 00:00:00
269,Escola Andrade,Verificar cadastro,,,2022-03-02 00:00:00,2024-09-07 00:00:00
270,Escola Alves,Cliente desde 2022,,,2022-10-10 00:00:00,2024-11-01 00:00:00
271,Escola Pinto,Verificar cadastro,,,2022-05-13 00:00:00,2025-06-30 00:00:00
272,Escola Borges,,,,2022-02-17 00:00:00,2024-10-24 00:00:00
273,Colégio Araújo,Cliente desde 2022,,,2023-11-18 00:00:00,2025-07-30 00:00:00
274,Instituto Peixoto,,,,2023-03-21 00:00:00,2024-08-11 00:00:00
275,Instituto Ribeiro,Verificar cadastro,,,2022-09-05 00:00:00,2024-01-31 00:00:00
276,Instituto Cunha,,,,2023-07-22 00:00:00,2024-11-05 00:00:00
277,Instituto Peixoto,,,,2022-03-30 00:00:00,2025-12-22 00:00:00
278,Colégio Porto,Cliente desde 2022,,,2023-02-11 00:00:00,2025-01-08 00:00:00
279,Instituto Campos,Verificar cadastro,,,2023-06-14 00:00:00,2025-07-20 00:00:00
280,Instituto Santos,Verificar cadastro,,,2023-10-06 00:00:00,2024-01-01 00:00:00
281,Colégio Campos,Cliente desde 2022,,,2022-01-29 00:00:00,2025-09-04 00:00:00
282,Instituto Borges,Verificar cadastro,,,2022-03-28 00:00:00,2024-04-06 00:00:00
283,Escola Pereira,Verificar cadastro,,,2022-07-16 00:00:00,2024-03-02 00:00:00
284,Instituto Cardoso,,,,2022-04-17 00:00:00,2025-02-14 00:00:00
