id_nf,numero_nf,serie_nf,id_pedido_erp_b,cnpj_cliente,nome_cliente,dt_emissao,valor_total,valor_impostos,cnpj_transportadora,nome_transportadora,codigo_rastreio,dt_prevista_entrega,dt_entrega_real,status_entrega,qtd_entregue,dt_criacao
33,NF-000033,2,521,35403317393638,Borges,2022-07-31,46099.8,4299.83,77546296934721,Jadlog,DR460SZTW6R9R,2022-08-07,2022-08-09,entregue,491,2022-08-01 00:00:00
34,NF-000034,3,661,36.226.609/3796-60,Nogueira Centro Educacional,2025-08-09,19321.16,2514.68,55481244322208,Correios,E2Q2Z6JMU25K2,2025-08-29,,em_transito,29,2025-08-09 00:00:00
35,NF-000035,3,191,58657809134316,Farias Escola,2023-05-02,40406.74,4966.84,07901319850452,Braspress,81ZBW3YD57FFT,2023-05-09,2023-05-09,entregue,116,2023-05-03 00:00:00
36,NF-000036,1,87,69901627204653,Vieira Colégio,2023-10-25,20436.8,1604.15,07901319850452,Braspress,HREJDYS9ULNIZ,2023-11-10,2023-10-30,entregue,352,2023-10-25 00:00:00
37,NF-000037,2,652,57.120.826/7734-54,Gomes Colégio,2022-03-10,18191.14,273.28,52000633388700,Sequoia Log,3TJVRQ2RYK4EX,2022-03-23,,em_transito,27,2022-03-11 00:00:00
38,NF-000038,2,1179,35.403.317/3936-38,Borges,2023-07-08,24377.04,3057.87,52000633388700,Sequoia Log,YYKBU4E441MJD,2023-07-27,,aguardando_coleta,354,2023-07-08 00:00:00
39,NF-000039,2,263,82300478686337,Pimenta Centro Educacional,2025-08-07,22448.75,2786.11,07901319850452,Braspress,LZ1DMNEMIZH7D,2025-08-14,,aguardando_coleta,25,2025-08-08 00:00:00
40,NF-000040,1,710,00623120387509,Silva Instituto,2025-09-02,11144.13,2689.99,50842145100973,Total Express,A43VJK8FL2OFW,2025-09-22,2025-09-20,entregue,199,2025-09-02 00:00:00
41,NF-000041,2,546,73799650752735,Camargo,2022-10-20,11969.11,1746.76,55481244322208,Correios,53VVGVVS3ORVF,2022-11-09,,extraviado,324,2022-10-20 00:00:00
42,NF-000042,1,618,73799650752735,Camargo,2025-08-11,27417.8,2957.9,55481244322208,Correios,FFRFFLRUGY3RW,2025-08-31,,aguardando_coleta,58,2025-08-11 00:00:00
43,NF-000043,1,61,48.086.131/7127-48,Campos Instituto,2025-10-29,38336.96,3230.18,50842145100973,Total Express,CPXBLCI0ETN83,2025-11-05,2025-11-17,entregue,487,2025-10-30 00:00:00
44,NF-000044,1,1124,75.564.641/7080-53,Gomes - ME,2025-01-18,7795.08,362.4,55481244322208,Correios,FHKBXCWB3YJSH,2025-01-23,,aguardando_coleta,45,2025-01-19 00:00:00
45,NF-000045,1,989,73.799.650/7527-35,Camargo,2023-01-01,27078.08,4077.65,52000633388700,Sequoia Log,SGA6T9P1JHLPX,2023-01-21,,extraviado,397,2023-01-01 00:00:00
46,NF-000046,1,1141,43.959.953/4283-64,Lopes Viana - EI,2024-05-19,14025.58,3421.2,52000633388700,Sequoia Log,2Q9YVAM8IGHZ8,2024-06-07,,em_transito,119,2024-05-19 00:00:00
47,NF-000047,3,92,52.431.069/0331-19,Novaes Escola,2024-01-14,1726.53,1742.75,07901319850452,Braspress,0ECIG0GJVE870,2024-01-24,,extraviado,58,2024-01-15 00:00:00
48,NF-000048,1,146,54.353.462/4751-07,Brito Escola,2023-12-20,31589.38,466.01,77546296934721,Jadlog,6T7O4HJ0FTQY7,2024-01-04,,devolvido,26,2023-12-20 00:00:00
49,NF-000049,1,650,08621182339845,Casa Colégio,2023-07-10,18149.54,1451.9,77546296934721,Jadlog,H33P9AYXCW8L3,2023-07-20,,em_transito,77,2023-07-10 00:00:00
50,NF-000050,1,1029,98.169.340/6088-35,Azevedo,2024-07-23,2148.7,2737.34,50842145100973,Total Express,CXFRAIH0N4WX9,2024-07-30,2024-08-16,entregue,165,2024-07-23 00:00:00
51,NF-000051,3,1045,85.807.836/1340-74,Mendonça Colégio,2024-09-01,22319.69,4942.04,52000633388700,Sequoia Log,AN2ZGHLYA04B2,2024-09-08,,extraviado,27,2024-09-01 00:00:00
52,NF-000052,2,538,17.381.684/6022-35,Sampaio Colégio,2025-09-27,29743.34,4539.77,07901319850452,Braspress,O0KXI49DAC25Y,2025-10-02,,extraviado,102,2025-09-27 00:00:00
53,NF-000053,2,1121,70.348.247/7109-32,Macedo,2024-09-15,29667.47,581.76,52000633388700,Sequoia Log,SUNTTHRHBTBPM,2024-09-26,,extraviado,59,2024-09-15 00:00:00
54,NF-000054,1,47,29667066253244,Azevedo,2023-11-16,31078.44,4426.82,55481244322208,Correios,M3AWOJDQI8MRN,2023-12-02,,extraviado,25,2023-11-16 00:00:00
55,NF-000055,2,215,54.589.297/5001-70,Barros Escola,2025-10-10,42619.14,4679.29,52000633388700,Sequoia Log,FM1SB19NCRS5U,2025-10-27,,aguardando_coleta,432,2025-10-11 00:00:00
56,NF-000056,1,518,59.774.688/6239-24,Freitas da Paz S.A.,2022-03-13,20359.6,4843.93,07901319850452,Braspress,QLG4KJM3ORL26,2022-03-23,,devolvido,107,2022-03-13 00:00:00
57,NF-000057,1,109,29.991.191/4856-46,Guerra Centro Educacional,2022-03-06,39373.0,4807.56,77546296934721,Jadlog,XEHZ4X4Q1QA95,2022-03-13,,extraviado,84,2022-03-06 00:00:00
58,NF-000058,1,1038,62.462.873/3427-08,Macedo Escola,2022-09-09,42527.6,1825.69,77546296934721,Jadlog,0WDGC5AM98C36,2022-09-19,,devolvido,348,2022-09-10 00:00:00
59,NF-000059,2,52,21.699.586/6934-65,Barbosa Instituto,2022-06-02,23079.56,1461.53,07901319850452,Braspress,SDNIDFV4C46MW,2022-06-15,2022-06-18,entregue,61,2022-06-02 00:00:00
60,NF-000060,3,140,29.121.277/5618-53,Barbosa Pastor e Filhos,2025-08-14,28558.62,1791.85,77546296934721,Jadlog,OR7I6TVES2RI2,2025-08-20,2025-08-31,entregue,236,2025-08-14 00:00:00
61,NF-000061,1,281,82.300.478/6863-37,Pimenta Centro Educacional,2024-04-22,2353.62,837.87,52000633388700,Sequoia Log,VFUIP63K23N0G,2024-05-04,,em_transito,451,2024-04-22 00:00:00
62,NF-000062,1,676,64.235.369/3785-47,Melo Pimenta S/A,2023-10-29,21460.31,2972.43,07901319850452,Braspress,0BSE8RZ9JA9JD,2023-11-05,,em_transito,194,2023-10-29 00:00:00
63,NF-000063,3,26,10.469.632/5953-27,da Colégio,2023-09-23,16010.38,555.89,55481244322208,Correios,56PX9Q26TPBPP,2023-10-11,,aguardando_coleta,117,2023-09-23 00:00:00
64,NF-000064,1,463,47143455812236,Fonseca Centro Educacional,2025-09-19,34776.06,1590.94,77546296934721,Jadlog,5R5IZWJR4RD66,2025-09-29,2204-09-19,entregue,103,2025-09-20 00:00:00
65,NF-000065,2,954,81.491.778/5079-25,da Costa Cardoso - ME,2025-06-11,24265.71,4612.94,07901319850452,Braspress,T27RGVEL3F0HB,2025-06-27,,extraviado,22,2025-06-12 00:00:00
66,NF-000066,3,681,60.083.505/8300-33,Melo Instituto,2023-03-14,37570.98,4268.54,77546296934721,Jadlog,NWLRSLQB8TDXR,2023-03-23,2023-03-26,entregue,474,2023-03-14 00:00:00
67,NF-000067,3,609,62120216979729,Pastor Centro Educacional,2023-10-03,43506.07,3960.58,55481244322208,Correios,DY52TYU2OZW9A,2023-10-18,,extraviado,147,2023-10-03 00:00:00
68,NF-000068,2,682,67528953926442,Duarte,2022-10-02,15197.63,4374.56,50842145100973,Total Express,85Q1PX6HXLX0F,2022-10-21,,aguardando_coleta,32,2022-10-03 00:00:00
69,NF-000069,2,114,18.644.925/1925-46,Sá Escola,2024-01-26,14916.41,4822.65,50842145100973,Total Express,FYM3XMLTKA726,2024-02-12,2024-02-20,entregue,169,2024-01-27 00:00:00
70,NF-000070,2,759,85.807.836/1340-74,Mendonça Colégio,2025-06-10,13440.57,3867.03,50842145100973,Total Express,KA14Y8AFEFK9I,2025-06-15,,em_transito,26,2025-06-11 00:00:00
71,NF-000071,3,1122,41.036.971/1798-08,Carvalho Ltda.,2025-02-25,39499.03,630.18,07901319850452,Braspress,Y7AVKHAF8UFEX,2025-03-13,,devolvido,6,2025-02-25 00:00:00
72,NF-000072,1,1154,03.926.142/9396-85,Novais S.A.,2023-04-07,31922.93,4382.22,77546296934721,Jadlog,VJV5LE8INJUI1,2023-04-21,,aguardando_coleta,4,2023-04-08 00:00:00
73,NF-000073,3,118,18.227.824/8963-83,Teixeira Fernandes S/A,2022-05-17,43396.43,514.62,50842145100973,Total Express,0LORXHYDUZYR9,2022-05-26,2022-05-28,entregue,121,2022-05-18 00:00:00
74,NF-000074,1,220,61201836675254,Cassiano Escola,2024-07-30,19105.21,2235.98,07901319850452,Braspress,XUCV6DZQGUFJH,2024-08-04,,em_transito,44,2024-07-30 00:00:00
75,NF-000075,3,1135,17381684602235,Sampaio Colégio,2024-02-27,13972.34,3059.73,77546296934721,Jadlog,WXUB4DS1EO5J1,2024-03-10,,aguardando_coleta,136,2024-02-27 00:00:00
76,NF-000076,2,757,85.807.836/1340-74,Mendonça Colégio,2022-06-19,4038.71,4356.11,50842145100973,Total Express,R441CAZO4PY19,2022-06-27,,aguardando_coleta,114,2022-06-19 00:00:00
77,NF-000077,2,642,35680442067883,Vieira - EI,2022-08-11,33768.33,4458.92,07901319850452,Braspress,SOVS2SLZZ4NVK,2022-08-23,,extraviado,446,2022-08-12 00:00:00
78,NF-000078,1,703,28.498.776/9453-14,Vargas Escola,2022-08-02,1472.02,3335.38,77546296934721,Jadlog,VHIUN28UW5XXM,2022-08-13,2022-09-01,entregue,450,2022-08-02 00:00:00
79,NF-000079,2,178,56.924.593/7526-54,Porto da Mota - EI,2023-05-20,33071.11,3542.18,55481244322208,Correios,VC5958W6GVGE1,2023-05-28,,extraviado,177,2023-05-20 00:00:00
80,NF-000080,3,514,06537947383473,Azevedo Escola,2022-08-24,32958.51,423.91,07901319850452,Braspress,590NBL9L1DQLS,2022-09-07,,aguardando_coleta,40,2022-08-25 00:00:00
81,NF-000081,1,98,30.958.498/2544-94,Gomes Instituto,2023-10-27,42789.2,4070.15,77546296934721,Jadlog,CTJM5O43RQCU9,2023-11-11,,devolvido,85,2023-10-27 00:00:00
82,NF-000082,3,1184,59.774.688/6239-24,Freitas da Paz S.A.,2025-06-09,14194.27,2380.53,07901319850452,Braspress,FNHI3D0R5DXED,2025-06-23,,em_transito,63,2025-06-10 00:00:00
83,NF-000083,1,523,10.033.092/3271-93,Moura,2023-08-18,18394.63,429.2,07901319850452,Braspress,4PTK3TEWQ2BV9,2023-09-03,2023-09-12,entregue,302,2023-08-19 00:00:00
84,NF-000084,3,1005,40781618495931,Pastor Instituto,2023-10-29,3452.62,551.77,77546296934721,Jadlog,VLQUIEU638VQN,2023-11-05,,em_transito,375,2023-10-29 00:00:00
85,NF-000085,2,594,11382675869261,Caldeira Instituto,2023-08-17,9356.39,420.39,55481244322208,Correios,DRZJTSJWLASRM,2023-08-30,,aguardando_coleta,28,2023-08-17 00:00:00
86,NF-000086,3,974,66179796886805,da Costa,2022-07-18,7214.47,337.06,52000633388700,Sequoia Log,BCNT6G1XNK44S,2022-08-05,2022-08-10,entregue,83,2022-07-18 00:00:00
87,NF-000087,2,936,84422583132370,Nogueira Andrade Ltda.,2023-05-21,40660.2,3287.26,55481244322208,Correios,XQNXKXK8BGEKY,2023-06-10,2023-06-15,entregue,227,2023-05-22 00:00:00
88,NF-000088,2,771,59.910.229/0147-67,da Colégio,2025-06-02,47395.76,1765.92,52000633388700,Sequoia Log,VS9AFZK27KHRZ,2025-06-16,,devolvido,24,2025-06-02 00:00:00
89,NF-000089,1,569,47312172715518,Camargo S/A,2022-05-04,33841.52,4518.43,77546296934721,Jadlog,EM6TBNF0DH1VG,2022-05-19,,extraviado,120,2022-05-05 00:00:00
90,NF-000090,2,828,35.680.442/0678-83,Vieira - EI,2024-04-29,3980.75,1879.92,07901319850452,Braspress,VH12ES17WLJ5J,2024-05-09,,devolvido,47,2024-04-30 00:00:00
91,NF-000091,3,453,58997571130554,Machado,2022-10-22,11095.21,3066.75,52000633388700,Sequoia Log,L3HMQKV5RXVAH,2022-11-01,2022-11-17,entregue,395,2022-10-23 00:00:00
92,NF-000092,2,1014,17381684602235,Sampaio Colégio,2025-10-29,49626.63,2955.67,55481244322208,Correios,6QT21NI7QY4N5,2025-11-06,2025-11-12,entregue,207,2025-10-29 00:00:00
93,NF-000093,1,983,74529912419049,Novaes Instituto,2025-08-16,29131.74,4039.54,77546296934721,Jadlog,ACODWVL7CM30O,2025-08-26,,devolvido,56,2025-08-17 00:00:00
94,NF-000094,1,304,04.637.454/9904-53,Ribeiro,2023-01-16,5743.12,3374.75,55481244322208,Correios,EL02X03ZBY1OF,2023-02-01,,extraviado,43,2023-01-16 00:00:00
95,NF-000095,2,280,74.687.234/3098-05,Oliveira Centro Educacional,2025-10-28,15725.16,2094.33,77546296934721,Jadlog,3CPFSO7TYIZJ0,2025-11-05,,devolvido,65,2025-10-28 00:00:00
96,NF-000096,3,1011,23.166.587/6036-69,Carvalho Moraes - ME,2022-02-18,42238.48,4904.24,07901319850452,Braspress,MALU246L7LUJL,2022-03-10,,extraviado,227,2022-02-18 00:00:00
97,NF-000097,3,579,57.120.826/7734-54,Gomes Colégio,2025-11-13,41693.66,915.74,07901319850452,Braspress,IVCEM2MMXFKD2,2025-12-03,,aguardando_coleta,3,2025-11-13 00:00:00
98,NF-000098,1,654,86571918261990,das Colégio,2025-06-20,7370.11,3085.95,77546296934721,Jadlog,U92QO4VZHNHVJ,2025-06-28,2025-06-27,entregue,277,2025-06-20 00:00:00
99,NF-000099,1,172,41.928.327/6483-50,da Conceição Montenegro - EI,2025-04-19,7153.98,1930.62,07901319850452,Braspress,J23WX2KWJ1Q6J,2025-05-09,,extraviado,16,2025-04-20 00:00:00
100,NF-000100,1,958,03579727985524,da Centro Educacional,2025-11-25,27396.21,719.74,07901319850452,Braspress,9IGX592REZZ2F,2025-12-02,,aguardando_coleta,77,2025-11-25 00:00:00
101,NF-000101,3,928,37770143634957,Marques Escola,2023-04-23,3064.32,4683.56,50842145100973,Total Express,NQC7TT95C1AI0,2023-05-10,,aguardando_coleta,313,2023-04-24 00:00:00
102,NF-000102,1,802,51256746807154,Cunha,2022-11-28,31431.99,2872.86,77546296934721,Jadlog,AVTEXK30GFZS8,2022-12-05,,aguardando_coleta,197,2022-11-29 00:00:00
103,NF-000103,1,493,56.670.106/5133-38,Nascimento,2023-11-30,21409.85,3220.74,50842145100973,Total Express,5JLFR38MI3HKF,2023-12-12,,aguardando_coleta,12,2023-11-30 00:00:00
104,NF-000104,3,82,29.387.005/1627-13,da Escola,2022-04-12,47117.61,4957.11,07901319850452,Braspress,2MSQJ1410AY5T,2022-04-20,2022-04-17,entregue,302,2022-04-12 00:00:00
105,NF-000105,1,586,60083505830033,Melo Instituto,2025-12-16,20275.05,2515.86,77546296934721,Jadlog,6I1Z13UB61ZS4,2025-12-24,,em_transito,311,2025-12-17 00:00:00
106,NF-000106,3,487,64235369378547,Melo Pimenta S/A,2025-09-09,1639.43,2621.93,50842145100973,Total Express,JGLSV0FI26S7O,2025-09-27,2025-10-03,entregue,552,2025-09-10 00:00:00
107,NF-000107,3,132,57120826773454,Gomes Colégio,2022-07-28,24745.67,740.96,77546296934721,Jadlog,Z88UXI2E1JX39,2022-08-14,,em_transito,209,2022-07-29 00:00:00
108,NF-000108,1,690,14.562.328/5884-24,Jesus,2022-03-23,23501.44,2523.18,07901319850452,Braspress,0JYAF2BWI7K3Y,2022-04-06,2022-04-10,entregue,413,2022-03-23 00:00:00
109,NF-000109,2,399,20.455.611/0022-55,Vasconcelos Colégio,2023-08-10,26969.7,1153.03,52000633388700,Sequoia Log,VKSJ6LVPXKQ9D,2023-08-17,,aguardando_coleta,47,2023-08-11 00:00:00
110,NF-000110,3,235,47.743.490/2115-86,da Costa e Filhos,2025-02-09,21945.66,4805.78,50842145100973,Total Express,B01RJZX5RYR2J,2025-02-26,,devolvido,194,2025-02-09 00:00:00
111,NF-000111,2,175,42087375300119,Barros Centro Educacional,2022-10-11,49470.36,4570.22,52000633388700,Sequoia Log,0JRV3Q1IN0BX8,2022-10-24,,em_transito,442,2022-10-11 00:00:00
112,NF-000112,2,520,04.637.454/9904-53,Ribeiro,2022-11-13,30212.12,2361.43,55481244322208,Correios,ZVEVC7IC1377L,2022-11-22,2022-12-06,entregue,86,2022-11-14 00:00:00
113,NF-000113,3,214,68548709986162,Borges Instituto,2026-01-06,15950.15,818.08,52000633388700,Sequoia Log,GOHOBMSJ9ISBB,2026-01-21,,extraviado,160,2026-01-06 00:00:00
114,NF-000114,2,277,62.208.635/3654-19,Sampaio,2024-11-22,20150.56,976.78,55481244322208,Correios,MOF9Q3GY28B63,2024-12-07,,em_transito,13,2024-11-23 00:00:00
115,NF-000115,1,500,82.417.248/2513-53,da Rosa Albuquerque e Filhos,2025-11-28,12641.31,3052.12,55481244322208,Correios,2XFRYZWEL8FM4,2025-12-06,,extraviado,35,2025-11-29 00:00:00
116,NF-000116,1,481,87.083.172/7889-57,Souza Centro Educacional,2024-12-12,46228.2,3727.31,55481244322208,Correios,KAFAVO5HFPRXG,2024-12-27,2024-12-18,entregue,110,2024-12-12 00:00:00
117,NF-000117,1,225,60.898.992/1722-33,Sales Instituto,2025-08-03,12051.95,3299.12,55481244322208,Correios,6APJA5IQTRSQ7,2025-08-09,,extraviado,108,2025-08-04 00:00:00
118,NF-000118,3,965,19431142626551,Sá,2024-03-26,34280.69,2651.16,52000633388700,Sequoia Log,2DG3DM525FA8B,2024-04-10,,extraviado,90,2024-03-26 00:00:00
119,NF-000119,1,438,43.842.797/8819-14,Leão,2025-06-21,38712.39,1968.22,77546296934721,Jadlog,5FCAXNIG1RJMJ,2025-06-29,,devolvido,342,2025-06-21 00:00:00
120,NF-000120,1,445,84.866.618/8924-14,Ferreira S.A.,2022-10-17,16082.96,2577.68,50842145100973,Total Express,CM7LX6QCCK3QT,2022-11-01,,em_transito,22,2022-10-17 00:00:00
121,NF-000121,2,816,83.046.990/1398-37,Ribeiro Centro Educacional,2023-10-23,43797.61,3206.32,55481244322208,Correios,5NJLM0T2QUSV9,2023-11-03,2023-11-06,entregue,26,2023-10-24 00:00:00
122,NF-000122,3,603,37770143634957,Marques Escola,2024-03-16,13403.8,2659.96,07901319850452,Braspress,8O3P5UMKUAAWA,2024-03-21,,em_transito,5,2024-03-17 00:00:00
123,NF-000123,1,259,97.700.886/0084-84,Guerra,2025-04-02,8849.14,75.25,52000633388700,Sequoia Log,RFP7EESPKYA2I,2025-04-20,,aguardando_coleta,146,2025-04-02 00:00:00
124,NF-000124,1,1041,50821486289023,Fogaça Instituto,2025-10-09,11680.33,4679.9,52000633388700,Sequoia Log,D3YW5CUEYP52O,2025-10-20,,aguardando_coleta,11,2025-10-09 00:00:00
125,NF-000125,1,672,46584044997278,Pastor Instituto,2022-10-20,41752.26,3586.95,07901319850452,Braspress,2FO4EZP98Y33S,2022-11-09,2022-11-02,entregue,43,2022-10-21 00:00:00
126,NF-000126,1,659,65676618251286,Rocha Escola,2022-04-08,15614.0,1299.5,07901319850452,Braspress,CLGRP1OKP92AR,2022-04-21,,em_transito,306,2022-04-09 00:00:00
127,NF-000127,1,164,45.494.808/3136-78,Lopes Instituto,2023-01-28,49153.15,4596.97,55481244322208,Correios,DT6V9N3SDSKE6,2023-02-04,,em_transito,42,2023-01-29 00:00:00
128,NF-000128,2,649,03.926.142/9396-85,Novais S.A.,2023-07-11,16092.18,1935.7,07901319850452,Braspress,698K229ENV4YC,2023-07-16,,em_transito,33,2023-07-12 00:00:00
129,NF-000129,1,459,75588675339636,Pastor Câmara S/A,2023-07-23,18197.9,1039.92,55481244322208,Correios,OGR9HP0TU7X7F,2023-07-28,2023-07-29,entregue,448,2023-07-23 00:00:00
130,NF-000130,2,115,65.047.735/8662-96,Rios Colégio,2025-01-29,24697.32,1299.26,55481244322208,Correios,HKD8NCPLN7BJ2,2025-02-04,2025-02-20,entregue,156,2025-01-30 00:00:00
131,NF-000131,3,871,22.842.102/0539-50,Martins,2023-01-31,9304.45,2838.51,07901319850452,Braspress,R8VMKBNUWM1I6,2023-02-16,2023-02-07,entregue,81,2023-01-31 00:00:00
132,NF-000132,1,394,35.408.386/6317-79,da Luz Ribeiro S/A,2023-12-27,16983.78,4322.45,52000633388700,Sequoia Log,JCX10N43NPPC1,2024-01-14,,devolvido,20,2023-12-28 00:00:00
133,NF-000133,2,397,86.874.034/5054-15,da Cunha,2022-09-12,7283.29,3532.75,50842145100973,Total Express,1D5E5A65RX590,2022-09-24,,extraviado,214,2022-09-12 00:00:00
134,NF-000134,2,976,66.179.796/8868-05,da Costa,2024-04-10,26375.52,2215.68,77546296934721,Jadlog,HUQYK257AOEV1,2024-04-16,2024-04-16,entregue,308,2024-04-10 00:00:00
