id_pedido,id_escola,num_contrato,dt_pedido,dt_entrega_prevista,status,id_vendedor,dt_criacao,dt_atualizacao
25,50,ARCO-2022-00171,2025-06-01,2025-08-16,cancelled,16,2025-06-02 00:00:00,2025-07-09 00:00:00
26,114,,2023-09-19,2023-10-27,E,18,2023-09-19 00:00:00,2023-10-08 00:00:00
27,72,,2025-09-19,2025-12-09,pendente,19,2025-09-19 00:00:00,2025-11-03 00:00:00
28,242,ARCO-2025-00018,2022-09-24,2022-11-12,pendente,16,2022-09-25 00:00:00,2022-11-04 00:00:00
29,29,,2024-09-16,2024-12-13,IN_PROGRESS,4,2024-09-17 00:00:00,2024-10-23 00:00:00
30,238,,2024-12-09,2025-02-11,em_andamento,5,2024-12-09 00:00:00,2024-12-25 00:00:00
31,239,ARCO-2023-00221,2025-02-14,2025-03-02,PENDING,18,2025-02-15 00:00:00,2025-02-20 00:00:00
32,1,,2025-07-24,2025-08-21,cancelado,16,2025-07-25 00:00:00,2025-09-02 00:00:00
33,48,ARCO-2025-00010,2022-05-30,2022-08-15,cancelado,11,2022-05-30 00:00:00,2022-07-08 00:00:00
34,26,ARCO-2025-00188,2022-10-31,2022-11-28,cancelled,18,2022-10-31 00:00:00,2022-12-22 00:00:00
35,14,ARCO-2023-00176,2025-05-22,2025-06-19,em_andamento,10,2025-05-23 00:00:00,2025-07-14 00:00:00
36,226,ARCO202300353,2022-09-24,2022-10-12,entregue,13,2022-09-24 00:00:00,2022-10-15 00:00:00
37,201,,2025-01-08,2025-03-11,A,10,2025-01-08 00:00:00,2025-02-09 00:00:00
38,82,ARCo-2022-00249,2023-11-22,2024-02-05,CANCELLED,15,2023-11-22 00:00:00,2024-01-01 00:00:00
39,79,ARCO202400282,2025-12-13,2026-02-09,PENDING,9,2025-12-13 00:00:00,2026-01-26 00:00:00
40,28,ARCO-2025-00297,2022-05-27,2022-08-08,em_andamento,4,2022-05-28 00:00:00,2022-07-18 00:00:00
41,155,ARCO-2025-00043,2023-11-05,2023-12-20,P,20,2023-11-06 00:00:00,2023-11-12 00:00:00
42,163,ARCO-2023-00275,2023-07-30,2023-09-22,CANCELLED,4,2023-07-30 00:00:00,2023-09-10 00:00:00
43,222,,2024-09-13,2024-10-02,E,20,2024-09-13 00:00:00,2024-10-07 00:00:00
44,187,,2024-09-21,2024-11-03,E,4,2024-09-21 00:00:00,2024-10-12 00:00:00
45,143,,2023-02-21,2023-03-13,pendente,11,2023-02-21 00:00:00,2023-03-08 00:00:00
46,72,,2024-09-04,2024-10-25,entregue,19,2024-09-05 00:00:00,2024-09-21 00:00:00
47,197,ARCO-2025-00312,2023-11-02,2023-12-05,C,3,2023-11-03 00:00:00,2023-11-16 00:00:00
48,151,ARCo-2024-00139,2023-09-17,2023-12-12,pending,6,2023-09-18 00:00:00,2023-10-04 00:00:00
49,136,ARCO-2025-00058,2024-07-31,2024-10-08,delivered,6,2024-08-01 00:00:00,2024-08-11 00:00:00
50,228,ARCO-2025-00365,2023-10-12,2023-10-30,cancelado,3,2023-10-13 00:00:00,2023-11-27 00:00:00
51,175,,2023-09-19,2023-11-18,E,4,2023-09-20 00:00:00,2023-10-01 00:00:00
52,248,,2022-05-04,2022-06-22,pending,2,2022-05-04 00:00:00,2022-06-27 00:00:00
53,134,,2024-05-02,2024-07-31,cancelled,15,2024-05-03 00:00:00,2024-06-07 00:00:00
54,88,ARCO-2024-00202,2024-02-14,2024-03-14,C,8,2024-02-14 00:00:00,2024-04-03 00:00:00
55,84,ARCO202300135,2022-02-26,2022-03-15,cancelado,5,2022-02-26 00:00:00,2022-03-20 00:00:00
56,143,,2025-04-26,2025-07-10,cancelled,11,2025-04-27 00:00:00,2025-04-30 00:00:00
57,42,ARCO-2024-00214,2024-12-19,2025-01-29,cancelled,16,2024-12-20 00:00:00,2025-01-03 00:00:00
58,151,,2025-02-10,2025-03-23,C,6,2025-02-10 00:00:00,2025-04-05 00:00:00
59,162,ARCO-2023-00267,2023-08-23,2023-10-22,A,8,2023-08-23 00:00:00,2023-09-20 00:00:00
60,27,ARCO-2024-00081,2025-12-04,2026-01-06,em_andamento,20,2025-12-05 00:00:00,2026-01-15 00:00:00
61,57,ARCO-2023-00120,2025-10-12,2025-11-21,C,12,2025-10-13 00:00:00,2025-11-28 00:00:00
62,198,ARCo-2025-00365,2023-06-06,2023-08-08,cancelled,4,2023-06-07 00:00:00,2023-06-30 00:00:00
63,101,,2024-02-15,2024-03-19,A,6,2024-02-15 00:00:00,2024-02-19 00:00:00
64,35,,2022-04-08,2022-05-06,entregue,3,2022-04-09 00:00:00,2022-04-30 00:00:00
65,63,ARCO-2023-00116,2024-07-09,2024-09-30,C,9,2024-07-09 00:00:00,2024-09-07 00:00:00
66,113,,2023-01-05,2023-02-19,DELIVERED,15,2023-01-06 00:00:00,2023-02-25 00:00:00
67,194,,2023-06-21,2023-07-29,pending,1,2023-06-22 00:00:00,2023-08-05 00:00:00
68,84,ARCO-2025-00311,2025-07-31,2025-09-22,cancelado,5,2025-08-01 00:00:00,2025-08-23 00:00:00
69,177,ARCO-2025-00058,2023-03-28,2023-05-02,em_andamento,1,2023-03-28 00:00:00,2023-05-07 00:00:00
70,158,ARCO-2025-00350,2022-06-08,2022-07-27,entregue,16,2022-06-09 00:00:00,2022-07-27 00:00:00
71,14,ARCO-2023-00258,2022-07-26,2022-09-03,pendente,10,2022-07-27 00:00:00,2022-08-09 00:00:00
72,245,,2025-12-22,2026-02-27,A,4,2025-12-22 00:00:00,2026-01-03 00:00:00
73,93,ARCO-2025-00365,2025-07-15,2025-10-07,CANCELLED,10,2025-07-16 00:00:00,2025-09-11 00:00:00
74,120,Arco-2025-00164,2025-07-13,2025-09-24,C,7,2025-07-13 00:00:00,2025-07-17 00:00:00
75,30,ARCO-2022-00053,2022-03-01,2022-05-01,DELIVERED,11,2022-03-01 00:00:00,2022-04-16 00:00:00
76,218,ARCO202400080,2025-03-25,2025-04-17,pending,3,2025-03-26 00:00:00,2025-05-01 00:00:00
77,214,ARCO-2022-00022,2024-10-20,2024-12-12,cancelled,9,2024-10-20 00:00:00,2024-11-06 00:00:00
78,121,ARCO-2022-00123,2025-02-02,2025-03-19,P,2,2025-02-02 00:00:00,2025-03-22 00:00:00
79,10,ARCO-2024-00118,2025-07-10,2025-08-07,A,20,2025-07-10 00:00:00,2025-07-19 00:00:00
80,38,ARCO-2023-00140,2025-12-03,2025-12-29,IN_PROGRESS,17,2025-12-03 00:00:00,2026-01-16 00:00:00
81,120,ARCO-2023-00038,2023-12-30,2024-01-17,pendente,7,2023-12-30 00:00:00,2024-01-21 00:00:00
82,181,Arco-2023-00078,2022-04-08,2022-06-26,entregue,8,2022-04-08 00:00:00,2022-04-21 00:00:00
83,239,ARCO-2025-00074,2023-05-30,2023-07-02,C,18,2023-05-30 00:00:00,2023-07-17 00:00:00
84,179,ARCO-2023-00248,2022-12-13,2023-02-12,PENDING,5,2022-12-14 00:00:00,2023-01-12 00:00:00
85,62,ARCO-2025-00114,2023-03-12,2023-05-17,A,20,2023-03-13 00:00:00,2023-04-08 00:00:00
86,42,,2024-11-25,2024-12-12,cancelled,16,2024-11-25 00:00:00,2024-12-16 00:00:00
87,36,,2023-09-26,2023-11-19,PENDING,10,2023-09-27 00:00:00,2023-11-18 00:00:00
88,196,ARCo-2025-00358,2022-10-21,2022-12-31,cancelled,6,2022-10-22 00:00:00,2022-12-19 00:00:00
89,139,ARCO-2025-00255,2022-09-04,2022-11-13,C,9,2022-09-04 00:00:00,2022-11-02 00:00:00
90,79,,2025-01-14,2025-02-22,em_andamento,9,2025-01-15 00:00:00,2025-01-26 00:00:00
91,165,ARCO-2023-00335,2024-03-30,2024-05-11,pending,20,2024-03-30 00:00:00,2024-05-14 00:00:00
92,139,ARCO-2024-00239,2023-12-29,2024-03-11,E,9,2023-12-29 00:00:00,2024-02-10 00:00:00
93,190,Arco-2023-00102,2023-05-27,2023-08-21,A,10,2023-05-28 00:00:00,2023-07-02 00:00:00
94,41,,2024-09-26,2024-11-16,IN_PROGRESS,3,2024-09-26 00:00:00,2024-10-06 00:00:00
95,249,ARCO-2022-00168,2024-02-08,2024-03-25,IN_PROGRESS,2,2024-02-08 00:00:00,2024-03-27 00:00:00
96,246,ARCO-2023-00316,2024-02-16,2024-04-23,pending,4,2024-02-17 00:00:00,2024-04-11 00:00:00
97,146,arco-2023-00101,2022-07-08,2022-09-01,CANCELLED,18,2022-07-09 00:00:00,2022-08-06 00:00:00
98,177,ARCO-2022-00274,2023-09-30,2023-12-11,pending,1,2023-10-01 00:00:00,2023-10-23 00:00:00
99,192,ARCO-2024-00341,2024-11-11,2025-01-11,em_andamento,6,2024-11-11 00:00:00,2024-12-31 00:00:00
100,187,ARCO-2024-00260,2022-04-21,2022-07-15,PENDING,4,2022-04-22 00:00:00,2022-04-24 00:00:00
101,171,Arco-2024-00151,2023-03-17,2023-05-16,IN_PROGRESS,10,2023-03-17 00:00:00,2023-04-13 00:00:00
102,245,,2023-08-01,2023-08-22,CANCELLED,4,2023-08-02 00:00:00,2023-08-06 00:00:00
103,77,,2025-05-14,2025-07-14,A,10,2025-05-14 00:00:00,2025-06-18 00:00:00
104,26,ARCO-2025-00018,2023-10-27,2024-01-03,PENDING,18,2023-10-27 00:00:00,2023-11-20 00:00:00
105,115,ARCO-2024-00214,2024-07-27,2024-10-20,pending,14,2024-07-28 00:00:00,2024-08-25 00:00:00
106,187,,2023-03-27,2023-04-26,C,4,2023-03-27 00:00:00,2023-04-12 00:00:00
107,203,ARCO-2024-00303,2024-05-22,2024-06-11,C,9,2024-05-22 00:00:00,2024-07-14 00:00:00
108,12,ARCO202400173,2022-10-13,2022-10-31,DELIVERED,11,2022-10-13 00:00:00,2022-12-06 00:00:00
109,216,,2022-02-25,2022-04-25,delivered,4,2022-02-25 00:00:00,2022-03-24 00:00:00
110,52,ARCO-2023-00200,2023-10-29,2024-01-07,PENDING,12,2023-10-29 00:00:00,2023-11-22 00:00:00
111,40,ARCO-2025-00350,2023-07-31,2023-10-20,P,15,2023-07-31 00:00:00,2023-09-19 00:00:00
112,166,ARCO-2025-00026,2024-08-27,2024-11-18,E,14,2024-08-27 00:00:00,2024-09-26 00:00:00
113,108,ARCO-2022-00340,2025-11-23,2026-02-21,A,3,2025-11-24 00:00:00,2025-12-22 00:00:00
114,92,ARCO-2024-00238,2024-01-11,2024-01-28,IN_PROGRESS,13,2024-01-11 00:00:00,2024-01-22 00:00:00
115,158,ARCO-2025-00086,2025-01-23,2025-04-08,pendente,16,2025-01-23 00:00:00,2025-03-05 00:00:00
116,206,ARCO-2024-00264,2023-05-28,2023-07-01,P,7,2023-05-29 00:00:00,2023-06-22 00:00:00
117,120,ARCO-2023-00266,2025-08-18,2025-11-13,cancelado,7,2025-08-18 00:00:00,2025-09-07 00:00:00
118,10,ARCO-2022-00277,2022-05-14,2022-07-28,E,20,2022-05-14 00:00:00,2022-06-18 00:00:00
119,101,,2025-10-19,2026-01-03,IN_PROGRESS,6,2025-10-20 00:00:00,2025-12-08 00:00:00
120,14,ARCO-2022-00162,2022-09-29,2022-12-26,cancelado,10,2022-09-29 00:00:00,2022-10-03 00:00:00
121,92,,2025-05-28,2025-08-04,IN_PROGRESS,13,2025-05-28 00:00:00,2025-07-03 00:00:00
122,47,,2023-03-10,2023-03-31,A,15,2023-03-10 00:00:00,2023-05-05 00:00:00
123,115,,2024-09-18,2024-10-29,CANCELLED,14,2024-09-19 00:00:00,2024-10-18 00:00:00
124,85,ARCO-2022-00333,2022-01-08,2022-01-30,em_andamento,16,2022-01-08 00:00:00,2022-02-05 00:00:00
125,89,ARCO-2023-00290,2022-04-28,2022-07-16,CANCELLED,16,2022-04-28 00:00:00,2022-06-14 00:00:00
126,20,Arco-2025-00179,2023-09-03,2023-10-22,cancelled,20,2023-09-04 00:00:00,2023-10-19 00:00:00
127,229,,2022-08-15,2022-09-12,em_andamento,17,2022-08-15 00:00:00,2022-09-10 00:00:00
128,39,ARCO-2024-00094,2024-11-11,2024-12-15,pendente,15,2024-11-11 00:00:00,2024-11-13 00:00:00
129,33,,2022-10-28,2022-12-27,em_andamento,9,2022-10-28 00:00:00,2022-11-08 00:00:00
130,105,,2023-10-03,2023-11-27,cancelado,16,2023-10-03 00:00:00,2023-10-23 00:00:00
131,227,,2022-12-21,2023-01-22,E,13,2022-12-21 00:00:00,2022-12-27 00:00:00
132,126,ARCO-2023-00275,2022-07-17,2022-09-08,C,19,2022-07-18 00:00:00,2022-08-02 00:00:00
133,160,ARCO-2025-00072,2023-08-17,2023-11-10,em_andamento,2,2023-08-17 00:00:00,2023-09-30 00:00:00
134,15,ARCO-2023-00205,2023-07-02,2023-08-13,em_andamento,17,2023-07-02 00:00:00,2023-08-13 00:00:00
135,27,ARCO-2025-00263,2022-11-21,2022-12-07,CANCELLED,20,2022-11-22 00:00:00,2022-12-03 00:00:00
136,82,ARCo-2023-00066,2022-04-17,2022-05-17,IN_PROGRESS,15,2022-04-17 00:00:00,2022-04-20 00:00:00
137,118,ARCO-2023-00180,2024-09-06,2024-10-09,em_andamento,12,2024-09-06 00:00:00,2024-09-20 00:00:00
138,56,,2023-11-10,2024-01-17,cancelled,19,2023-11-10 00:00:00,2024-01-02 00:00:00
139,40,Arco-2023-00200,2024-11-16,2025-02-07,CANCELLED,15,2024-11-16 00:00:00,2025-01-15 00:00:00
140,193,ARCO-2023-00359,2025-07-23,2025-09-05,DELIVERED,6,2025-07-24 00:00:00,2025-09-07 00:00:00
141,47,,2025-04-15,2025-06-30,pending,15,2025-04-15 00:00:00,2025-06-03 00:00:00
142,234,ARCO-2022-00006,2023-05-10,2023-06-20,E,14,2023-05-11 00:00:00,2023-06-17 00:00:00
143,123,ARCO-2025-00031,2023-04-14,2023-07-03,IN_PROGRESS,5,2023-04-15 00:00:00,2023-06-11 00:00:00
144,90,ARCO-2022-00319,2025-07-12,2025-08-22,CANCELLED,15,2025-07-13 00:00:00,2025-08-26 00:00:00
145,104,ARCO202300076,2023-12-02,2024-01-14,delivered,16,2023-12-03 00:00:00,2023-12-05 00:00:00
146,18,ARCO-2023-00084,2023-11-27,2024-01-31,delivered,17,2023-11-28 00:00:00,2024-01-13 00:00:00
147,244,ARCO-2023-00228,2023-08-04,2023-10-13,IN_PROGRESS,17,2023-08-04 00:00:00,2023-08-12 00:00:00
148,120,ARCO-2024-00139,2023-11-04,2024-01-05,C,7,2023-11-04 00:00:00,2023-12-22 00:00:00
149,68,,2023-07-19,2023-08-03,delivered,10,2023-07-19 00:00:00,2023-08-23 00:00:00
150,154,ARCO-2025-00166,2023-06-17,2023-09-01,delivered,13,2023-06-17 00:00:00,2023-07-23 00:00:00
151,43,,2024-04-06,2024-06-26,pendente,3,2024-04-06 00:00:00,2024-04-12 00:00:00
152,183,ARCO-2025-00287,2023-11-14,2023-12-27,entregue,10,2023-11-15 00:00:00,2023-12-12 00:00:00
153,176,ARCO-2023-00198,2023-12-12,2023-12-29,cancelado,6,2023-12-13 00:00:00,2024-02-07 00:00:00
154,101,,2022-05-04,2022-07-25,P,6,2022-05-04 00:00:00,2022-05-06 00:00:00
155,61,ARCO202400057,2023-07-13,2023-08-11,delivered,13,2023-07-13 00:00:00,2023-07-13 00:00:00
156,210,ARCO-2022-00028,2022-10-12,2023-01-02,pending,9,2022-10-12 00:00:00,2022-11-19 00:00:00
157,182,,2025-11-04,2025-12-27,cancelled,16,2025-11-05 00:00:00,2025-11-28 00:00:00
158,244,,2022-12-30,2023-03-06,em_andamento,17,2022-12-30 00:00:00,2023-01-30 00:00:00
159,99,ARCO-2024-00280,2025-07-13,2025-08-08,A,8,2025-07-14 00:00:00,2025-08-03 00:00:00
160,184,ARCO-2023-00156,2022-01-25,2022-04-03,pending,11,2022-01-25 00:00:00,2022-02-17 00:00:00
161,80,ARCO-2025-00058,2025-04-26,2025-07-16,IN_PROGRESS,9,2025-04-26 00:00:00,2025-05-02 00:00:00
162,21,arco-2025-00219,2024-10-24,2025-01-12,A,15,2024-10-24 00:00:00,2024-11-10 00:00:00
163,83,ARCO-2025-00338,2023-05-25,2023-06-22,cancelado,17,2023-05-25 00:00:00,2023-06-17 00:00:00
164,44,ARCO-2025-00166,2023-01-07,2023-02-09,P,8,2023-01-07 00:00:00,2023-02-19 00:00:00
165,128,,2023-10-01,2023-11-15,P,20,2023-10-01 00:00:00,2023-11-17 00:00:00
166,239,,2022-07-18,2022-08-13,DELIVERED,18,2022-07-18 00:00:00,2022-09-05 00:00:00
167,26,,2024-10-11,2024-11-12,DELIVERED,18,2024-10-12 00:00:00,2024-11-05 00:00:00
168,186,ARCO-2023-00324,2025-07-10,2025-10-06,cancelado,6,2025-07-11 00:00:00,2025-08-14 00:00:00
169,213,,2025-04-19,2025-05-09,delivered,8,2025-04-19 00:00:00,2025-06-09 00:00:00
170,206,ARCO-2023-00078,2023-01-04,2023-04-03,pending,7,2023-01-04 00:00:00,2023-02-17 00:00:00
171,72,ARCO-2023-00355,2025-05-05,2025-07-29,pending,19,2025-05-05 00:00:00,2025-06-15 00:00:00
172,5,ARCO-2022-00192,2025-03-22,2025-06-04,A,1,2025-03-23 00:00:00,2025-04-10 00:00:00
173,192,ARCO-2023-00323,2023-06-16,2023-08-30,E,6,2023-06-17 00:00:00,2023-07-29 00:00:00
174,187,arco-2023-00290,2024-01-20,2024-02-05,cancelled,4,2024-01-21 00:00:00,2024-03-01 00:00:00
175,239,ARCO-2024-00321,2022-10-01,2022-11-20,cancelled,18,2022-10-02 00:00:00,2022-11-28 00:00:00
176,196,ARCO-2023-00176,2024-01-28,2024-03-01,cancelado,6,2024-01-28 00:00:00,2024-03-28 00:00:00
177,197,ARCO-2024-00070,2025-08-03,2025-10-29,PENDING,3,2025-08-03 00:00:00,2025-09-14 00:00:00
178,163,ARCO-2025-00365,2023-04-23,2023-05-30,pendente,4,2023-04-24 00:00:00,2023-06-17 00:00:00
179,143,arco-2024-00254,2023-05-29,2023-06-26,cancelled,11,2023-05-29 00:00:00,2023-06-10 00:00:00
180,47,,2024-11-28,2025-02-21,CANCELLED,15,2024-11-28 00:00:00,2024-11-29 00:00:00
181,84,ARCO-2022-00314,2025-02-09,2025-04-27,CANCELLED,5,2025-02-09 00:00:00,2025-04-10 00:00:00
182,90,ARCO-2025-00086,2025-05-03,2025-06-06,cancelled,15,2025-05-04 00:00:00,2025-05-19 00:00:00
183,6,,2022-03-30,2022-06-03,em_andamento,8,2022-03-31 00:00:00,2022-05-08 00:00:00
184,7,ARCO-2022-00210,2025-09-24,2025-10-26,delivered,3,2025-09-24 00:00:00,2025-09-29 00:00:00
185,198,,2023-08-19,2023-09-11,CANCELLED,4,2023-08-19 00:00:00,2023-10-05 00:00:00
186,12,,2022-08-15,2022-10-25,em_andamento,11,2022-08-16 00:00:00,2022-10-14 00:00:00
187,220,Arco-2023-00194,2023-05-02,2023-07-03,em_andamento,12,2023-05-03 00:00:00,2023-05-12 00:00:00
188,101,ARCO202200300,2023-05-08,2023-06-13,delivered,6,2023-05-08 00:00:00,2023-05-31 00:00:00
189,49,ARCO-2025-00223,2024-07-15,2024-08-06,pendente,15,2024-07-15 00:00:00,2024-08-27 00:00:00
190,194,,2024-03-14,2024-06-08,IN_PROGRESS,1,2024-03-14 00:00:00,2024-05-09 00:00:00
191,63,ARCO-2024-00368,2023-04-18,2023-05-15,em_andamento,9,2023-04-19 00:00:00,2023-05-22 00:00:00
192,103,ARCO202200294,2022-03-17,2022-05-12,pendente,14,2022-03-17 00:00:00,2022-04-16 00:00:00
193,203,ARCO-2024-00149,2024-05-06,2024-05-26,P,9,2024-05-07 00:00:00,2024-06-07 00:00:00
194,122,ARCo-2022-00152,2025-07-11,2025-08-05,delivered,19,2025-07-11 00:00:00,2025-07-11 00:00:00
195,234,,2023-03-10,2023-04-03,PENDING,14,2023-03-10 00:00:00,2023-04-29 00:00:00
196,148,arco-2022-00274,2024-05-29,2024-08-26,P,9,2024-05-30 00:00:00,2024-07-26 00:00:00
197,183,,2023-06-23,2023-08-07,delivered,10,2023-06-23 00:00:00,2023-06-29 00:00:00
198,73,ARCO-2024-00113,2022-10-20,2022-11-23,CANCELLED,7,2022-10-20 00:00:00,2022-11-25 00:00:00
199,239,ARCO-2022-00192,2023-09-01,2023-09-28,pendente,18,2023-09-02 00:00:00,2023-09-02 00:00:00
200,154,ARCO-2023-00095,2024-03-19,2024-04-06,em_andamento,13,2024-03-20 00:00:00,2024-05-02 00:00:00
201,69,,2023-03-19,2023-04-18,pendente,15,2023-03-19 00:00:00,2023-04-27 00:00:00
202,105,,2024-06-22,2024-09-06,C,16,2024-06-22 00:00:00,2024-07-30 00:00:00
203,195,ARCO-2023-00083,2022-09-25,2022-11-01,PENDING,12,2022-09-25 00:00:00,2022-10-09 00:00:00
204,182,ARCO-2025-00003,2022-12-22,2023-02-04,PENDING,16,2022-12-22 00:00:00,2023-02-18 00:00:00
205,69,,2025-01-15,2025-02-16,em_andamento,15,2025-01-15 00:00:00,2025-02-03 00:00:00
206,190,ARCO-2025-00360,2023-02-16,2023-04-08,IN_PROGRESS,10,2023-02-17 00:00:00,2023-02-25 00:00:00
207,186,ARCO-2024-00380,2023-10-02,2023-12-26,DELIVERED,6,2023-10-02 00:00:00,2023-11-10 00:00:00
208,154,ARCO-2025-00227,2024-08-13,2024-10-22,A,13,2024-08-14 00:00:00,2024-08-23 00:00:00
209,95,ARCO-2025-00235,2023-08-10,2023-10-04,em_andamento,4,2023-08-11 00:00:00,2023-10-05 00:00:00
210,31,,2023-12-18,2024-01-28,em_andamento,20,2023-12-18 00:00:00,2024-01-20 00:00:00
211,200,ARCO-2025-00157,2025-03-24,2025-05-10,P,6,2025-03-25 00:00:00,2025-03-29 00:00:00
212,222,,2023-08-25,2023-11-22,IN_PROGRESS,20,2023-08-26 00:00:00,2023-09-06 00:00:00
213,245,ARCO-2024-00378,2023-08-31,2023-10-25,A,4,2023-08-31 00:00:00,2023-10-17 00:00:00
214,215,ARCO-2025-00318,2025-12-29,2026-01-24,em_andamento,19,2025-12-30 00:00:00,2026-01-18 00:00:00
215,179,ARCO-2024-00107,2025-09-10,2025-10-08,pendente,5,2025-09-10 00:00:00,2025-10-19 00:00:00
216,94,ARCO-2022-00234,2024-08-26,2024-10-09,em_andamento,19,2024-08-26 00:00:00,2024-10-24 00:00:00
217,25,ARCO-2024-00211,2022-12-20,2023-01-30,PENDING,10,2022-12-20 00:00:00,2022-12-26 00:00:00
218,26,,2022-12-30,2023-02-25,DELIVERED,18,2022-12-30 00:00:00,2023-01-16 00:00:00
219,226,ARCO-2023-00324,2024-07-26,2024-08-26,P,13,2024-07-26 00:00:00,2024-08-06 00:00:00
220,82,ARCO-2022-00204,2024-07-15,2024-10-11,cancelled,15,2024-07-15 00:00:00,2024-07-22 00:00:00
221,55,ARCO-2024-00366,2022-03-31,2022-04-24,delivered,15,2022-03-31 00:00:00,2022-04-13 00:00:00
222,149,ARCO-2025-00250,2024-01-16,2024-03-31,IN_PROGRESS,17,2024-01-17 00:00:00,2024-03-06 00:00:00
223,175,ARCO202300198,2024-05-08,2024-07-08,PENDING,4,2024-05-08 00:00:00,2024-05-27 00:00:00
224,187,,2022-08-10,2022-08-25,pending,4,2022-08-10 00:00:00,2022-08-11 00:00:00
225,213,ARCO-2025-00263,2025-07-18,2025-09-01,em_andamento,8,2025-07-18 00:00:00,2025-07-20 00:00:00
226,105,Arco-2025-00219,2022-03-22,2022-04-16,pending,16,2022-03-23 00:00:00,2022-04-14 00:00:00
227,30,ARCO-2022-00259,2025-04-13,2025-05-29,cancelled,11,2025-04-14 00:00:00,2025-04-27 00:00:00
228,19,ARCO-2022-00041,2024-04-11,2024-05-02,pendente,5,2024-04-11 00:00:00,2024-05-28 00:00:00
229,136,ARCO-2022-00243,2022-03-31,2022-06-03,pendente,6,2022-04-01 00:00:00,2022-04-20 00:00:00
230,95,ARCO-2025-00297,2022-05-12,2022-06-24,entregue,4,2022-05-12 00:00:00,2022-06-07 00:00:00
231,111,,2023-11-14,2023-12-04,P,8,2023-11-15 00:00:00,2023-12-24 00:00:00
232,213,,2022-04-20,2022-06-19,IN_PROGRESS,8,2022-04-21 00:00:00,2022-05-28 00:00:00
233,186,,2023-07-30,2023-09-24,IN_PROGRESS,6,2023-07-31 00:00:00,2023-08-30 00:00:00
234,31,ARCO-2022-00108,2022-12-26,2023-01-11,PENDING,20,2022-12-27 00:00:00,2023-02-09 00:00:00
235,211,ARCO-2023-00261,2025-01-25,2025-03-20,delivered,3,2025-01-26 00:00:00,2025-02-21 00:00:00
236,248,ARCO-2024-00190,2024-03-06,2024-05-21,CANCELLED,2,2024-03-06 00:00:00,2024-03-07 00:00:00
237,39,ARCO-2023-00316,2022-06-09,2022-08-21,CANCELLED,15,2022-06-10 00:00:00,2022-06-15 00:00:00
