id,subject,description,status,priority,type,requester_id,submitter_id,assignee_id,organization_id,tags,custom_field_order_ref,custom_field_cnpj,satisfaction_score,satisfaction_comment,created_at,updated_at,solved_at,due_at
18,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,new,low,question,41,41,386,203,login plataforma acesso,1513,,,,2022-11-25 00:00:00,2022-12-05 00:00:00,,2022-11-26 00:00:00
19,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,pending,high,problem,266,266,421,302,pagamento,,70.859.139/4050-71,,,2024-07-14 00:00:00,2024-07-27 00:00:00,,2024-07-19 00:00:00
20,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,new,high,incident,339,339,422,157,atraso nota_fiscal digital,,,,,2025-03-06 00:00:00,2025-03-22 00:00:00,,2025-03-11 00:00:00
21,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,urgent,problem,165,165,433,145,atraso,,76.766.369/6022-45,,,2024-07-31 00:00:00,2024-07-30 00:00:00,2024-08-09 00:00:00,2024-08-02 00:00:00
22,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,open,normal,incident,164,164,410,72,contrato falta_material login digital,2,61.116.806/0181-46,,,2023-11-11 00:00:00,2023-11-18 00:00:00,,2023-11-17 00:00:00
23,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,solved,normal,question,70,70,393,77,erro_sistema,,54.577.346/6931-35,bad,Demorou muito,2022-09-17 00:00:00,2022-10-09 00:00:00,2022-09-17 00:00:00,2022-09-18 00:00:00
24,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,closed,low,incident,217,217,467,184,contrato,,,,,2022-10-07 00:00:00,2022-10-21 00:00:00,2022-10-16 00:00:00,2022-10-12 00:00:00
25,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,low,problem,368,368,411,88,entrega boleto,,,good,,2024-11-21 00:00:00,2024-12-09 00:00:00,2024-12-11 00:00:00,2024-11-25 00:00:00
26,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,open,high,task,88,88,423,193,login acesso,,48.317.176/0248-76,,,2025-02-04 00:00:00,2025-02-04 00:00:00,,2025-02-05 00:00:00
27,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,open,low,question,86,86,403,186,financeiro nota_fiscal devolução,1155,,,,2024-03-12 00:00:00,2024-03-13 00:00:00,,2024-03-18 00:00:00
28,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,solved,low,incident,138,138,408,189,troca erro_sistema,,,,,2025-08-09 00:00:00,2025-08-10 00:00:00,2025-08-18 00:00:00,2025-08-13 00:00:00
29,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,high,question,297,297,444,160,senha pagamento cancelamento,,,,,2023-12-05 00:00:00,2023-12-26 00:00:00,,2023-12-11 00:00:00
30,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,low,task,210,210,412,116,nota_fiscal devolução login,,,,,2023-09-25 00:00:00,2023-10-13 00:00:00,,2023-10-02 00:00:00
31,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,closed,high,incident,166,166,417,21,nota_fiscal,,07.217.986/3767-20,,,2022-10-07 00:00:00,2022-10-08 00:00:00,2022-10-28 00:00:00,2022-10-10 00:00:00
32,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,solved,normal,question,268,268,466,10,entrega digital troca login,916,58.055.535/4441-22,good,,2025-10-30 00:00:00,2025-11-04 00:00:00,2025-11-07 00:00:00,2025-11-03 00:00:00
33,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,closed,high,question,223,223,446,188,atraso contrato falta_material digital,,,good,,2025-12-19 00:00:00,2026-01-10 00:00:00,2026-01-07 00:00:00,2025-12-26 00:00:00
34,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,solved,high,task,246,246,433,,urgente atraso digital acesso,,,,,2024-09-23 00:00:00,2024-10-18 00:00:00,2024-10-11 00:00:00,2024-09-28 00:00:00
35,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,solved,urgent,question,49,49,431,63,material_danificado,,,good,,2025-12-26 00:00:00,2026-01-08 00:00:00,2026-01-06 00:00:00,2026-01-01 00:00:00
36,Contrato - dúvida,Descrição do problema: contrato - dúvida. Escola solicita resolução.,closed,low,task,141,141,471,,entrega,,,,,2024-12-15 00:00:00,2025-01-04 00:00:00,2024-12-17 00:00:00,2024-12-22 00:00:00
37,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,open,high,question,55,55,457,301,boleto,,97.306.809/4803-03,,,2022-09-14 00:00:00,2022-09-19 00:00:00,,2022-09-18 00:00:00
38,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,pending,normal,question,310,310,431,284,material_danificado,1246,,,,2023-04-08 00:00:00,2023-04-30 00:00:00,,2023-04-11 00:00:00
39,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,new,high,incident,281,281,385,307,plataforma nota_fiscal,,,,,2025-10-07 00:00:00,2025-10-09 00:00:00,,2025-10-11 00:00:00
40,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,pending,high,problem,71,71,426,95,nota_fiscal devolução,357,,,,2023-07-13 00:00:00,2023-08-02 00:00:00,,2023-07-16 00:00:00
41,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,new,normal,problem,230,230,447,270,login,,,,,2023-05-09 00:00:00,2023-06-07 00:00:00,,2023-05-15 00:00:00
42,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,solved,low,task,202,202,397,234,digital devolução entrega plataforma,47,54.638.423/4433-03,good,,2023-07-16 00:00:00,2023-08-14 00:00:00,2023-07-18 00:00:00,2023-07-17 00:00:00
43,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,new,low,incident,178,178,419,,cancelamento devolução erro_sistema,,,,,2024-02-02 00:00:00,2024-02-07 00:00:00,,2024-02-06 00:00:00
44,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,closed,normal,problem,360,360,418,55,plataforma,,80.963.420/9884-07,,,2025-12-26 00:00:00,2025-12-26 00:00:00,2026-01-01 00:00:00,2025-12-30 00:00:00
45,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,solved,high,problem,313,313,456,166,entrega plataforma,,6505645492,good,,2023-07-24 00:00:00,2023-08-21 00:00:00,2023-07-24 00:00:00,2023-07-28 00:00:00
46,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,solved,urgent,question,344,344,440,32,cancelamento,,37.273.288/1261-51,,,2023-07-06 00:00:00,2023-07-26 00:00:00,2023-07-08 00:00:00,2023-07-13 00:00:00
47,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,closed,low,task,292,292,466,62,material_danificado,,,bad,Tive que abrir outro ticket,2025-01-30 00:00:00,2025-02-15 00:00:00,2025-02-05 00:00:00,2025-01-30 00:00:00
48,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,closed,low,question,3,3,475,103,suporte_técnico nota_fiscal devolução,,,good,,2024-07-31 00:00:00,2024-08-10 00:00:00,2024-08-15 00:00:00,2024-08-07 00:00:00
49,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,solved,low,task,48,48,473,268,falta_material,,54.121.300/2205-80,good,,2025-07-26 00:00:00,2025-08-10 00:00:00,2025-07-29 00:00:00,2025-07-28 00:00:00
50,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,urgent,problem,163,163,447,93,acesso,,,,,2022-02-02 00:00:00,2022-02-02 00:00:00,,2022-02-04 00:00:00
51,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,solved,urgent,problem,324,324,431,,material_danificado,1021,67.283.159/0809-11,,,2024-09-18 00:00:00,2024-09-25 00:00:00,2024-09-19 00:00:00,2024-09-26 00:00:00
52,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,low,incident,16,16,455,164,contrato entrega,,96.699.782/1353-21,,,2024-08-19 00:00:00,2024-09-17 00:00:00,,2024-08-26 00:00:00
53,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,closed,low,problem,379,379,460,288,boleto senha acesso entrega,470,,bad,Atendimento ruim,2023-12-14 00:00:00,2023-12-20 00:00:00,2023-12-15 00:00:00,2023-12-22 00:00:00
54,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,solved,urgent,question,253,253,461,88,cancelamento troca devolução,83,,good,,2025-09-24 00:00:00,2025-10-16 00:00:00,2025-09-25 00:00:00,2025-10-01 00:00:00
55,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,solved,normal,incident,241,241,432,155,senha,,5970069387,,,2023-12-25 00:00:00,2024-01-12 00:00:00,2023-12-26 00:00:00,2023-12-28 00:00:00
56,Atraso na entrega,Descrição do problema: atraso na entrega. Escola solicita resolução.,solved,normal,question,92,92,445,146,financeiro,,,good,,2023-01-05 00:00:00,2023-01-16 00:00:00,2023-01-20 00:00:00,2023-01-08 00:00:00
57,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,open,normal,task,65,65,383,196,nota_fiscal troca acesso,1071,5499807786,,,2023-05-29 00:00:00,2023-06-03 00:00:00,,2023-05-30 00:00:00
58,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,normal,task,298,298,426,280,entrega erro_sistema falta_material login,,,,,2022-11-18 00:00:00,2022-11-20 00:00:00,,2022-11-24 00:00:00
59,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,new,normal,question,252,252,469,208,urgente cancelamento,,28.176.266/9723-33,,,2025-12-17 00:00:00,2025-12-31 00:00:00,,2025-12-17 00:00:00
60,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,solved,low,task,301,301,437,105,erro_sistema,272,,,,2022-01-18 00:00:00,2022-02-13 00:00:00,2022-02-06 00:00:00,2022-01-20 00:00:00
61,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,pending,urgent,incident,29,29,411,301,nota_fiscal contrato material_danificado,291,,,,2025-03-21 00:00:00,2025-03-27 00:00:00,,2025-03-27 00:00:00
62,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,solved,high,incident,195,195,480,7,financeiro boleto suporte_técnico,,,good,,2025-10-03 00:00:00,2025-10-27 00:00:00,2025-10-14 00:00:00,2025-10-11 00:00:00
63,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,open,urgent,task,249,249,382,,boleto login suporte_técnico,,,,,2025-05-25 00:00:00,2025-06-21 00:00:00,,2025-05-30 00:00:00
64,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,solved,high,task,248,248,384,266,atraso,,,,,2022-07-23 00:00:00,2022-08-12 00:00:00,2022-07-24 00:00:00,2022-07-29 00:00:00
65,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,pending,low,question,83,83,398,134,entrega,637,,,,2023-04-22 00:00:00,2023-05-13 00:00:00,,2023-04-26 00:00:00
66,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,solved,low,question,269,269,407,77,pagamento senha,1567,,,,2025-12-03 00:00:00,2025-12-18 00:00:00,2025-12-18 00:00:00,2025-12-07 00:00:00
67,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,open,low,incident,198,198,391,142,pagamento erro_sistema atraso,798,,,,2025-11-24 00:00:00,2025-12-07 00:00:00,,2025-11-30 00:00:00
68,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,new,normal,question,299,299,430,10,suporte_técnico cancelamento,,,,,2023-06-03 00:00:00,2023-06-02 00:00:00,,2023-06-06 00:00:00
69,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,open,high,task,334,334,461,29,devolução acesso pagamento,,99.150.282/6621-81,,,2022-10-11 00:00:00,2022-11-09 00:00:00,,2022-10-13 00:00:00
70,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,pending,high,incident,57,57,383,,erro_sistema nota_fiscal,9,,,,2023-02-12 00:00:00,2023-03-11 00:00:00,,2023-02-14 00:00:00
71,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,closed,high,problem,195,195,431,7,suporte_técnico entrega pagamento troca,577,,good,,2024-09-29 00:00:00,2024-10-01 00:00:00,2024-10-02 00:00:00,2024-10-06 00:00:00
72,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,closed,normal,incident,172,172,413,135,financeiro urgente,,20.477.071/0679-03,,,2023-09-02 00:00:00,2023-09-08 00:00:00,2023-09-05 00:00:00,2023-09-08 00:00:00
73,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,open,normal,incident,11,11,435,54,urgente pagamento entrega login,,,,,2022-01-04 00:00:00,2022-01-23 00:00:00,,2022-01-12 00:00:00
74,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,solved,normal,task,148,148,454,230,cancelamento digital,,,bad,Tive que abrir outro ticket,2024-01-21 00:00:00,2024-01-26 00:00:00,2024-01-24 00:00:00,2024-01-28 00:00:00
75,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,new,normal,incident,62,62,444,200,erro_sistema,,7583318445,,,2023-07-25 00:00:00,2023-08-18 00:00:00,,2023-07-27 00:00:00
76,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,new,high,task,258,258,464,256,pagamento,66,,,,2024-09-26 00:00:00,2024-10-17 00:00:00,,2024-10-01 00:00:00
77,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,open,normal,task,247,247,385,299,senha erro_sistema contrato,,,,,2022-12-16 00:00:00,2022-12-27 00:00:00,,2022-12-18 00:00:00
78,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,closed,normal,problem,238,238,468,307,pagamento,370,,good,,2025-02-03 00:00:00,2025-02-17 00:00:00,2025-02-10 00:00:00,2025-02-06 00:00:00
79,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,new,urgent,task,1,1,445,172,falta_material,,,,,2024-10-21 00:00:00,2024-11-18 00:00:00,,2024-10-25 00:00:00
80,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,new,low,problem,150,150,471,48,material_danificado entrega,,,,,2024-12-30 00:00:00,2025-01-09 00:00:00,,2025-01-02 00:00:00
81,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,solved,low,problem,329,329,393,,erro_sistema,,,bad,Demorou muito,2022-04-14 00:00:00,2022-04-18 00:00:00,2022-05-09 00:00:00,2022-04-17 00:00:00
82,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,pending,normal,problem,162,162,476,70,login senha,,,,,2025-08-05 00:00:00,2025-08-30 00:00:00,,2025-08-09 00:00:00
83,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,low,problem,373,373,390,131,entrega suporte_técnico pagamento,,,,,2023-07-13 00:00:00,2023-08-01 00:00:00,,2023-07-21 00:00:00
84,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,pending,urgent,question,279,279,425,263,urgente nota_fiscal entrega,,,,,2024-08-18 00:00:00,2024-08-26 00:00:00,,2024-08-19 00:00:00
85,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,pending,urgent,problem,205,205,418,93,suporte_técnico,967,65.010.586/7058-09,,,2022-11-01 00:00:00,2022-11-01 00:00:00,,2022-11-03 00:00:00
86,Falta de material,Descrição do problema: falta de material. Escola solicita resolução.,pending,low,task,287,287,431,226,login devolução senha,424,,,,2024-02-15 00:00:00,2024-02-21 00:00:00,,2024-02-21 00:00:00
87,Problema de login,Descrição do problema: problema de login. Escola solicita resolução.,closed,urgent,problem,52,52,474,149,devolução contrato,782,,,,2022-06-16 00:00:00,2022-06-19 00:00:00,2022-06-27 00:00:00,2022-06-17 00:00:00
88,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,normal,task,368,368,478,88,atraso nota_fiscal,,2012845081,,,2023-05-02 00:00:00,2023-05-05 00:00:00,,2023-05-05 00:00:00
89,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,solved,normal,problem,167,167,410,282,atraso material_danificado,,5467743377,,,2023-03-10 00:00:00,2023-03-19 00:00:00,2023-03-14 00:00:00,2023-03-17 00:00:00
90,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,closed,urgent,incident,278,278,462,202,digital entrega,,60.739.748/0762-09,bad,Problema não resolvido,2022-11-06 00:00:00,2022-12-06 00:00:00,2022-11-08 00:00:00,2022-11-09 00:00:00
91,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,open,low,task,248,248,442,266,boleto,746,,,,2024-05-27 00:00:00,2024-06-16 00:00:00,,2024-06-03 00:00:00
92,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,open,low,question,373,373,478,131,pagamento contrato troca acesso,818,,,,2024-05-20 00:00:00,2024-06-11 00:00:00,,2024-05-21 00:00:00
93,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,open,urgent,problem,75,75,442,,entrega material_danificado falta_material acesso,643,,,,2023-11-23 00:00:00,2023-12-08 00:00:00,,2023-11-24 00:00:00
94,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,open,high,problem,22,22,446,163,suporte_técnico cancelamento acesso,,,,,2025-11-27 00:00:00,2025-12-13 00:00:00,,2025-11-29 00:00:00
95,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,new,low,question,69,69,437,30,entrega contrato,,,,,2024-10-09 00:00:00,2024-10-11 00:00:00,,2024-10-16 00:00:00
96,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,pending,urgent,incident,95,95,417,170,digital,,30.261.421/8514-44,,,2024-07-21 00:00:00,2024-07-26 00:00:00,,2024-07-24 00:00:00
97,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,closed,urgent,problem,133,133,403,219,entrega nota_fiscal digital,,,good,,2023-01-14 00:00:00,2023-02-07 00:00:00,2023-01-19 00:00:00,2023-01-18 00:00:00
98,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,pending,urgent,task,230,230,433,270,pagamento atraso entrega devolução,1064,14.504.360/3030-74,,,2022-07-12 00:00:00,2022-07-18 00:00:00,,2022-07-15 00:00:00
99,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,new,low,task,232,232,394,292,material_danificado acesso boleto,,28.505.472/6097-10,,,2024-01-21 00:00:00,2024-02-03 00:00:00,,2024-01-25 00:00:00
100,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,new,low,problem,170,170,447,90,financeiro pagamento cancelamento troca,471,,,,2022-09-13 00:00:00,2022-09-20 00:00:00,,2022-09-21 00:00:00
101,Material danificado,Descrição do problema: material danificado. Escola solicita resolução.,open,high,problem,112,112,457,,pagamento nota_fiscal boleto,191,,,,2024-01-01 00:00:00,2024-01-08 00:00:00,,2024-01-07 00:00:00
102,Nota fiscal com erro,Descrição do problema: nota fiscal com erro. Escola solicita resolução.,closed,high,question,18,18,476,,cancelamento nota_fiscal entrega,883,,good,,2024-12-18 00:00:00,2025-01-06 00:00:00,2024-12-22 00:00:00,2024-12-26 00:00:00
103,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,closed,normal,incident,216,216,399,1,erro_sistema senha plataforma,1034,,bad,Atendimento ruim,2024-07-06 00:00:00,2024-07-12 00:00:00,2024-07-09 00:00:00,2024-07-12 00:00:00
104,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,solved,normal,problem,270,270,459,95,contrato senha,,77.521.752/6668-58,,,2024-06-27 00:00:00,2024-07-18 00:00:00,2024-06-27 00:00:00,2024-07-04 00:00:00
105,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,new,low,problem,76,76,392,72,financeiro,,76.641.005/8526-83,,,2024-05-16 00:00:00,2024-06-04 00:00:00,,2024-05-23 00:00:00
106,Suporte técnico - plataforma,Descrição do problema: suporte técnico - plataforma. Escola solicita resolução.,open,low,question,253,253,460,88,login suporte_técnico pagamento,1585,,,,2024-01-02 00:00:00,2024-01-11 00:00:00,,2024-01-04 00:00:00
107,Troca de material,Descrição do problema: troca de material. Escola solicita resolução.,new,normal,incident,234,234,414,262,troca boleto contrato material_danificado,,,,,2025-09-14 00:00:00,2025-10-03 00:00:00,,2025-09-16 00:00:00
108,Pagamento duplicado,Descrição do problema: pagamento duplicado. Escola solicita resolução.,solved,normal,question,5,5,466,238,boleto atraso nota_fiscal erro_sistema,1782,,bad,Demorou muito,2024-07-24 00:00:00,2024-08-13 00:00:00,2024-08-08 00:00:00,2024-07-28 00:00:00
109,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,closed,normal,question,59,59,390,125,cancelamento login troca,,,,,2022-09-30 00:00:00,2022-10-20 00:00:00,2022-10-19 00:00:00,2022-10-02 00:00:00
110,Acesso à plataforma digital,Descrição do problema: acesso à plataforma digital. Escola solicita resolução.,pending,high,question,170,170,429,90,boleto financeiro,1443,,,,2025-05-11 00:00:00,2025-05-25 00:00:00,,2025-05-12 00:00:00
111,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,new,low,incident,62,62,471,200,falta_material atraso senha entrega,690,,,,2024-02-29 00:00:00,2024-03-20 00:00:00,,2024-03-06 00:00:00
112,Boleto não recebido,Descrição do problema: boleto não recebido. Escola solicita resolução.,open,urgent,task,293,293,415,6,contrato erro_sistema,336,,,,2025-04-06 00:00:00,2025-04-30 00:00:00,,2025-04-10 00:00:00
113,Erro no sistema,Descrição do problema: erro no sistema. Escola solicita resolução.,pending,high,incident,153,153,480,140,erro_sistema devolução login pagamento,,,,,2025-12-08 00:00:00,2025-12-15 00:00:00,,2025-12-16 00:00:00
114,Material não recebido,Descrição do problema: material não recebido. Escola solicita resolução.,pending,urgent,question,179,179,455,30,acesso entrega,,,,,2022-12-26 00:00:00,2022-12-26 00:00:00,,2022-12-26 00:00:00
115,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,solved,high,problem,339,339,386,157,erro_sistema,25,,good,,2024-05-06 00:00:00,2024-05-16 00:00:00,2024-05-09 00:00:00,2024-05-10 00:00:00
116,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,open,high,problem,18,18,389,,material_danificado acesso,,,,,2022-03-20 00:00:00,2022-04-11 00:00:00,,2022-03-22 00:00:00
117,Cancelamento de pedido,Descrição do problema: cancelamento de pedido. Escola solicita resolução.,pending,urgent,question,64,64,475,32,boleto contrato login digital,1079,,,,2023-02-12 00:00:00,2023-03-12 00:00:00,,2023-02-13 00:00:00
118,Senha não funciona,Descrição do problema: senha não funciona. Escola solicita resolução.,open,low,problem,334,334,410,29,material_danificado urgente,,,,,2025-09-06 00:00:00,2025-09-18 00:00:00,,2025-09-09 00:00:00
119,Devolução de material,Descrição do problema: devolução de material. Escola solicita resolução.,new,low,incident,278,278,401,202,troca senha suporte_técnico plataforma,,,,,2025-02-24 00:00:00,2025-03-20 00:00:00,,2025-03-03 00:00:00
