DocEntry,LineNum,ItemCode,ItemName,Quantity,DelivrdQty,OpenQty,ShipDate,LineStatus,Price,LineTotal
35,2,SKU-0052,Material NSE 9 EF,185,106,79,2023-02-28,O,132.32,24479.2
35,3,SKU-0003,Material SAE 5 EF,224,55,169,2023-02-27,O,122.04,27336.96
36,0,SKU-0057,Material SAE 4 EF,196,183,13,2023-10-08,O,227.26,44542.96
36,1,SKU-0030,Material SAE 5 EF,148,37,111,2023-10-06,O,41.7,6171.6
36,2,SKU-0019,Material COC 2 EF,145,145,0,2023-10-22,C,153.85,22308.25
37,0,SKU-0025,Material COC 9 EF,282,91,191,2022-07-02,O,235.12,66303.84
37,1,SKU-0008,Material PGS 5 EF,66,9,57,2022-06-02,O,194.73,12852.18
37,2,SKU-0019,Material COC 1 EM,261,88,173,2022-06-08,O,204.98,53499.78
37,3,SKU-0014,Material SAE 4 EF,266,88,178,2022-06-08,O,143.46,38160.36
37,4,SKU-0052,Material Isaac 6 EF,280,191,89,2022-07-10,O,200.64,56179.2
38,0,SKU-0042,Material Isaac 9 EF,11,5,6,2024-04-26,O,93.11,1024.21
38,1,SKU-0044,Material COC 1 EF,122,61,61,2024-05-25,O,69.68,8500.96
39,0,SKU-0048,Material COC 2 EF,248,142,106,2023-01-28,O,92.82,23019.36
39,1,SKU-0020,Material COC 3 EM,23,2,21,2023-01-26,O,90.28,2076.44
39,2,SKU-0020,Material COC 3 EM,254,174,80,2023-02-11,O,283.14,71917.56
40,0,SKU-0027,Material NSE 7 EF,46,40,6,2023-06-27,O,23.71,1090.66
41,0,SKU-0048,Material PGS 5 EF,23,19,4,2022-09-13,O,135.7,3121.1
42,0,SKU-0059,Material PGS 1 EM,62,9,53,2025-07-01,O,37.88,2348.56
42,1,SKU-0050,Material SAE 8 EF,28,0,28,2025-06-08,O,41.71,1167.88
42,2,SKU-0011,Material SAE 1 EF,52,0,52,2025-05-18,O,50.09,2604.68
42,3,SKU-0001,Material SAE 1 EF,81,24,57,2025-05-17,O,136.29,11039.49
42,4,SKU-0052,Material NSE 9 EF,105,61,44,2025-05-22,O,176.22,18503.1
43,0,SKU-0004,Material NSE 7 EF,271,68,203,2023-03-23,O,279.14,75646.94
43,1,SKU-0010,Material SAE 1 EF,50,44,6,2023-04-24,O,173.44,8672.0
43,2,SKU-0053,Material PGS 9 EF,246,195,51,2023-04-09,O,193.01,47480.46
43,3,SKU-0006,Material SAE 5 EF,143,15,128,2023-04-26,O,38.89,5561.27
44,0,SKU-0011,Material COC 3 EM,141,121,20,2025-09-21,O,255.81,36069.21
44,1,SKU-0038,Material SAE 3 EF,283,34,249,2025-10-22,O,294.33,83295.39
45,0,SKU-0021,Material PGS 3 EM,174,153,21,2022-12-12,O,147.95,25743.3
45,1,SKU-0039,Material NSE 3 EF,233,192,41,2022-12-26,O,216.65,50479.45
45,2,SKU-0031,Material NSE 2 EM,127,148,0,2022-12-26,C,153.8,19532.6
45,3,SKU-0002,Material PGS 5 EF,283,106,177,2022-12-19,O,144.2,40808.6
45,4,SKU-0047,Material NSE 2 EF,61,37,24,2022-12-08,O,189.47,11557.67
46,0,SKU-0016,Material SAE 7 EF,12,3,9,2025-09-10,O,35.59,427.08
46,1,SKU-0041,Material PGS 1 EM,23,16,7,2025-08-27,O,234.9,5402.7
46,2,SKU-0023,Material SAE 2 EM,206,3,203,2025-09-13,O,137.36,28296.16
47,0,SKU-0052,Material COC 2 EF,211,243,0,2024-07-15,C,256.67,54157.37
47,1,SKU-0043,Material COC 7 EF,39,18,21,2024-07-03,O,129.04,5032.56
47,2,SKU-0057,Material COC 5 EF,169,73,96,2024-07-01,O,167.39,28288.91
47,3,SKU-0051,Material NSE 2 EM,186,15,171,2024-07-27,O,117.73,21897.78
48,0,SKU-0018,Material COC 8 EF,174,61,113,2025-11-16,O,64.09,11151.66
48,1,SKU-0053,Material PGS 3 EM,242,241,1,2025-12-02,O,112.64,27258.88
49,0,SKU-0032,Material SAE 9 EF,195,82,113,2024-09-24,O,270.89,52823.55
49,1,SKU-0011,Material SAE 3 EM,190,39,151,2024-09-16,O,41.29,7845.1
49,2,SKU-0055,Material Isaac 2 EF,292,214,78,2024-09-24,O,242.07,70684.44
49,3,SKU-0038,Material COC 1 EM,261,86,175,2024-09-05,O,258.54,67478.94
50,0,SKU-0014,Material NSE 7 EF,298,219,79,2022-12-13,O,265.66,79166.68
50,1,SKU-0015,Material NSE 6 EF,264,27,237,2022-12-02,O,36.86,9731.04
50,2,SKU-0049,Material Isaac 6 EF,147,0,147,2022-11-26,O,176.88,26001.36
51,0,SKU-0048,Material SAE 8 EF,52,18,34,2025-01-20,O,136.16,7080.32
51,1,SKU-0013,Material NSE 8 EF,173,139,34,2025-02-01,O,39.37,6811.01
51,2,SKU-0027,Material Isaac 5 EF,202,85,117,2025-01-21,O,192.21,38826.42
51,3,SKU-0033,Material SAE 3 EF,76,21,55,2025-01-12,O,95.91,7289.16
51,4,SKU-0027,Material Isaac 2 EF,21,7,14,2025-01-24,O,93.77,1969.17
52,0,SKU-0012,Material PGS 6 EF,265,96,169,2025-03-30,O,60.3,15979.5
52,1,SKU-0007,Material NSE 2 EF,106,88,18,2025-04-03,O,31.5,3339.0
52,2,SKU-0013,Material COC 1 EF,256,196,60,2025-03-05,O,297.87,76254.72
52,3,SKU-0042,Material SAE 4 EF,268,149,119,2025-03-20,O,44.31,11875.08
52,4,SKU-0012,Material Isaac 2 EM,224,221,3,2025-03-29,O,35.18,7880.32
53,0,SKU-0047,Material COC 2 EM,111,60,51,2024-02-05,O,171.28,19012.08
53,1,SKU-0047,Material PGS 8 EF,44,15,29,2024-01-27,O,155.95,6861.8
53,2,SKU-0022,Material PGS 7 EF,244,116,128,2024-01-16,O,258.93,63178.92
53,3,SKU-0004,Material COC 5 EF,169,76,93,2024-01-22,O,192.89,32598.41
53,4,SKU-0023,Material Isaac 2 EF,268,169,99,2024-02-14,O,90.03,24128.04
54,0,SKU-0014,Material COC 1 EF,81,26,55,2022-11-19,O,108.24,8767.44
55,0,SKU-0057,Material Isaac 4 EF,79,31,48,2024-03-20,O,202.78,16019.62
55,1,SKU-0034,Material SAE 6 EF,196,17,179,2024-03-27,O,292.67,57363.32
55,2,SKU-0028,Material COC 7 EF,24,4,20,2024-04-01,O,90.11,2162.64
55,3,SKU-0041,Material Isaac 3 EM,17,9,8,2024-04-22,O,49.71,845.07
55,4,SKU-0007,Material PGS 5 EF,162,129,33,2024-04-07,O,142.35,23060.7
56,0,SKU-0045,Material NSE 8 EF,135,65,70,2024-08-16,O,58.03,7834.05
56,1,SKU-0021,Material PGS 3 EF,137,72,65,2024-07-08,O,142.3,19495.1
56,2,SKU-0052,Material SAE 9 EF,186,8,178,2024-07-15,O,84.09,15640.74
56,3,SKU-0035,Material COC 9 EF,115,98,17,2024-07-12,O,65.03,7478.45
56,4,SKU-0038,Material NSE 5 EF,145,143,2,2024-08-12,O,270.32,39196.4
57,0,SKU-0040,Material NSE 2 EF,193,98,95,2022-12-10,O,223.06,43050.58
57,1,SKU-0020,Material PGS 5 EF,151,100,51,2022-12-09,O,299.94,45290.94
57,2,SKU-0005,Material SAE 3 EF,174,149,25,2022-10-28,O,28.45,4950.3
57,3,SKU-0024,Material SAE 5 EF,165,134,31,2022-11-21,O,158.74,26192.1
57,4,SKU-0049,Material PGS 1 EM,262,35,227,2022-11-29,O,184.62,48370.44
58,0,SKU-0003,Material NSE 2 EM,33,19,14,2022-11-28,O,146.4,4831.2
58,1,SKU-0022,Material Isaac 3 EM,126,18,108,2022-12-22,O,199.67,25158.42
58,2,SKU-0020,Material Isaac 8 EF,75,3,72,2022-11-07,O,243.29,18246.75
59,0,SKU-0055,Material PGS 1 EF,26,15,11,2023-07-08,O,95.56,2484.56
59,1,SKU-0001,Material PGS 1 EM,137,25,112,2023-07-07,O,205.81,28195.97
59,2,SKU-0023,Material PGS 6 EF,75,11,64,2023-07-17,O,267.87,20090.25
59,3,SKU-0033,Material COC 3 EF,100,36,64,2023-08-03,O,70.17,7017.0
60,0,SKU-0023,Material Isaac 7 EF,214,128,86,2023-09-14,O,277.72,59432.08
60,1,SKU-0048,Material PGS 2 EF,210,130,80,2023-08-28,O,117.31,24635.1
60,2,SKU-0056,Material PGS 7 EF,176,106,70,2023-10-06,O,136.59,24039.84
60,3,SKU-0027,Material COC 7 EF,296,154,142,2023-08-26,O,178.39,52803.44
60,4,SKU-0024,Material SAE 2 EF,138,3,135,2023-09-14,O,179.23,24733.74
61,0,SKU-0022,Material PGS 4 EF,69,9,60,2025-06-08,O,77.97,5379.93
61,1,SKU-0024,Material PGS 1 EM,105,47,58,2025-05-29,O,163.01,17116.05
61,2,SKU-0042,Material PGS 1 EM,216,32,184,2025-05-30,O,285.66,61702.56
61,3,SKU-0049,Material PGS 1 EM,240,228,12,2025-06-13,O,176.25,42300.0
62,0,SKU-0033,Material NSE 7 EF,293,246,47,2024-03-03,O,231.03,67691.79
62,1,SKU-0011,Material PGS 2 EM,111,54,57,2024-02-10,O,36.37,4037.07
62,2,SKU-0054,Material COC 3 EF,36,13,23,2024-02-20,O,179.8,6472.8
62,3,SKU-0009,Material COC 1 EF,187,187,0,2024-02-01,C,138.15,25834.05
63,0,SKU-0050,Material Isaac 2 EF,78,51,27,2023-06-08,O,276.68,21581.04
64,0,SKU-0037,Material NSE 7 EF,209,27,182,2023-09-16,O,189.66,39638.94
64,1,SKU-0023,Material COC 7 EF,134,4,130,2023-09-01,O,121.59,16293.06
64,2,SKU-0027,Material COC 6 EF,12,2,10,2023-08-10,O,73.94,887.28
64,3,SKU-0030,Material SAE 7 EF,223,164,59,2023-09-15,O,118.78,26487.94
65,0,SKU-0005,Material Isaac 5 EF,158,155,3,2025-05-26,O,106.63,16847.54
65,1,SKU-0048,Material COC 8 EF,14,11,3,2025-04-25,O,80.78,1130.92
65,2,SKU-0034,Material COC 3 EM,114,163,0,2025-05-01,C,106.39,12128.46
65,3,SKU-0051,Material SAE 3 EF,237,177,60,2025-05-17,O,77.97,18478.89
65,4,SKU-0033,Material COC 1 EF,127,105,22,2025-04-28,O,52.46,6662.42
66,0,SKU-0038,Material SAE 9 EF,286,314,0,2024-08-30,C,217.0,62062.0
66,1,SKU-0013,Material Isaac 3 EM,221,169,52,2024-07-22,O,177.41,39207.61
67,0,SKU-0030,Material PGS 1 EM,58,10,48,2024-11-27,O,233.39,13536.62
68,0,SKU-0026,Material NSE 5 EF,117,54,63,2025-09-05,O,130.11,15222.87
69,0,SKU-0055,Material SAE 1 EM,99,83,16,2024-07-05,O,64.34,6369.66
69,1,SKU-0044,Material PGS 1 EM,273,5,268,2024-07-02,O,76.29,20827.17
69,2,SKU-0032,Material SAE 4 EF,35,17,18,2024-06-21,O,253.13,8859.55
69,3,SKU-0043,Material COC 3 EF,186,50,136,2024-08-01,O,227.83,42376.38
70,0,SKU-0022,Material PGS 8 EF,185,176,9,2022-04-04,O,286.8,53058.0
70,1,SKU-0054,Material COC 1 EF,60,21,39,2022-03-10,O,247.72,14863.2
70,2,SKU-0051,Material Isaac 3 EF,199,116,83,2022-04-11,O,37.24,7410.76
71,0,SKU-0039,Material Isaac 9 EF,178,159,19,2024-10-09,O,242.74,43207.72
71,1,SKU-0016,Material NSE 9 EF,192,185,7,2024-10-29,O,287.74,55246.08
71,2,SKU-0018,Material NSE 8 EF,96,91,5,2024-09-25,O,111.84,10736.64
71,3,SKU-0026,Material Isaac 7 EF,236,68,168,2024-10-27,O,44.99,10617.64
72,0,SKU-0011,Material COC 3 EM,235,88,147,2023-05-01,O,162.28,38135.8
72,1,SKU-0018,Material NSE 2 EM,208,145,63,2023-06-03,O,111.78,23250.24
72,2,SKU-0055,Material SAE 1 EM,22,4,18,2023-05-29,O,105.38,2318.36
73,0,SKU-0021,Material PGS 8 EF,107,95,12,2024-11-22,O,227.3,24321.1
73,1,SKU-0059,Material NSE 9 EF,219,19,200,2024-12-22,O,266.79,58427.01
73,2,SKU-0057,Material Isaac 3 EM,233,87,146,2024-11-07,O,237.54,55346.82
74,0,SKU-0048,Material PGS 9 EF,56,38,18,2024-04-19,O,221.67,12413.52
74,1,SKU-0048,Material SAE 1 EM,106,26,80,2024-05-03,O,215.15,22805.9
74,2,SKU-0019,Material Isaac 3 EF,106,1,105,2024-04-04,O,182.17,19310.02
74,3,SKU-0021,Material COC 7 EF,245,98,147,2024-04-03,O,177.34,43448.3
74,4,SKU-0060,Material PGS 3 EF,27,15,12,2024-05-01,O,31.64,854.28
75,0,SKU-0036,Material NSE 2 EF,81,96,0,2022-05-24,C,219.35,17767.35
76,0,SKU-0055,Material PGS 7 EF,90,127,0,2022-12-10,C,139.54,12558.6
77,0,SKU-0015,Material SAE 5 EF,236,4,232,2024-04-23,O,201.12,47464.32
77,1,SKU-0001,Material PGS 2 EM,267,192,75,2024-05-04,O,137.75,36779.25
78,0,SKU-0019,Material COC 1 EM,11,10,1,2024-11-28,O,157.31,1730.41
79,0,SKU-0029,Material COC 1 EM,260,162,98,2024-12-20,O,129.51,33672.6
79,1,SKU-0038,Material SAE 5 EF,134,64,70,2025-01-19,O,187.16,25079.44
79,2,SKU-0016,Material Isaac 6 EF,227,167,60,2025-01-07,O,158.64,36011.28
79,3,SKU-0055,Material COC 6 EF,274,219,55,2025-01-07,O,54.86,15031.64
80,0,SKU-0057,Material PGS 3 EF,58,37,21,2023-07-07,O,138.28,8020.24
80,1,SKU-0004,Material Isaac 1 EM,171,126,45,2023-08-14,O,162.35,27761.85
81,0,SKU-0025,Material Isaac 6 EF,274,7,267,2022-07-06,O,238.28,65288.72
81,1,SKU-0059,Material NSE 2 EM,249,3,246,2022-07-03,O,27.16,6762.84
81,2,SKU-0033,Material SAE 5 EF,38,2,36,2022-07-29,O,78.7,2990.6
82,0,SKU-0047,Material PGS 5 EF,235,181,54,2023-10-30,O,196.63,46208.05
82,1,SKU-0003,Material NSE 1 EM,134,59,75,2023-11-21,O,198.14,26550.76
82,2,SKU-0037,Material PGS 8 EF,151,27,124,2023-11-21,O,168.72,25476.72
82,3,SKU-0001,Material SAE 5 EF,44,9,35,2023-10-22,O,76.32,3358.08
83,0,SKU-0007,Material Isaac 1 EM,287,89,198,2023-12-28,O,196.47,56386.89
83,1,SKU-0048,Material Isaac 1 EM,31,22,9,2024-01-13,O,104.06,3225.86
84,0,SKU-0021,Material NSE 8 EF,95,36,59,2023-01-20,O,251.19,23863.05
84,1,SKU-0016,Material NSE 9 EF,28,7,21,2023-03-05,O,236.05,6609.4
84,2,SKU-0003,Material PGS 3 EF,239,119,120,2023-02-09,O,258.72,61834.08
85,0,SKU-0054,Material SAE 1 EF,173,18,155,2026-01-08,O,238.71,41296.83
85,1,SKU-0035,Material PGS 5 EF,118,104,14,2026-01-26,O,174.03,20535.54
85,2,SKU-0033,Material COC 7 EF,158,49,109,2025-12-28,O,167.85,26520.3
85,3,SKU-0044,Material PGS 3 EM,132,52,80,2026-02-05,O,194.58,25684.56
85,4,SKU-0011,Material Isaac 8 EF,14,12,2,2026-01-20,O,87.86,1230.04
86,0,SKU-0008,Material COC 4 EF,188,143,45,2024-02-14,O,174.26,32760.88
87,0,SKU-0029,Material PGS 7 EF,49,32,17,2025-02-22,O,35.81,1754.69
88,0,SKU-0053,Material NSE 9 EF,262,69,193,2024-07-14,O,239.03,62625.86
88,1,SKU-0034,Material PGS 6 EF,79,29,50,2024-06-02,O,278.12,21971.48
88,2,SKU-0059,Material COC 4 EF,234,91,143,2024-07-01,O,194.79,45580.86
88,3,SKU-0034,Material PGS 2 EF,16,0,16,2024-06-23,O,142.61,2281.76
89,0,SKU-0012,Material PGS 6 EF,96,76,20,2024-06-05,O,205.47,19725.12
89,1,SKU-0026,Material SAE 1 EM,184,119,65,2024-05-10,O,73.02,13435.68
89,2,SKU-0045,Material SAE 6 EF,222,66,156,2024-06-19,O,121.78,27035.16
89,3,SKU-0020,Material SAE 2 EM,127,45,82,2024-05-28,O,144.15,18307.05
89,4,SKU-0042,Material NSE 1 EM,275,165,110,2024-05-14,O,221.68,60962.0
90,0,SKU-0007,Material Isaac 6 EF,67,46,21,2022-03-09,O,233.33,15633.11
91,0,SKU-0023,Material Isaac 6 EF,253,201,52,2022-07-08,O,172.16,43556.48
91,1,SKU-0003,Material SAE 1 EF,245,188,57,2022-07-20,O,158.44,38817.8
91,2,SKU-0039,Material NSE 4 EF,221,216,5,2022-07-28,O,22.59,4992.39
91,3,SKU-0028,Material SAE 3 EM,268,34,234,2022-07-31,O,82.54,22120.72
92,0,SKU-0004,Material COC 2 EM,100,40,60,2023-03-25,O,286.86,28686.0
93,0,SKU-0050,Material NSE 1 EM,186,176,10,2024-03-07,O,259.15,48201.9
93,1,SKU-0050,Material SAE 8 EF,87,79,8,2024-03-15,O,58.75,5111.25
93,2,SKU-0055,Material NSE 2 EM,37,20,17,2024-03-13,O,222.29,8224.73
94,0,SKU-0013,Material COC 5 EF,216,139,77,2024-06-16,O,250.69,54149.04
94,1,SKU-0048,Material PGS 3 EF,84,48,36,2024-06-23,O,206.23,17323.32
95,0,SKU-0027,Material COC 4 EF,203,118,85,2023-01-13,O,90.26,18322.78
95,1,SKU-0018,Material PGS 9 EF,250,294,0,2023-01-01,C,116.47,29117.5
95,2,SKU-0007,Material NSE 4 EF,237,177,60,2022-12-08,O,135.7,32160.9
95,3,SKU-0018,Material Isaac 3 EM,72,19,53,2022-12-08,O,222.69,16033.68
95,4,SKU-0049,Material Isaac 7 EF,99,89,10,2022-12-11,O,59.06,5846.94
96,0,SKU-0007,Material NSE 6 EF,188,148,40,2023-05-02,O,262.91,49427.08
96,1,SKU-0040,Material COC 6 EF,150,71,79,2023-04-20,O,256.13,38419.5
97,0,SKU-0001,Material Isaac 4 EF,281,122,159,2023-04-16,O,93.16,26177.96
97,1,SKU-0011,Material NSE 3 EF,187,7,180,2023-04-23,O,273.28,51103.36
97,2,SKU-0040,Material Isaac 5 EF,230,83,147,2023-05-23,O,104.77,24097.1
97,3,SKU-0024,Material PGS 2 EF,238,193,45,2023-05-15,O,286.34,68148.92
97,4,SKU-0042,Material COC 2 EF,228,128,100,2023-05-18,O,219.86,50128.08
98,0,SKU-0012,Material NSE 7 EF,85,46,39,2024-07-28,O,166.86,14183.1
98,1,SKU-0029,Material PGS 1 EF,284,149,135,2024-09-03,O,78.89,22404.76
99,0,SKU-0024,Material NSE 8 EF,285,10,275,2023-04-12,O,67.6,19266.0
99,1,SKU-0030,Material COC 7 EF,100,83,17,2023-04-16,O,101.05,10105.0
99,2,SKU-0036,Material SAE 7 EF,117,25,92,2023-03-22,O,24.6,2878.2
99,3,SKU-0058,Material COC 9 EF,31,10,21,2023-04-23,O,130.36,4041.16
99,4,SKU-0020,Material NSE 1 EF,17,6,11,2023-04-20,O,269.35,4578.95
100,0,SKU-0041,Material Isaac 7 EF,155,127,28,2024-07-07,O,179.87,27879.85
100,1,SKU-0007,Material Isaac 3 EM,132,56,76,2024-08-01,O,29.68,3917.76
