Id,ProductCode,Name,Brand__c,MaterialType__c,IsActive,CreatedDate
01t000000000000048,SKU-0048,SAE - Impresso - 9 EF,SAE,Impresso,true,2022-04-28 00:00:00
01t000000000000049,SKU-0049,COC - Digital - 8 EF,COC,Digital,true,2022-07-19 00:00:00
01t000000000000050,SKU-0050,NSE - Digital - 1 EF,NSE,Digital,true,2022-01-31 00:00:00
01t000000000000051,SKU-0051,COC - Impresso - 5 EF,COC,Impresso,false,2022-06-28 00:00:00
01t000000000000052,SKU-0052,COC - Digital - 3 EM,COC,Digital,false,2022-06-28 00:00:00
01t000000000000053,SKU-0053,SAE - Kit Completo - 4 EF,SAE,Kit Completo,false,2022-07-02 00:00:00
01t000000000000054,SKU-0054,COC - Impresso - 3 EF,COC,Impresso,false,2022-09-26 00:00:00
01t000000000000055,SKU-0055,Isaac - Impresso - 2 EM,Isaac,Impresso,false,2022-05-21 00:00:00
01t000000000000056,SKU-0056,PGS - Kit Completo - 2 EF,PGS,Kit Completo,false,2022-12-13 00:00:00
01t000000000000057,SKU-0057,COC - Digital - 8 EF,COC,Digital,false,2022-09-03 00:00:00
01t000000000000058,SKU-0058,SAE - Digital - 2 EM,SAE,Digital,false,2022-06-25 00:00:00
01t000000000000059,SKU-0059,NSE - Kit Completo - 7 EF,NSE,Kit Completo,false,2022-03-08 00:00:00
01t000000000000060,SKU-0060,Isaac - Impresso - 3 EF,Isaac,Impresso,false,2022-07-14 00:00:00
