DocEntry,DocNum,CardCode,BaseEntry,DocDate,DocStatus,Cancelled,CreateDate
118,118,C00263,1007,2023-03-06,C,N,2023-03-06
119,119,C00070,1679,2022-09-17,C,N,2022-09-17
120,120,C00102,59,2023-07-25,C,N,2023-07-25
121,121,C00137,807,2022-04-17,C,N,2022-04-17
122,122,C00068,1345,2026-02-06,C,N,2026-02-06
123,123,C00067,1393,2024-10-30,C,N,2024-10-30
124,124,C00205,115,2022-11-09,C,N,2022-11-09
125,125,C00046,1495,2025-03-19,C,N,2025-03-19
126,126,C00261,711,2022-10-07,O,N,2022-10-07
127,127,C00016,494,2024-02-02,O,N,2024-02-02
128,128,C00003,428,2025-10-09,C,N,2025-10-09
129,129,C00169,1008,2023-07-01,C,N,2023-07-01
130,130,C00011,136,2022-12-06,C,N,2022-12-06
131,131,C00114,1484,2024-08-01,O,N,2024-08-01
132,132,C00016,273,2023-07-03,C,N,2023-07-03
133,133,C00114,1295,2023-10-08,O,N,2023-10-08
134,134,C00039,1372,2025-02-12,O,N,2025-02-12
135,135,C00041,1747,2023-10-14,C,N,2023-10-14
136,136,C00155,816,2023-06-11,C,N,2023-06-11
137,137,C00261,491,2024-04-14,C,N,2024-04-14
138,138,C00184,1303,2022-02-21,C,N,2022-02-21
139,139,C00164,1597,2022-08-31,O,N,2022-08-31
140,140,C00177,1319,2022-08-22,C,N,2022-08-22
141,141,C00078,1131,2025-10-19,C,N,2025-10-19
142,142,C00105,1496,2022-05-23,C,N,2022-05-23
143,143,C00209,875,2025-03-04,C,N,2025-03-04
144,144,C00087,1590,2022-02-18,C,N,2022-02-18
145,145,C00237,731,2025-09-13,C,N,2025-09-13
146,146,C00103,139,2024-07-06,C,N,2024-07-06
147,147,C00214,561,2022-04-16,O,N,2022-04-16
148,148,C00147,1386,2025-06-15,C,N,2025-06-15
149,149,C00144,469,2024-04-06,O,N,2024-04-06
150,150,C00096,879,2025-10-09,C,N,2025-10-09
151,151,C00083,541,2023-09-03,C,N,2023-09-03
152,152,C00140,924,2025-04-25,O,N,2025-04-25
153,153,C00115,402,2023-07-29,C,N,2023-07-29
154,154,C00255,1227,2025-01-12,C,N,2025-01-12
155,155,C00016,820,2024-06-23,O,N,2024-06-23
156,156,C00122,1543,2024-03-24,C,N,2024-03-24
157,157,C00168,1512,2023-12-02,C,N,2023-12-02
158,158,C00221,1234,2024-05-11,C,N,2024-05-11
159,159,C00107,122,2023-01-03,C,N,2023-01-03
160,160,C00057,744,2023-02-14,O,N,2023-02-14
161,161,C00048,674,2023-05-12,C,N,2023-05-12
162,162,C00197,1555,2022-06-21,C,N,2022-06-21
163,163,C00217,735,2024-01-25,C,N,2024-01-25
164,164,C00208,394,2022-08-20,C,N,2022-08-20
165,165,C00213,164,2026-01-08,C,N,2026-01-08
166,166,C00069,1272,2022-02-04,O,N,2022-02-04
167,167,C00120,88,2024-06-08,C,N,2024-06-08
168,168,C00145,1258,2026-01-23,O,N,2026-01-23
169,169,C00141,365,2023-07-12,C,N,2023-07-12
170,170,C00008,850,2025-11-02,C,N,2025-11-02
171,171,C00196,1748,2023-02-12,C,N,2023-02-12
172,172,C00039,275,2022-05-07,C,N,2022-05-07
173,173,C00010,408,2023-09-10,O,N,2023-09-10
174,174,C00002,688,2023-03-10,C,N,2023-03-10
175,175,C00179,1161,2024-05-21,C,N,2024-05-21
176,176,C00177,596,2022-04-03,C,N,2022-04-03
177,177,C00087,26,2025-11-09,O,N,2025-11-09
178,178,C00059,639,2022-08-04,C,N,2022-08-04
179,179,C00010,1066,2022-03-09,C,N,2022-03-09
180,180,C00201,893,2023-05-28,C,N,2023-05-28
181,181,C00180,128,2024-02-03,C,N,2024-02-03
182,182,C00135,1094,2022-10-08,C,N,2022-10-08
183,183,C00211,1426,2023-02-03,C,N,2023-02-03
184,184,C00264,1696,2023-06-23,C,N,2023-06-23
185,185,C00250,1594,2022-04-07,O,N,2022-04-07
186,186,C00006,61,2025-07-03,C,N,2025-07-03
187,187,C00257,1685,2024-12-16,O,N,2024-12-16
188,188,C00242,533,2025-09-03,C,N,2025-09-03
189,189,C00031,1671,2023-08-25,C,N,2023-08-25
190,190,C00113,605,2022-10-10,C,N,2022-10-10
191,191,C00099,1683,2025-05-12,O,N,2025-05-12
192,192,C00100,107,2023-07-01,C,N,2023-07-01
193,193,C00183,34,2025-09-18,C,N,2025-09-18
194,194,C00102,1053,2023-12-19,C,N,2023-12-19
195,195,C00117,1255,2024-06-08,C,N,2024-06-08
196,196,C00231,992,2022-08-19,O,N,2022-08-19
197,197,C00058,1526,2023-03-28,O,N,2023-03-28
198,198,C00212,549,2024-03-15,C,N,2024-03-15
199,199,C00027,132,2024-02-14,C,N,2024-02-14
200,200,C00077,1374,2025-02-09,O,N,2025-02-09
201,201,C00028,1017,2025-11-10,C,N,2025-11-10
202,202,C00154,940,2024-04-18,C,Y,2024-04-18
203,203,C00028,1115,2023-07-04,O,N,2023-07-04
204,204,C00215,755,2025-12-31,C,N,2025-12-31
205,205,C00080,822,2023-06-28,C,N,2023-06-28
206,206,C00187,584,2022-03-01,C,N,2022-03-01
207,207,C00002,558,2023-11-23,C,N,2023-11-23
208,208,C00065,1284,2025-09-14,C,N,2025-09-14
209,209,C00183,1672,2023-02-05,C,Y,2023-02-05
210,210,C00113,334,2022-11-30,C,N,2022-11-30
211,211,C00068,676,2023-07-23,C,N,2023-07-23
212,212,C00035,733,2026-01-14,O,N,2026-01-14
213,213,C00144,1701,2022-12-20,C,N,2022-12-20
214,214,C00143,498,2025-04-23,C,N,2025-04-23
215,215,C00014,1607,2022-08-07,C,N,2022-08-07
216,216,C00105,547,2023-04-19,C,N,2023-04-19
217,217,C00073,1152,2023-08-09,O,N,2023-08-09
218,218,C00028,1086,2025-03-30,C,N,2025-03-30
219,219,C00245,1642,2022-03-22,C,N,2022-03-22
220,220,C00256,1225,2022-02-27,C,N,2022-02-27
221,221,C00119,1622,2025-04-15,C,N,2025-04-15
222,222,C00079,666,2024-01-01,C,N,2024-01-01
223,223,C00167,1654,2022-03-16,O,N,2022-03-16
224,224,C00079,1181,2024-05-15,C,N,2024-05-15
225,225,C00113,134,2023-01-31,O,N,2023-01-31
226,226,C00071,12,2022-10-22,C,N,2022-10-22
227,227,C00194,277,2024-01-01,C,N,2024-01-01
228,228,C00158,388,2025-09-04,C,N,2025-09-04
229,229,C00194,33,2023-12-30,C,N,2023-12-30
230,230,C00101,1443,2022-02-25,C,N,2022-02-25
231,231,C00119,1324,2023-11-12,C,N,2023-11-12
232,232,C00020,952,2024-04-12,O,N,2024-04-12
233,233,C00228,908,2022-03-27,C,N,2022-03-27
234,234,C00099,1620,2025-08-31,C,N,2025-08-31
235,235,C00106,838,2022-09-02,C,N,2022-09-02
236,236,C00245,782,2026-01-25,O,N,2026-01-25
237,237,C00206,438,2023-09-16,O,N,2023-09-16
238,238,C00165,152,2025-05-27,O,N,2025-05-27
239,239,C00216,1533,2025-11-28,C,N,2025-11-28
240,240,C00193,1074,2024-08-14,C,N,2024-08-14
241,241,C00055,1564,2025-01-29,C,N,2025-01-29
242,242,C00244,804,2024-02-10,C,N,2024-02-10
243,243,C00223,1489,2022-09-07,C,N,2022-09-07
244,244,C00095,1333,2024-02-20,C,N,2024-02-20
245,245,C00163,729,2023-09-04,C,N,2023-09-04
246,246,C00258,1221,2024-11-11,C,N,2024-11-11
247,247,C00111,901,2024-06-01,C,N,2024-06-01
248,248,C00240,293,2023-08-18,C,N,2023-08-18
249,249,C00102,1486,2023-08-29,C,N,2023-08-29
250,250,C00246,1455,2023-03-07,C,N,2023-03-07
251,251,C00212,1364,2024-04-05,C,N,2024-04-05
252,252,C00208,1021,2023-02-27,C,N,2023-02-27
253,253,C00096,571,2025-02-21,O,N,2025-02-21
254,254,C00145,282,2024-10-05,C,N,2024-10-05
255,255,C00114,468,2023-11-27,C,N,2023-11-27
256,256,C00171,500,2022-12-06,C,N,2022-12-06
257,257,C00059,650,2022-06-12,C,N,2022-06-12
258,258,C00123,1429,2023-11-28,O,N,2023-11-28
259,259,C00170,271,2022-07-04,O,N,2022-07-04
260,260,C00024,336,2023-12-14,C,N,2023-12-14
261,261,C00183,1179,2022-11-02,O,N,2022-11-02
262,262,C00121,1655,2023-11-06,C,N,2023-11-06
263,263,C00007,520,2023-12-05,O,N,2023-12-05
264,264,C00204,622,2024-07-19,C,N,2024-07-19
265,265,C00134,514,2023-05-13,O,N,2023-05-13
266,266,C00066,1379,2022-06-14,C,N,2022-06-14
267,267,C00152,1014,2024-02-07,O,N,2024-02-07
268,268,C00197,51,2025-01-28,C,N,2025-01-28
269,269,C00231,521,2022-04-17,C,N,2022-04-17
270,270,C00086,994,2022-07-06,C,Y,2022-07-06
271,271,C00118,1634,2025-12-06,C,N,2025-12-06
272,272,C00096,1623,2023-06-29,C,N,2023-06-29
273,273,C00248,843,2024-09-29,C,N,2024-09-29
274,274,C00183,1325,2022-07-05,C,N,2022-07-05
275,275,C00029,897,2023-08-01,O,N,2023-08-01
276,276,C00077,1106,2023-10-30,C,N,2023-10-30
277,277,C00186,805,2025-08-30,O,N,2025-08-30
278,278,C00213,1030,2023-07-13,C,Y,2023-07-13
279,279,C00133,767,2023-12-04,O,N,2023-12-04
280,280,C00175,493,2025-01-15,O,N,2025-01-15
281,281,C00120,1290,2023-03-28,O,Y,2023-03-28
282,282,C00017,143,2023-07-08,C,N,2023-07-08
283,283,C00128,823,2024-11-22,C,N,2024-11-22
284,284,C00048,1392,2024-10-11,O,N,2024-10-11
285,285,C00255,1316,2023-06-23,C,N,2023-06-23
286,286,C00201,228,2022-08-25,C,N,2022-08-25
287,287,C00154,412,2023-07-12,C,N,2023-07-12
288,288,C00108,1675,2023-03-31,C,N,2023-03-31
289,289,C00111,568,2024-12-27,C,N,2024-12-27
290,290,C00050,817,2024-10-27,C,N,2024-10-27
291,291,C00066,1190,2022-05-13,C,N,2022-05-13
292,292,C00256,1317,2025-11-19,C,N,2025-11-19
293,293,C00181,1580,2023-02-05,O,N,2023-02-05
294,294,C00113,508,2022-01-19,O,Y,2022-01-19
295,295,C00097,1537,2023-06-01,O,N,2023-06-01
296,296,C00086,1044,2024-11-29,C,N,2024-11-29
297,297,C00050,841,2023-04-23,O,N,2023-04-23
298,298,C00201,852,2023-02-03,C,N,2023-02-03
299,299,C00232,194,2023-05-13,C,N,2023-05-13
300,300,C00027,809,2025-09-10,C,Y,2025-09-10
301,301,C00091,471,2024-02-08,C,N,2024-02-08
302,302,C00220,1347,2023-04-03,O,N,2023-04-03
303,303,C00057,1082,2022-04-14,O,N,2022-04-14
304,304,C00031,609,2023-07-04,C,N,2023-07-04
305,305,C00090,1134,2023-02-08,O,N,2023-02-08
306,306,C00106,229,2023-06-06,C,N,2023-06-06
307,307,C00069,266,2024-09-05,C,N,2024-09-05
308,308,C00261,989,2022-09-02,O,N,2022-09-02
309,309,C00199,332,2022-08-02,C,N,2022-08-02
310,310,C00229,1738,2024-07-01,O,N,2024-07-01
311,311,C00109,1546,2025-08-08,O,N,2025-08-08
312,312,C00064,259,2025-09-06,C,N,2025-09-06
313,313,C00148,383,2023-01-03,C,N,2023-01-03
314,314,C00174,701,2022-02-19,C,N,2022-02-19
315,315,C00204,1037,2023-03-08,C,N,2023-03-08
316,316,C00112,659,2022-07-09,C,N,2022-07-09
317,317,C00028,1120,2022-08-06,C,N,2022-08-06
318,318,C00064,261,2025-06-25,C,N,2025-06-25
319,319,C00156,753,2023-03-04,O,N,2023-03-04
320,320,C00233,453,2023-02-02,C,N,2023-02-02
321,321,C00125,393,2025-08-13,C,N,2025-08-13
322,322,C00121,665,2022-09-22,O,N,2022-09-22
323,323,C00142,1798,2023-02-03,O,N,2023-02-03
324,324,C00101,1373,2024-10-30,O,N,2024-10-30
325,325,C00168,1720,2025-08-05,C,N,2025-08-05
326,326,C00065,1524,2024-09-13,C,N,2024-09-13
327,327,C00188,811,2023-08-04,C,N,2023-08-04
328,328,C00077,490,2026-01-17,O,N,2026-01-17
329,329,C00189,1307,2023-05-06,C,N,2023-05-06
330,330,C00013,1111,2024-06-21,C,N,2024-06-21
331,331,C00030,237,2025-10-30,C,N,2025-10-30
332,332,C00144,1354,2022-03-24,C,N,2022-03-24
333,333,C00138,1135,2025-08-27,O,N,2025-08-27
334,334,C00071,13,2023-07-30,C,N,2023-07-30
335,335,C00230,1140,2024-04-09,C,N,2024-04-09
336,336,C00111,713,2025-08-31,O,N,2025-08-31
337,337,C00031,756,2026-01-13,C,N,2026-01-13
338,338,C00267,588,2023-08-10,C,N,2023-08-10
339,339,C00088,378,2025-03-21,C,N,2025-03-21
340,340,C00174,77,2024-04-18,O,N,2024-04-18
341,341,C00190,1492,2025-10-31,C,N,2025-10-31
342,342,C00021,6,2025-04-30,C,N,2025-04-30
343,343,C00231,1320,2025-01-24,O,N,2025-01-24
344,344,C00141,1357,2025-09-16,O,N,2025-09-16
345,345,C00075,1308,2024-04-09,C,N,2024-04-09
346,346,C00187,539,2024-04-27,C,N,2024-04-27
347,347,C00039,1657,2023-03-16,C,N,2023-03-16
348,348,C00020,1353,2025-03-12,C,N,2025-03-12
349,349,C00153,848,2023-10-22,C,N,2023-10-22
350,350,C00032,117,2025-11-23,C,N,2025-11-23
351,351,C00004,121,2022-03-31,O,N,2022-03-31
352,352,C00069,1047,2022-02-28,C,N,2022-02-28
353,353,C00245,1183,2025-02-14,O,N,2025-02-14
354,354,C00205,1235,2023-01-24,C,N,2023-01-24
355,355,C00020,1587,2023-09-21,C,N,2023-09-21
356,356,C00228,1245,2025-02-05,O,N,2025-02-05
357,357,C00170,465,2023-12-02,C,N,2023-12-02
358,358,C00241,730,2025-09-09,C,N,2025-09-09
359,359,C00184,15,2022-12-17,C,N,2022-12-17
360,360,C00198,863,2024-07-31,C,N,2024-07-31
361,361,C00208,214,2024-10-31,C,N,2024-10-31
362,362,C00089,1051,2021-12-26,O,N,2021-12-26
363,363,C00100,978,2025-08-05,C,N,2025-08-05
364,364,C00032,396,2022-09-01,O,N,2022-09-01
365,365,C00093,445,2025-02-08,C,N,2025-02-08
366,366,C00127,1771,2025-01-28,C,N,2025-01-28
367,367,C00228,295,2022-05-08,C,N,2022-05-08
368,368,C00073,70,2022-03-29,C,N,2022-03-29
369,369,C00013,983,2025-04-28,C,N,2025-04-28
370,370,C00064,757,2024-12-16,C,N,2024-12-16
371,371,C00187,159,2023-05-27,C,N,2023-05-27
372,372,C00200,250,2023-09-09,C,N,2023-09-09
373,373,C00019,517,2022-06-23,O,N,2022-06-23
374,374,C00041,649,2025-05-19,C,N,2025-05-19
375,375,C00079,1207,2025-05-28,C,N,2025-05-28
376,376,C00166,925,2025-12-17,O,N,2025-12-17
377,377,C00205,1582,2025-04-07,C,N,2025-04-07
378,378,C00055,971,2025-08-30,O,N,2025-08-30
379,379,C00244,1277,2025-10-21,C,N,2025-10-21
380,380,C00145,1544,2024-07-17,C,N,2024-07-17
381,381,C00135,1202,2025-03-04,C,N,2025-03-04
382,382,C00009,1704,2022-10-03,C,N,2022-10-03
383,383,C00232,27,2024-11-19,C,N,2024-11-19
384,384,C00107,526,2025-01-24,C,N,2025-01-24
385,385,C00003,407,2023-07-28,C,N,2023-07-28
386,386,C00045,135,2023-03-22,C,N,2023-03-22
387,387,C00209,302,2024-06-18,C,N,2024-06-18
388,388,C00065,358,2023-06-01,C,N,2023-06-01
389,389,C00118,560,2025-07-02,C,N,2025-07-02
390,390,C00044,8,2025-10-01,C,N,2025-10-01
391,391,C00037,216,2023-05-02,C,N,2023-05-02
392,392,C00042,1050,2025-12-27,O,N,2025-12-27
393,393,C00054,481,2025-09-26,O,Y,2025-09-26
394,394,C00036,351,2025-03-03,C,N,2025-03-03
395,395,C00185,1410,2024-06-26,C,N,2024-06-26
396,396,C00154,182,2023-12-12,C,N,2023-12-12
397,397,C00096,1573,2025-10-02,C,N,2025-10-02
398,398,C00019,1562,2024-03-08,O,N,2024-03-08
399,399,C00147,1360,2024-04-23,C,N,2024-04-23
400,400,C00217,694,2022-07-21,O,N,2022-07-21
401,401,C00217,1572,2025-02-26,C,N,2025-02-26
402,402,C00012,454,2025-03-05,C,N,2025-03-05
403,403,C00143,1507,2025-05-20,C,N,2025-05-20
404,404,C00226,314,2024-08-01,C,N,2024-08-01
405,405,C00220,562,2025-05-15,C,N,2025-05-15
406,406,C00012,1465,2022-10-28,O,N,2022-10-28
407,407,C00238,1647,2022-06-22,O,N,2022-06-22
408,408,C00073,1054,2025-03-26,O,N,2025-03-26
409,409,C00194,540,2023-08-09,C,N,2023-08-09
410,410,C00167,22,2023-08-02,C,N,2023-08-02
411,411,C00123,10,2024-04-05,C,N,2024-04-05
412,412,C00114,1336,2025-04-13,O,N,2025-04-13
413,413,C00068,625,2024-03-10,O,N,2024-03-10
414,414,C00076,1554,2022-09-04,O,N,2022-09-04
415,415,C00030,1534,2022-03-07,C,N,2022-03-07
416,416,C00077,527,2023-06-14,C,N,2023-06-14
417,417,C00124,964,2026-01-06,C,N,2026-01-06
418,418,C00143,1185,2024-07-06,C,N,2024-07-06
419,419,C00183,220,2025-10-17,C,N,2025-10-17
420,420,C00231,1758,2024-04-22,C,N,2024-04-22
421,421,C00135,154,2022-07-11,O,N,2022-07-11
422,422,C00188,258,2026-01-14,O,N,2026-01-14
423,423,C00064,1260,2024-05-05,C,N,2024-05-05
424,424,C00156,1640,2024-07-13,C,N,2024-07-13
425,425,C00136,1144,2025-04-04,O,N,2025-04-04
426,426,C00136,1678,2024-07-30,C,N,2024-07-30
427,427,C00059,485,2024-07-15,C,N,2024-07-15
428,428,C00079,902,2023-08-26,C,N,2023-08-26
429,429,C00102,111,2024-02-08,C,N,2024-02-08
430,430,C00229,888,2022-04-21,C,N,2022-04-21
431,431,C00214,501,2023-05-05,C,N,2023-05-05
432,432,C00164,1538,2024-05-18,O,N,2024-05-18
433,433,C00217,87,2025-03-16,O,N,2025-03-16
434,434,C00190,799,2023-08-26,C,N,2023-08-26
435,435,C00084,175,2023-07-24,C,N,2023-07-24
436,436,C00234,439,2024-05-18,C,N,2024-05-18
437,437,C00030,80,2023-07-15,O,N,2023-07-15
438,438,C00053,102,2023-01-28,C,N,2023-01-28
439,439,C00267,1470,2024-07-25,C,N,2024-07-25
440,440,C00205,997,2024-03-03,C,N,2024-03-03
441,441,C00261,1400,2025-03-14,C,N,2025-03-14
442,442,C00191,503,2023-01-23,O,Y,2023-01-23
443,443,C00178,1219,2022-12-04,C,N,2022-12-04
444,444,C00132,1551,2026-01-10,O,N,2026-01-10
445,445,C00138,447,2022-09-20,C,N,2022-09-20
446,446,C00204,409,2025-05-18,C,N,2025-05-18
447,447,C00072,1791,2023-12-23,C,N,2023-12-23
448,448,C00133,1371,2023-04-24,C,N,2023-04-24
449,449,C00209,252,2024-04-21,C,N,2024-04-21
450,450,C00114,1792,2024-10-14,C,N,2024-10-14
451,451,C00149,375,2024-08-18,O,N,2024-08-18
452,452,C00206,1461,2023-01-17,C,N,2023-01-17
453,453,C00182,477,2023-11-19,C,N,2023-11-19
454,454,C00133,1665,2022-10-14,C,N,2022-10-14
455,455,C00206,881,2022-03-08,C,N,2022-03-08
456,456,C00036,1048,2025-07-18,C,N,2025-07-18
457,457,C00203,262,2024-10-04,O,N,2024-10-04
458,458,C00147,1730,2024-04-13,C,N,2024-04-13
459,459,C00150,1705,2023-01-01,C,N,2023-01-01
460,460,C00007,1292,2025-06-09,O,N,2025-06-09
461,461,C00244,1252,2026-01-17,C,N,2026-01-17
462,462,C00242,894,2023-01-17,C,N,2023-01-17
463,463,C00082,1189,2022-04-07,C,N,2022-04-07
464,464,C00226,145,2024-12-05,O,N,2024-12-05
465,465,C00233,1009,2023-06-28,O,N,2023-06-28
466,466,C00192,718,2023-05-19,C,N,2023-05-19
467,467,C00178,1467,2023-03-06,C,N,2023-03-06
468,468,C00161,1200,2026-02-10,C,N,2026-02-10
469,469,C00174,1727,2025-11-23,C,N,2025-11-23
470,470,C00178,1658,2023-12-16,C,N,2023-12-16
471,471,C00186,638,2024-10-16,C,N,2024-10-16
472,472,C00107,285,2024-06-21,C,N,2024-06-21
473,473,C00154,532,2024-08-27,C,N,2024-08-27
474,474,C00044,475,2023-02-18,C,N,2023-02-18
475,475,C00187,742,2025-06-11,O,N,2025-06-11
476,476,C00108,341,2023-10-22,O,N,2023-10-22
477,477,C00116,215,2023-01-25,C,N,2023-01-25
478,478,C00047,680,2025-10-15,C,N,2025-10-15
479,479,C00105,873,2025-12-13,C,N,2025-12-13
480,480,C00119,109,2022-07-15,C,N,2022-07-15
481,481,C00165,310,2025-04-09,O,N,2025-04-09
482,482,C00051,470,2022-11-25,C,N,2022-11-25
483,483,C00111,369,2025-03-26,C,N,2025-03-26
484,484,C00023,651,2022-05-09,C,N,2022-05-09
485,485,C00093,1069,2025-04-22,C,N,2025-04-22
486,486,C00216,662,2023-06-11,C,N,2023-06-11
487,487,C00036,851,2022-09-14,C,N,2022-09-14
488,488,C00046,1141,2024-07-15,O,N,2024-07-15
