DocEntry,DocNum,CardCode,BaseEntry,DocDate,DocTotal,VatSum,Cancelled,CreateDate
64,64,C00217,253,2025-09-01,46297.74,3414.43,N,2025-09-01
65,65,C00266,839,2023-08-31,24839.13,1717.86,N,2023-08-31
66,66,C00114,633,2025-03-11,5455.67,2328.97,N,2025-03-11
67,67,C00072,361,2024-04-24,41797.11,4406.45,N,2024-04-24
68,68,C00061,1405,2024-09-21,35697.47,4334.19,N,2024-09-21
69,69,C00229,76,2022-11-23,46153.54,4280.0,N,2022-11-23
70,70,C00153,1499,2024-05-23,34797.62,1504.83,Y,2024-05-23
71,71,C00035,205,2023-10-18,47522.49,259.81,N,2023-10-18
72,72,C00062,244,2025-06-12,18572.71,3903.83,N,2025-06-12
73,73,C00257,1782,2023-08-20,13893.77,3059.4,N,2023-08-20
74,74,C00176,1118,2025-03-28,17152.03,640.39,N,2025-03-28
75,75,C00094,112,2025-03-30,6076.11,101.21,N,2025-03-30
76,76,C00024,1743,2022-06-15,36811.29,4628.9,N,2022-06-15
77,77,C00172,370,2023-04-05,19108.28,3431.31,N,2023-04-05
78,78,C00012,1673,2024-07-25,39382.35,2275.62,N,2024-07-25
79,79,C00053,1487,2022-06-25,29799.97,4356.61,N,2022-06-25
80,80,C00225,1420,2023-07-09,21569.28,2964.7,N,2023-07-09
81,81,C00106,1305,2025-06-02,42954.48,3074.2,N,2025-06-02
82,82,C00143,703,2024-03-23,10415.44,2387.87,N,2024-03-23
83,83,C00256,544,2025-04-26,13757.23,3704.67,N,2025-04-26
84,84,C00023,1365,2024-11-30,37699.4,3148.03,N,2024-11-30
85,85,C00036,1212,2024-02-17,49288.41,276.16,N,2024-02-17
86,86,C00158,1406,2024-02-22,28485.11,3996.0,N,2024-02-22
87,87,C00119,687,2023-09-28,3472.06,4744.72,N,2023-09-28
88,88,C00220,294,2024-03-14,12877.74,522.45,N,2024-03-14
89,89,C00002,184,2025-06-24,12338.21,497.05,N,2025-06-24
91,91,C00153,180,2024-12-06,18310.88,4185.46,N,2024-12-06
92,92,C00258,1409,2025-01-04,26814.44,745.54,N,2025-01-04
93,93,C00155,301,2024-10-04,34483.26,568.9,N,2024-10-04
94,94,C00022,247,2022-05-19,46787.74,3803.55,N,2022-05-19
95,95,C00048,1501,2024-04-07,7865.37,3984.77,N,2024-04-07
96,96,C00218,785,2024-04-26,22368.1,3818.73,N,2024-04-26
98,98,C00186,672,2025-05-03,19207.8,2520.14,N,2025-05-03
99,99,C00057,909,2023-10-07,26538.67,216.7,Y,2023-10-07
100,100,C00114,531,2026-02-26,4542.25,2065.02,N,2026-02-26
101,101,C00208,411,2024-09-01,9946.29,136.05,N,2024-09-01
102,102,C00086,534,2024-10-05,45756.76,3228.24,N,2024-10-05
103,103,C00019,1213,2023-03-03,44500.61,4401.98,N,2023-03-03
104,104,C00241,236,2023-09-04,18219.47,200.22,N,2023-09-04
105,105,C00153,1625,2025-07-09,39668.33,1370.67,N,2025-07-09
106,106,C00045,1765,2025-01-30,30076.59,3734.18,N,2025-01-30
107,107,C00099,1020,2024-03-28,17197.16,3935.24,N,2024-03-28
109,109,C00138,1453,2023-05-23,35870.97,974.88,N,2023-05-23
110,110,C00070,1158,2023-04-25,921.64,4964.83,N,2023-04-25
111,111,C00141,1715,2023-11-22,10029.31,1523.54,N,2023-11-22
112,112,C00025,1776,2022-05-24,21634.07,3453.97,N,2022-05-24
113,113,C00191,941,2022-08-22,43316.39,692.85,N,2022-08-22
114,114,C00068,904,2025-03-24,28890.99,2012.16,N,2025-03-24
115,115,C00131,1281,2023-05-05,31499.99,4712.0,N,2023-05-05
116,116,C00192,100,2024-06-24,27398.57,3570.06,N,2024-06-24
117,117,C00041,222,2024-08-19,21891.31,3038.42,N,2024-08-19
118,118,C00263,1007,2023-03-11,40544.11,4621.48,N,2023-03-11
119,119,C00070,1679,2022-09-17,35301.93,1886.71,N,2022-09-17
120,120,C00102,59,2023-07-26,15254.33,1060.09,N,2023-07-26
121,121,C00137,807,2022-04-18,15474.12,2715.37,N,2022-04-18
122,122,C00068,1345,2026-02-06,29555.92,3703.86,N,2026-02-06
123,123,C00067,1393,2024-10-30,25564.47,4656.87,N,2024-10-30
124,124,C00205,115,2022-11-14,22060.05,2084.48,N,2022-11-14
125,125,C00046,1495,2025-03-22,43109.36,242.85,N,2025-03-22
126,126,C00261,711,2022-10-10,5316.54,4762.71,N,2022-10-10
127,127,C00016,494,2024-02-02,11632.2,3471.19,N,2024-02-02
128,128,C00003,428,2025-10-09,22114.54,1835.09,N,2025-10-09
129,129,C00169,1008,2023-07-04,6625.37,143.82,N,2023-07-04
130,130,C00011,136,2022-12-07,33118.29,2566.85,N,2022-12-07
131,131,C00114,1484,2024-08-02,24913.34,710.32,N,2024-08-02
132,132,C00016,273,2023-07-03,42076.02,2841.86,N,2023-07-03
133,133,C00114,1295,2023-10-10,45207.02,412.94,N,2023-10-10
134,134,C00039,1372,2025-02-12,43373.78,2792.51,N,2025-02-12
135,135,C00041,1747,2023-10-14,46780.42,4823.16,N,2023-10-14
136,136,C00155,816,2023-06-12,11959.72,3627.18,N,2023-06-12
137,137,C00261,491,2024-04-19,38787.08,2744.99,N,2024-04-19
138,138,C00184,1303,2022-02-21,2763.19,569.19,N,2022-02-21
139,139,C00164,1597,2022-09-02,46321.77,2633.51,N,2022-09-02
140,140,C00177,1319,2022-08-25,13008.53,1805.45,N,2022-08-25
141,141,C00078,1131,2025-10-21,20929.75,194.1,N,2025-10-21
142,142,C00105,1496,2022-05-26,10475.84,3366.56,N,2022-05-26
143,143,C00209,875,2025-03-06,3478.79,917.04,N,2025-03-06
144,144,C00087,1590,2022-02-20,21505.44,4760.24,N,2022-02-20
145,145,C00237,731,2025-09-17,13946.64,2573.26,N,2025-09-17
146,146,C00103,139,2024-07-11,19921.93,3855.48,N,2024-07-11
147,147,C00214,561,2022-04-17,26546.63,786.53,N,2022-04-17
148,148,C00147,1386,2025-06-19,27187.41,1496.02,N,2025-06-19
149,149,C00144,469,2024-04-07,48022.15,414.35,N,2024-04-07
150,150,C00096,879,2025-10-14,3967.8,4861.49,N,2025-10-14
151,151,C00083,541,2023-09-03,35295.99,1600.41,N,2023-09-03
152,152,C00140,924,2025-04-29,32288.08,869.51,Y,2025-04-29
153,153,C00115,402,2023-07-29,13308.81,3551.35,N,2023-07-29
154,154,C00255,1227,2025-01-16,5355.36,784.83,N,2025-01-16
155,155,C00016,820,2024-06-23,6687.51,3821.03,N,2024-06-23
156,156,C00122,1543,2024-03-25,16846.64,4824.91,N,2024-03-25
157,157,C00168,1512,2023-12-06,28012.63,4256.32,N,2023-12-06
158,158,C00221,1234,2024-05-13,35264.99,3496.08,N,2024-05-13
159,159,C00107,122,2023-01-08,31614.25,4272.76,N,2023-01-08
160,160,C00057,744,2023-02-18,32222.85,2138.66,N,2023-02-18
161,161,C00048,674,2023-05-14,20771.51,2796.07,N,2023-05-14
162,162,C00197,1555,2022-06-21,14162.52,4367.39,N,2022-06-21
163,163,C00217,735,2024-01-25,18488.46,2124.78,N,2024-01-25
164,164,C00208,394,2022-08-22,16026.76,3068.99,N,2022-08-22
165,165,C00213,164,2026-01-12,5383.24,3470.46,N,2026-01-12
166,166,C00069,1272,2022-02-06,41670.67,1289.98,N,2022-02-06
167,167,C00120,88,2024-06-13,28005.93,2277.96,N,2024-06-13
168,168,C00145,1258,2026-01-27,30181.77,297.4,N,2026-01-27
169,169,C00141,365,2023-07-15,24879.94,158.38,N,2023-07-15
170,170,C00008,850,2025-11-03,31124.56,4643.76,N,2025-11-03
171,171,C00196,1748,2023-02-16,7700.58,3194.42,N,2023-02-16
172,172,C00039,275,2022-05-08,6316.75,4944.37,N,2022-05-08
173,173,C00010,408,2023-09-11,13825.78,4135.81,N,2023-09-11
174,174,C00002,688,2023-03-10,23157.8,3532.81,N,2023-03-10
175,175,C00179,1161,2024-05-22,6695.67,4321.27,N,2024-05-22
176,176,C00177,596,2022-04-03,22238.29,3019.83,N,2022-04-03
177,177,C00087,26,2025-11-09,20289.89,591.07,Y,2025-11-09
178,178,C00059,639,2022-08-09,25130.65,695.78,N,2022-08-09
179,179,C00010,1066,2022-03-09,44293.56,4514.51,N,2022-03-09
180,180,C00201,893,2023-05-30,29122.19,4812.92,N,2023-05-30
181,181,C00180,128,2024-02-04,22895.11,4177.63,N,2024-02-04
182,182,C00135,1094,2022-10-10,38965.73,1899.06,N,2022-10-10
183,183,C00211,1426,2023-02-06,33391.11,4791.27,N,2023-02-06
184,184,C00264,1696,2023-06-24,6370.55,1447.97,N,2023-06-24
185,185,C00250,1594,2022-04-12,5471.0,3068.7,N,2022-04-12
186,186,C00006,61,2025-07-07,39560.6,971.98,N,2025-07-07
187,187,C00257,1685,2024-12-20,15338.43,2486.5,N,2024-12-20
188,188,C00242,533,2025-09-03,41275.27,253.32,N,2025-09-03
189,189,C00031,1671,2023-08-28,22160.03,1836.52,N,2023-08-28
190,190,C00113,605,2022-10-13,10901.24,2686.23,N,2022-10-13
191,191,C00099,1683,2025-05-16,26547.13,354.66,N,2025-05-16
192,192,C00100,107,2023-07-05,31729.62,4433.85,N,2023-07-05
193,193,C00183,34,2025-09-22,24848.82,1065.79,N,2025-09-22
194,194,C00102,1053,2023-12-20,31159.53,4890.53,N,2023-12-20
195,195,C00117,1255,2024-06-10,24863.41,682.11,N,2024-06-10
196,196,C00231,992,2022-08-22,10325.74,1824.25,N,2022-08-22
197,197,C00058,1526,2023-03-30,37608.01,2241.16,N,2023-03-30
198,198,C00212,549,2024-03-16,24114.63,2921.49,N,2024-03-16
199,199,C00027,132,2024-02-16,15885.8,3336.9,N,2024-02-16
200,200,C00077,1374,2025-02-11,48710.09,4135.88,N,2025-02-11
201,201,C00028,1017,2025-11-10,47821.94,3825.59,N,2025-11-10
203,203,C00028,1115,2023-07-08,19699.97,4481.8,Y,2023-07-08
204,204,C00215,755,2025-12-31,31400.57,978.84,N,2025-12-31
205,205,C00080,822,2023-07-01,23385.9,4386.61,N,2023-07-01
206,206,C00187,584,2022-03-05,7771.01,2311.08,N,2022-03-05
207,207,C00002,558,2023-11-25,18220.09,3991.3,N,2023-11-25
208,208,C00065,1284,2025-09-19,7752.53,4513.53,N,2025-09-19
210,210,C00113,334,2022-12-02,45172.5,1886.24,N,2022-12-02
211,211,C00068,676,2023-07-27,46014.83,740.72,N,2023-07-27
212,212,C00035,733,2026-01-17,31369.56,3485.42,N,2026-01-17
213,213,C00144,1701,2022-12-24,10019.75,4833.41,N,2022-12-24
214,214,C00143,498,2025-04-23,38046.93,2702.38,N,2025-04-23
215,215,C00014,1607,2022-08-09,4754.7,890.59,N,2022-08-09
216,216,C00105,547,2023-04-23,16471.26,1878.36,N,2023-04-23
217,217,C00073,1152,2023-08-13,47551.31,1868.55,N,2023-08-13
218,218,C00028,1086,2025-04-03,41236.64,1437.61,N,2025-04-03
219,219,C00245,1642,2022-03-24,8827.4,4139.62,N,2022-03-24
220,220,C00256,1225,2022-03-01,8877.41,1500.65,N,2022-03-01
221,221,C00119,1622,2025-04-15,45935.26,445.92,N,2025-04-15
222,222,C00079,666,2024-01-03,17671.52,3598.15,N,2024-01-03
223,223,C00167,1654,2022-03-21,35831.44,964.52,N,2022-03-21
224,224,C00079,1181,2024-05-20,12695.31,1415.91,N,2024-05-20
225,225,C00113,134,2023-02-02,8491.86,3470.76,N,2023-02-02
226,226,C00071,12,2022-10-26,36828.06,3034.34,N,2022-10-26
227,227,C00194,277,2024-01-03,6193.0,1778.57,N,2024-01-03
228,228,C00158,388,2025-09-06,18186.93,3788.05,N,2025-09-06
229,229,C00194,33,2023-12-31,17790.79,1941.08,N,2023-12-31
230,230,C00101,1443,2022-02-26,29007.04,3131.99,N,2022-02-26
231,231,C00119,1324,2023-11-14,3684.28,4688.98,N,2023-11-14
232,232,C00020,952,2024-04-17,31488.58,3339.58,N,2024-04-17
233,233,C00228,908,2022-03-27,24439.52,4822.34,N,2022-03-27
234,234,C00099,1620,2025-09-04,5269.56,62.6,N,2025-09-04
235,235,C00106,838,2022-09-04,44486.64,3284.18,N,2022-09-04
236,236,C00245,782,2026-01-28,2038.17,443.02,N,2026-01-28
237,237,C00206,438,2023-09-21,26162.28,186.37,N,2023-09-21
238,238,C00165,152,2025-05-28,49438.58,3540.53,N,2025-05-28
239,239,C00216,1533,2025-12-01,5929.95,4705.9,N,2025-12-01
240,240,C00193,1074,2024-08-15,11139.21,2382.19,N,2024-08-15
241,241,C00055,1564,2025-01-30,43679.61,168.98,N,2025-01-30
242,242,C00244,804,2024-02-11,31832.96,2437.86,N,2024-02-11
243,243,C00223,1489,2022-09-07,11212.8,4753.31,N,2022-09-07
244,244,C00095,1333,2024-02-23,29497.58,507.93,N,2024-02-23
245,245,C00163,729,2023-09-09,9932.28,2130.7,N,2023-09-09
246,246,C00258,1221,2024-11-12,24347.79,1527.43,N,2024-11-12
247,247,C00111,901,2024-06-06,20298.41,235.88,N,2024-06-06
248,248,C00240,293,2023-08-18,45872.96,3428.51,N,2023-08-18
249,249,C00102,1486,2023-08-29,20507.57,1458.24,N,2023-08-29
250,250,C00246,1455,2023-03-12,23072.06,4703.28,N,2023-03-12
251,251,C00212,1364,2024-04-09,8274.28,2749.13,N,2024-04-09
252,252,C00208,1021,2023-02-28,31830.53,2264.31,N,2023-02-28
253,253,C00096,571,2025-02-25,35460.62,3429.66,N,2025-02-25
254,254,C00145,282,2024-10-07,6082.14,758.85,N,2024-10-07
255,255,C00114,468,2023-11-28,5269.83,1530.33,N,2023-11-28
256,256,C00171,500,2022-12-08,34053.8,4859.59,N,2022-12-08
257,257,C00059,650,2022-06-15,4719.85,4904.09,N,2022-06-15
258,258,C00123,1429,2023-12-01,12653.05,1232.32,N,2023-12-01
259,259,C00170,271,2022-07-07,31417.37,2466.15,N,2022-07-07
260,260,C00024,336,2023-12-15,45359.63,1440.34,N,2023-12-15
261,261,C00183,1179,2022-11-04,19437.37,1505.89,N,2022-11-04
262,262,C00121,1655,2023-11-08,12693.25,4094.21,N,2023-11-08
263,263,C00007,520,2023-12-10,36059.51,4295.32,N,2023-12-10
264,264,C00204,622,2024-07-22,767.35,1736.93,N,2024-07-22
265,265,C00134,514,2023-05-14,9879.88,2612.72,N,2023-05-14
266,266,C00066,1379,2022-06-15,16338.79,2126.83,N,2022-06-15
267,267,C00152,1014,2024-02-07,43415.47,3533.96,N,2024-02-07
268,268,C00197,51,2025-01-28,21103.0,4892.02,N,2025-01-28
269,269,C00231,521,2022-04-22,40781.07,952.87,N,2022-04-22
271,271,C00118,1634,2025-12-10,17455.29,1231.67,N,2025-12-10
272,272,C00096,1623,2023-06-30,44799.52,3095.2,N,2023-06-30
273,273,C00248,843,2024-09-29,43123.77,2351.45,N,2024-09-29
274,274,C00183,1325,2022-07-07,8318.69,1857.76,N,2022-07-07
275,275,C00029,897,2023-08-06,38434.77,3677.13,N,2023-08-06
276,276,C00077,1106,2023-11-02,45684.31,4706.14,N,2023-11-02
277,277,C00186,805,2025-09-02,46287.94,2559.84,N,2025-09-02
279,279,C00133,767,2023-12-05,30798.08,4503.66,N,2023-12-05
280,280,C00175,493,2025-01-15,41702.78,3900.28,N,2025-01-15
282,282,C00017,143,2023-07-09,48169.51,3965.49,N,2023-07-09
283,283,C00128,823,2024-11-27,15542.3,1867.99,N,2024-11-27
284,284,C00048,1392,2024-10-12,24854.28,1434.53,N,2024-10-12
285,285,C00255,1316,2023-06-27,48236.96,2640.57,N,2023-06-27
286,286,C00201,228,2022-08-29,27666.41,4883.77,N,2022-08-29
287,287,C00154,412,2023-07-17,29385.29,4432.53,N,2023-07-17
288,288,C00108,1675,2023-04-04,18126.75,3980.12,N,2023-04-04
289,289,C00111,568,2024-12-29,39977.39,4544.53,N,2024-12-29
290,290,C00050,817,2024-10-28,31503.75,2185.71,N,2024-10-28
291,291,C00066,1190,2022-05-13,24460.38,3613.8,N,2022-05-13
292,292,C00256,1317,2025-11-21,29902.02,2957.08,N,2025-11-21
293,293,C00181,1580,2023-02-10,42244.37,407.91,N,2023-02-10
295,295,C00097,1537,2023-06-06,36888.3,3614.43,N,2023-06-06
296,296,C00086,1044,2024-11-30,24969.74,3229.31,N,2024-11-30
297,297,C00050,841,2023-04-25,26354.18,4462.49,N,2023-04-25
298,298,C00201,852,2023-02-08,13405.55,498.74,N,2023-02-08
299,299,C00232,194,2023-05-15,43023.95,131.46,N,2023-05-15
301,301,C00091,471,2024-02-13,2434.77,4891.3,N,2024-02-13
302,302,C00220,1347,2023-04-06,11472.25,2924.73,N,2023-04-06
303,303,C00057,1082,2022-04-14,31762.68,2389.68,N,2022-04-14
304,304,C00031,609,2023-07-07,48101.1,3236.07,N,2023-07-07
305,305,C00090,1134,2023-02-09,33319.89,773.36,N,2023-02-09
306,306,C00106,229,2023-06-07,9810.98,3344.08,N,2023-06-07
307,307,C00069,266,2024-09-07,8541.71,995.58,N,2024-09-07
308,308,C00261,989,2022-09-03,4910.97,3503.17,N,2022-09-03
309,309,C00199,332,2022-08-06,27295.23,2125.66,N,2022-08-06
310,310,C00229,1738,2024-07-01,20661.09,1047.97,N,2024-07-01
311,311,C00109,1546,2025-08-08,45168.52,1095.88,N,2025-08-08
312,312,C00064,259,2025-09-11,49913.05,3574.34,N,2025-09-11
313,313,C00148,383,2023-01-07,9084.32,2833.56,N,2023-01-07
314,314,C00174,701,2022-02-23,21946.78,2633.17,N,2022-02-23
315,315,C00204,1037,2023-03-11,30194.97,521.31,N,2023-03-11
316,316,C00112,659,2022-07-09,22947.28,1624.57,N,2022-07-09
317,317,C00028,1120,2022-08-06,12499.78,208.07,N,2022-08-06
318,318,C00064,261,2025-06-30,3838.52,3260.38,N,2025-06-30
319,319,C00156,753,2023-03-04,2491.71,3727.02,N,2023-03-04
320,320,C00233,453,2023-02-06,36634.69,3714.78,N,2023-02-06
321,321,C00125,393,2025-08-15,40355.5,3959.05,N,2025-08-15
322,322,C00121,665,2022-09-27,36207.29,729.61,N,2022-09-27
323,323,C00142,1798,2023-02-05,3854.51,1719.55,N,2023-02-05
324,324,C00101,1373,2024-10-31,44746.98,4319.55,N,2024-10-31
325,325,C00168,1720,2025-08-08,10252.4,130.27,N,2025-08-08
326,326,C00065,1524,2024-09-17,23271.68,2205.62,N,2024-09-17
327,327,C00188,811,2023-08-04,41771.56,4336.36,N,2023-08-04
328,328,C00077,490,2026-01-17,39177.83,4940.0,N,2026-01-17
329,329,C00189,1307,2023-05-11,35801.78,74.6,N,2023-05-11
330,330,C00013,1111,2024-06-21,7625.93,729.43,N,2024-06-21
331,331,C00030,237,2025-11-04,6056.75,4801.18,N,2025-11-04
332,332,C00144,1354,2022-03-27,17981.08,800.99,N,2022-03-27
333,333,C00138,1135,2025-09-01,23147.61,1258.0,N,2025-09-01
334,334,C00071,13,2023-08-01,17801.02,3102.38,Y,2023-08-01
335,335,C00230,1140,2024-04-11,20961.52,4776.59,N,2024-04-11
336,336,C00111,713,2025-09-03,48566.4,3347.0,N,2025-09-03
337,337,C00031,756,2026-01-14,8816.56,3209.85,N,2026-01-14
338,338,C00267,588,2023-08-15,19620.62,4445.16,N,2023-08-15
339,339,C00088,378,2025-03-24,7845.25,1614.43,N,2025-03-24
340,340,C00174,77,2024-04-22,10410.39,890.36,N,2024-04-22
341,341,C00190,1492,2025-11-02,16073.19,4028.35,N,2025-11-02
342,342,C00021,6,2025-05-02,41223.06,3076.31,N,2025-05-02
343,343,C00231,1320,2025-01-27,47373.42,2731.11,N,2025-01-27
344,344,C00141,1357,2025-09-19,11979.02,3470.31,N,2025-09-19
345,345,C00075,1308,2024-04-11,3141.98,612.64,N,2024-04-11
346,346,C00187,539,2024-04-30,7154.99,3102.31,N,2024-04-30
347,347,C00039,1657,2023-03-20,42983.1,694.1,N,2023-03-20
348,348,C00020,1353,2025-03-15,7275.28,1317.38,N,2025-03-15
349,349,C00153,848,2023-10-23,49573.01,1321.89,N,2023-10-23
350,350,C00032,117,2025-11-27,34200.38,4539.99,N,2025-11-27
351,351,C00004,121,2022-04-01,47644.53,1230.43,N,2022-04-01
352,352,C00069,1047,2022-03-02,11096.05,109.17,N,2022-03-02
353,353,C00245,1183,2025-02-17,48758.52,1163.21,N,2025-02-17
354,354,C00205,1235,2023-01-28,32162.9,1404.98,N,2023-01-28
355,355,C00020,1587,2023-09-23,3482.35,1729.04,N,2023-09-23
356,356,C00228,1245,2025-02-08,43573.71,3181.41,N,2025-02-08
357,357,C00170,465,2023-12-02,18204.75,1312.05,N,2023-12-02
358,358,C00241,730,2025-09-09,2748.19,2367.7,N,2025-09-09
359,359,C00184,15,2022-12-19,38395.73,4095.06,N,2022-12-19
360,360,C00198,863,2024-08-02,15664.11,1187.52,N,2024-08-02
361,361,C00208,214,2024-11-05,28695.96,3528.53,N,2024-11-05
362,362,C00089,1051,2021-12-27,41871.1,3976.3,N,2021-12-27
363,363,C00100,978,2025-08-05,17798.53,4540.06,N,2025-08-05
364,364,C00032,396,2022-09-02,38885.43,1118.45,N,2022-09-02
365,365,C00093,445,2025-02-08,4679.46,2106.25,N,2025-02-08
366,366,C00127,1771,2025-01-31,9006.23,3211.99,N,2025-01-31
367,367,C00228,295,2022-05-11,3187.74,2596.73,N,2022-05-11
368,368,C00073,70,2022-04-01,6781.35,488.23,N,2022-04-01
369,369,C00013,983,2025-05-03,39774.62,2793.15,N,2025-05-03
370,370,C00064,757,2024-12-21,42103.38,1570.24,N,2024-12-21
371,371,C00187,159,2023-05-28,24660.19,4454.33,N,2023-05-28
372,372,C00200,250,2023-09-14,42545.01,312.2,N,2023-09-14
373,373,C00019,517,2022-06-24,25911.86,860.6,N,2022-06-24
374,374,C00041,649,2025-05-24,44048.36,4426.69,N,2025-05-24
375,375,C00079,1207,2025-06-02,11663.25,1769.62,N,2025-06-02
376,376,C00166,925,2025-12-20,32278.33,1216.61,N,2025-12-20
377,377,C00205,1582,2025-04-08,28014.52,2701.43,N,2025-04-08
378,378,C00055,971,2025-08-31,32940.77,2110.14,N,2025-08-31
379,379,C00244,1277,2025-10-22,9839.28,1914.55,N,2025-10-22
380,380,C00145,1544,2024-07-20,10096.08,2909.5,N,2024-07-20
381,381,C00135,1202,2025-03-08,1859.32,1945.2,N,2025-03-08
382,382,C00009,1704,2022-10-03,7262.66,3759.3,N,2022-10-03
383,383,C00232,27,2024-11-21,2723.93,2659.5,N,2024-11-21
384,384,C00107,526,2025-01-25,16857.46,4343.97,N,2025-01-25
385,385,C00003,407,2023-07-29,6844.53,2903.44,N,2023-07-29
386,386,C00045,135,2023-03-23,5646.83,593.28,N,2023-03-23
387,387,C00209,302,2024-06-23,21190.85,3687.24,N,2024-06-23
388,388,C00065,358,2023-06-02,48903.29,1424.65,N,2023-06-02
389,389,C00118,560,2025-07-03,30184.37,3517.39,N,2025-07-03
390,390,C00044,8,2025-10-05,47990.9,4473.56,Y,2025-10-05
391,391,C00037,216,2023-05-03,16596.95,1108.88,N,2023-05-03
392,392,C00042,1050,2026-01-01,4038.0,1071.04,N,2026-01-01
394,394,C00036,351,2025-03-07,13880.11,2291.01,N,2025-03-07
395,395,C00185,1410,2024-06-29,25221.48,2377.43,N,2024-06-29
396,396,C00154,182,2023-12-12,43614.19,4305.9,N,2023-12-12
397,397,C00096,1573,2025-10-03,47588.28,3281.89,N,2025-10-03
398,398,C00019,1562,2024-03-08,47346.91,2292.57,N,2024-03-08
